City,FAA,IATA,ICAO,Airport,Role,Enplanements
Longview,GGG,GGG,KGGG,East Texas Regional Airport,P-N,"22,480"
Lubbock,LBB,LBB,KLBB,Lubbock Preston Smith International Airport,P-S,"448,093"
McAllen,MFE,MFE,KMFE,McAllen Miller International Airport,P-S,"355,224"
Midland,MAF,MAF,KMAF,Midland International Air and Space Port,P-S,"471,490"
San Angelo,SJT,SJT,KSJT,San Angelo Regional Airport (Mathis Field),P-N,"60,277"
San Antonio,SAT,SAT,KSAT,San Antonio International Airport,P-M,"4,179,994"
Tyler,TYR,TYR,KTYR,Tyler Pounds Regional Airport,P-N,"52,494"
Waco,ACT,ACT,KACT,Waco Regional Airport,P-N,"64,356"
Wichita Falls,SPS,SPS,KSPS,Wichita Falls Municipal Airport / Sheppard Air Force Base,P-N,"40,165"
UTAH,,,,,,
Cedar City,CDC,CDC,KCDC,Cedar City Regional Airport,P-N,"14,413"
Ogden,OGD,OGD,KOGD,Ogden-Hinckley Airport,P-N,"15,609"
Provo,PVU,PVU,KPVU,Provo Municipal Airport,P-N,"78,451"
Salt Lake City,SLC,SLC,KSLC,Salt Lake City International Airport,P-L,"11,143,738"
St. George,SGU,SGU,KSGU,St. George Regional Airport (opened 2011),P-N,"78,680"
VERMONT,,,,,,
Burlington,BTV,BTV,KBTV,Burlington International Airport,P-S,"593,311"
VIRGINIA,,,,,,
Charlottesville,CHO,CHO,KCHO,Charlottesville–Albemarle Airport,P-N,"295,930"
Lynchburg,LYH,LYH,KLYH,Lynchburg Regional Airport (Preston Glenn Field),P-N,"75,465"
Newport News,PHF,PHF,KPHF,Newport News/Williamsburg International Airport (Patrick Henry Field),P-N,"199,421"
Norfolk,ORF,ORF,KORF,Norfolk International Airport,P-S,"1,602,631"
Richmond,RIC,RIC,KRIC,Richmond International Airport (Byrd Field),P-S,"1,777,648"
Roanoke,ROA,ROA,KROA,Roanoke–Blacksburg Regional Airport (Woodrum Field),P-N,"305,212"
"Washington, D.C. / Arlington County",DCA,DCA,KDCA,Ronald Reagan Washington National Airport,P-L,"11,470,854"
"Washington, D.C. / Dulles / Chantilly",IAD,IAD,KIAD,Washington Dulles International Airport,P-L,"10,596,942"
WASHINGTON,,,,,,
Bellingham,BLI,BLI,KBLI,Bellingham International Airport,P-S,"415,285"
Friday Harbor,FHR,FRD,KFHR,Friday Harbor Airport,P-N,"12,831"
Pasco,PSC,PSC,KPSC,Tri-Cities Airport,P-N,"374,301"
"Pullman / Moscow, Idaho",PUW,PUW,KPUW,Pullman/Moscow Regional Airport,P-N,"61,833"
Seattle,BFI,BFI,KBFI,King County International Airport (Boeing Field),P-N,"17,795"
Seattle / Tacoma (SeaTac),SEA,SEA,KSEA,Seattle–Tacoma International Airport,P-L,"21,887,110"
Spokane,GEG,GEG,KGEG,Spokane International Airport (Geiger Field),P-S,"1,570,652"
Walla Walla,ALW,ALW,KALW,Walla Walla Regional Airport,P-N,"47,439"
Wenatchee,EAT,EAT,KEAT,Pangborn Memorial Airport,P-N,"60,068"
Yakima,YKM,YKM,KYKM,Yakima Air Terminal (McAllister Field),P-N,"70,993"
WEST VIRGINIA,,,,,,
Charleston,CRW,CRW,KCRW,Yeager Airport,P-N,"213,412"
Clarksburg,CKB,CKB,KCKB,North Central West Virginia Airport (was Harrison-Marion Regional),P-N,"26,025"
Huntington,HTS,HTS,KHTS,Tri-State Airport (Milton J. Ferguson Field),P-N,"98,489"
Morgantown,MGW,MGW,KMGW,Morgantown Municipal Airport (Walter L. Bill Hart Field),P-N,"7,851"
WISCONSIN,,,,,,
Appleton,ATW,ATW,KATW,Appleton International Airport,P-N,"348,026"
Eau Claire,EAU,EAU,KEAU,Chippewa Valley Regional Airport,P-N,"23,950"
Green Bay,GRB,GRB,KGRB,Green Bay–Austin Straubel International Airport,P-N,"314,909"
La Crosse,LSE,LSE,KLSE,La Crosse Regional Airport,P-N,"99,651"
Madison,MSN,MSN,KMSN,Dane County Regional Airport (Truax Field),P-S,"1,043,185"
Milwaukee,MKE,MKE,KMKE,Milwaukee Mitchell International Airport,P-M,"3,496,724"
Mosinee,CWA,CWA,KCWA,Central Wisconsin Airport,P-N,"124,632"
Rhinelander,RHI,RHI,KRHI,Rhinelander–Oneida County Airport,P-N,"24,477"
WYOMING,,,,,,
Casper,CPR,CPR,KCPR,Casper/Natrona County International Airport,P-N,"92,805"
Cody,COD,COD,KCOD,Yellowstone Regional Airport,P-N,"40,340"
Gillette,GCC,GCC,KGCC,Gillette–Campbell County Airport,P-N,"28,383"
Jackson Hole,JAC,JAC,KJAC,Jackson Hole Airport,P-N,"342,044"
Laramie,LAR,LAR,KLAR,Laramie Regional Airport,P-N,"15,957"
Rock Springs,RKS,RKS,KRKS,Southwest Wyoming Regional Airport (Rock Springs–Sweetwater County Airport),P-N,"16,110"
AMERICAN SAMOA,,,,,,
"Pago Pago, Tutuila",PPG,PPG,NSTU,Pago Pago International Airport,P-N,"65,439"
GUAM,,,,,,
Agana / Tamuning,GUM,GUM,PGUM,Antonio B. Won Pat International Airport,P-S,"1,444,299"
NORTHERN MARIANAS,,,,,,
"Obyan, Saipan Island",GSN,SPN,PGSN,Saipan International Airport (Francisco C. Ada),P-S,"430,275"
Rota Island,GRO,ROP,PGRO,Rota International Airport,P-N,"19,178"
Tinian Island,TNI,TIQ,PGWT,Tinian International Airport (West Tinian),P-N,"38,452"
PUERTO RICO,,,,,,
Aguadilla,BQN,BQN,TJBQ,Rafael Hernández International Airport,P-N,"257,871"
Ceiba,RVR,NRR,TJRV,José Aponte de la Torre Airport,P-N,"43,005"
Culebra,CPX,CPX,TJCP,Benjamín Rivera Noriega Airport,P-N,"31,141"
Ponce,PSE,PSE,TJPS,Mercedita International Airport,P-N,"105,804"
San Juan / Carolina,SJU,SJU,TJSJ,Luis Muñoz Marín International Airport,P-M,"4,343,354"
San Juan / Miramar,SIG,SIG,TJIG,Fernando Luis Ribas Dominicci Airport (Isla Grande Airport),P-N,"24,054"
Vieques,VQS,VQS,TJVQ,Antonio Rivera Rodríguez Airport,P-N,"63,104"
U.S. VIRGIN ISLANDS,,,,,,
"Charlotte Amalie, St. Thomas",STT,STT,TIST,Cyril E. King Airport,P-S,"729,382"
"Christiansted, St. Croix",STX,STX,TISX,Henry E. Rohlsen Airport,P-N,"196,047"
Alpena,APN,APN,KAPN,Alpena County Regional Airport,P-N,"10,031"
Detroit,DTW,DTW,KDTW,Detroit Metropolitan Airport,P-L,"16,847,135"
Escanaba,ESC,ESC,KESC,Delta County Airport,P-N,"16,822"
Flint,FNT,FNT,KFNT,Bishop International Airport,P-S,"398,508"
Grand Rapids,GRR,GRR,KGRR,Gerald R. Ford International Airport,P-S,"1,334,979"
Hancock,CMX,CMX,KCMX,Houghton County Memorial Airport,P-N,"25,439"
Iron Mountain,IMT,IMT,KIMT,Ford Airport,P-N,"12,604"
Kalamazoo,AZO,AZO,KAZO,Kalamazoo/Battle Creek International Airport,P-N,"154,242"
Lansing,LAN,LAN,KLAN,Capital Region International Airport (was Lansing Capital City),P-N,"161,863"
Marquette,SAW,MQT,KSAW,Sawyer International Airport,P-N,"45,462"
Muskegon,MKG,MKG,KMKG,Muskegon County Airport,P-N,"18,165"
Pellston,PLN,PLN,KPLN,Pellston Regional Airport,P-N,"25,497"
Saginaw,MBS,MBS,KMBS,MBS International Airport,P-N,"122,469"
Sault Ste. Marie,CIU,CIU,KCIU,Chippewa County International Airport,P-N,"20,974"
Traverse City,TVC,TVC,KTVC,Cherry Capital Airport (was Cherry County Airpark),P-N,"223,924 </onlyinclude>"
Beaver Island (St. James),SJX,,KSJX,Beaver Island Airport,CS,9
Charlevoix,CVX,,KCVX,Charlevoix Municipal Airport,CS,750
Ironwood,IWD,IWD,KIWD,Gogebic-Iron County Airport,CS,"5,069"
Detroit/Pontiac,PTK,PTK,KPTK,Oakland County International Airport,CS,"3,409"
Manistee,MBL,MBL,KMBL,Manistee County-Blacker Airport,GA,"4,243"
Detroit / Grosse Ile,ONZ,,KONZ,Grosse Ile Municipal Airport,R,0
Detroit / Ypsilanti,YIP,YIP,KYIP,Willow Run Airport,R,"4,093"
Howell,OZW,,KOZW,Livingston County Spencer J. Hardy Airport,R,2
New Hudson,Y47,,,Oakland Southwest Airport (Oakland/Southwest Airport),R,0
Plymouth / Canton,1D2,,,Canton-Plymouth-Mettetal Airport (Canton-Plymouth Mettetal Airport),R,0
Port Huron,PHN,PHN,KPHN,St. Clair County International Airport,R,9
Romeo,D98,,,Romeo State Airport,R,0
Troy,VLL,,KVLL,Oakland/Troy Airport,R,853
Adrian,ADG,ADG,KADG,Lenawee County Airport,GA,0
Allegan,35D,,,Padgham Field,GA,12
Alma,AMN,AMN,KAMN,Gratiot Community Airport,GA,0
Ann Arbor,ARB,ARB,KARB,Ann Arbor Municipal Airport,GA,16
Atlanta,Y93,,,Atlanta Municipal Airport,GA,0
Bad Axe,BAX,,KBAX,Huron County Memorial Airport,GA,0
Battle Creek,BTL,BTL,KBTL,W. K. Kellogg Airport (W. K. Kellogg Regional),GA,1
Bay City,3CM,,,James Clements Municipal Airport & SPB,GA,0
Bellaire,ACB,ACB,KACB,Antrim County Airport,GA,6
Benton Harbor,BEH,BEH,KBEH,Southwest Michigan Regional Airport,GA,6
Big Rapids,RQB,WBR,KRQB,Roben-Hood Airport,GA,0
Bois Blanc Island,6Y1,,,Bois Blanc Island Airport (Bois Blanc Airport),GA,0
Cadillac,CAD,CAD,KCAD,Wexford County Airport,GA,0
Caro,CFS,,KCFS,Tuscola Area Airport,GA,3
Charlotte,FPK,,KFPK,Fitch H. Beach Airport,GA,0
Cheboygan,SLH,,KSLH,Cheboygan County Airport,GA,0
Clare,48D,,,Clare Municipal Airport,GA,0
Coldwater,OEB,,KOEB,Branch County Memorial Airport,GA,0
Detroit,DET,DET,KDET,Coleman A. Young Municipal Airport  (was Detroit City),GA,557[1][2][3]
Dowagiac,C91,,,Dowagiac Municipal Airport,GA,0
Drummond Island,DRM,DRE,KDRM,Drummond Island Airport,GA,0
Evart,9C8,,,Evart Municipal Airport,GA,0
Frankfort,FKS,,KFKS,Frankfort Dow Memorial Field,GA,1
Fremont,FFX,,KFFX,Fremont Municipal Airport,GA,0
Gaylord,GLR,GLR,KGLR,Gaylord Regional Airport (Otsego County Airport),GA,975
Gladwin,GDW,GDW,KGDW,Gladwin Zettel Memorial Airport,GA,0
Grand Haven,3GM,,,Grand Haven Memorial Airpark,GA,14
Grand Ledge,4D0,,,Abrams Municipal Airport,GA,4
Grayling,GOV,,KGOV,Grayling Army Airfield,GA,0
Greenville,6D6,,,Greenville Municipal Airport,GA,0
Harbor Springs,MGN,,KMGN,Harbor Springs Airport (Harbor Springs Municipal),GA,"8,014"
Hart / Shelby,C04,,,Oceana County Airport,GA,0
Hastings,9D9,,,Hastings Airport (was Hastings City/Barry County),GA,0
Hillsdale,JYM,,KJYM,Hillsdale Municipal Airport,GA,0
Holland,BIV,,KBIV,West Michigan Regional Airport (was Tulip City Airport),GA,766
Houghton Lake,HTL,HTL,KHTL,Roscommon County - Blodgett Memorial Airport,GA,0
Ionia,Y70,,,Ionia County Airport,GA,0
Jackson,JXN,JXN,KJXN,Jackson County Airport (Reynolds Field),GA,4
Lakeview,13C,,,Lakeview Airport (Griffith Field),GA,0
Lambertville,DUH,,KDUH,Toledo Suburban Airport,GA,2
Lapeer,D95,,,Dupont-Lapeer Airport,GA,0
Ludington,LDM,LDM,KLDM,Mason County Airport,GA,5
Mackinac Island,MCD,MCD,KMCD,Mackinac Island Airport,GA,"2,549"
Manistique,ISQ,ISQ,KISQ,Schoolcraft County Airport,GA,3
Marlette,77G,,,Marlette Airport (Marlette Township Airport),GA,0
Marshall,RMY,,KRMY,Brooks Field,GA,2
Mason,TEW,,KTEW,Mason Jewett Field,GA,4
Menominee,MNM,MNM,KMNM,Menominee–Marinette Twin County Airport,GA,0
Midland,IKW,,KIKW,Jack Barstow Airport (Jack Barstow Municipal),GA,0
Mio,51M,,,Oscoda County Dennis Kauffman Memorial Airport,GA,0
Monroe,TTF,,KTTF,Custer Airport (Monroe Custer Airport),GA,0
Mount Pleasant,MOP,MOP,KMOP,Mount Pleasant Municipal Airport,GA,8
Newberry,ERY,,KERY,Luce County Airport,GA,0
Niles,3TR,NLE,,Jerry Tyler Memorial Airport,GA,0
Ontonagon,OGM,,KOGM,Ontonagon County Airport (Schuster Field),GA,0
Oscoda,OSC,OSC,KOSC,Oscoda-Wurtsmith Airport,GA,4
Owosso,RNP,,KRNP,Owosso Community Airport,GA,0
Rogers City,PZQ,,KPZQ,Presque Isle County Airport,GA,0
Saginaw,HYX,,KHYX,Saginaw County H.W. Browne Airport,GA,0
Sandusky,Y83,,,Sandusky City Airport,GA,0
South Haven,LWA,,KLWA,South Haven Area Regional Airport,GA,25
Sparta,8D4,,,Paul C. Miller - Sparta Airport,GA,10
St. Ignace,83D,,,Mackinac County Airport,GA,30
Sturgis,IRS,IRS,KIRS,Kirsch Municipal Airport,GA,0
Three Rivers,HAI,HAI,KHAI,Three Rivers Municipal Dr. Haines Airport,GA,2
West Branch,Y31,,,West Branch Community Airport,GA,0
White Cloud,42C,,,White Cloud Airport,GA,0
Alpena,53M,,,Silver City Airpark,,
Avoca,39G,,,Avoca Airport (was Rasor Airport),,
Bad Axe,E53,,,Engler Field,,
Baldwin,7D3,,,Baldwin Municipal Airport,,
Bannister,4M4,,,Shady Lawn Field (Shady Lawn Farms),,
Baraga,2P4,,,Baraga Airport,,
Bath,41G,,,University Airpark,,
Belleville,43G,,,Belleville Airport,,
Berrien Springs,C20,,,Andrews University Airpark,,
Blissfield,44G,,,Betz Airport,,
Boyne City,N98,,,Boyne City Municipal Airport,,
Boyne Falls,BFA,,KBFA,Boyne Mountain Airport,,
Brighton,45G,,,Brighton Airport,,
Brooklyn,6G8,,,Shamrock Field,,
Carleton,W87,,,Buzzwick Airport (Buzz Wick Airport) (was Wickenheiser Airport),,
Charlotte,49G,,,Wend Valley Airport,,
Cheboygan,2M7,,,Hoffman's Black Mountain Aerodrome,,
Chesaning,50G,,,Howard Nixon Memorial Airport,,
Clinton,7N4,,,Honey Acres Airport,,
Clio,51G,,,Cagney Airport,,
Corunna,56M,,,Millstream Airpark,,
Croswell,55G,,,Arnold Field,,
Crystal Falls,50D,,,Iron County Airport,,
Davison,6G0,,,Athelone Williams Memorial Airport,,
Deckerville,56G,,,Indian Creek Ranch Airport,,
Dexter,2E8,,,Cackleberry Airport,,
East Jordan,Y94,,,East Jordan City Airport,,
East Tawas,6D9,ECA,,Iosco County Airport,,
Eastport,59M,,,Torchport Airport (Torchport Airpark),,
Eaton Rapids,60G,,,Skyway Estates Airport,,
Elwell,68R,,,Hamp Airport (Hamp Skyport),,
Emmett,2E2,,,Sharpe's Strip,,
Empire,Y87,,,Empire Airport,,
Flushing,3DA,,,Dalton Airport,,
Fowlerville,65G,,,Maple Grove Airport,,
Frankenmuth,66G,,,"William ""Tiny"" Zehnder Field",,
Fruitport,39Z,,,Flying-A-Ranch Airport,,
Gaylord,4Y4,,,Lakes of the North Airport,,
Genesee,68G,,,Duford Field,,
Gladwin,5M6,,,Sugar Springs Airport,,
Grand Marais,Y98,,,Grand Marais Airport,,
Grant,01C,,,Grant Airport,,
Gregory,69G,,,Richmond Field,,
Hale,H80,,,Field of Dreams Airport,,
Harrietta,4Y9,,,Bunch's Half Acre Airport,,
Harrison,80D,,,Clare County Airport,,
Harrisville,5Y0,,,Harrisville Airport (Harrisville City Airport),,
Harsens Island,Z92,,,Harsens Island Airport,,
Hessel,5Y1,,,Albert J. Lindberg Airport,,
Hillman,Y95,,,Hillman Airport,,
Holland,HLM,HLM,KHLM,Park Township Airport,,4
Houghton Lake Heights,5Y2,,,Houghton Lake State Airport,,
Howell,4Y1,,,Raether Airport,,
Howell,13M,,,Aeronut Park Balloonport,,
Indian River,Y65,,,Calvin Campbell Municipal Airport,,
Interlochen,Y88,,,Green Lake Airport (Green Lake Township Airport),,
Iron River,Y73,,,Stambaugh Airport,,
Ishpeming,M61,,,Edward F Johnson Airport,,
Jenison,08C,,,Riverview Airport,,
Kalamazoo,4N0,,,Newman's Airport,,
Kalkaska,Y89,,,Kalkaska City Airport (Kalkaska Airport),,
Kent City,24M,,,Wilderness Airpark,,
Laingsburg,15W,,,Dennis Farms Airport,,
Lake City,Y91,,,Home Acres Sky Ranch Airport,,
Lake Isabella,D15,,,Lake Isabella - Cal Brewer Memorial Airport (was Lake Isabella Airpark),,
Lewiston,8M8,,,Garland Airport (Eagle II Airport),,
Lexington,7MI,,,Flugplatz Airport,,
Lincoln,3L7,,,"Milwrick Flying ""M"" Airport (was Flying ""M"" Ranch Airport)",,
Linden,9G2,,,Price's Airport,,
Lowell,24C,,,Lowell City Airport,,
Luzerne,5Y4,,,Lost Creek Airport,,
Mancelona,D90,,,Mancelona Municipal Airport,,
Manchester,75G,,,Rossettie Airport,,
Marine City,76G,,,Marine City Airport,,
Mecosta,0C5,,,Canadian Lakes Airport,,
Mecosta,27C,,,Mecosta Morton Airport (Mecosta-Morton Airport),,
Moorestown,6Y0,,,Moorestown Airpark,,
Munising,5Y7,,,Hanley Field,,
Napoleon,3NP,,,Napoleon Airport,,
Napoleon,6H4,,,Van Wagnen Airport (was Day Field),,
Napoleon,26W,,,Wolf Lake Airport,,
Northport,5D5,,,Woolsey Memorial Airport,,
Nunica,33C,,,Jablonski Airport,,
Nunica,5N7,,,Hat Field (Hatfield Airport),,
Parchment,2H4,,,"Triple ""H"" Airport",,
Paw Paw,2C5,,,Almena Airport,,
Petersburg,88G,,,Gradolph Field,,
Pinconning,52I,,,Gross Airport,,
Plainwell,61D,,,Plainwell Municipal Airport,,
Port Austin,29C,,,Grindstone Air Harbor,,
Pullman,M86,,,Walle Field (Walle Airfield),,
Ray,57D,,,Ray Community Airport,,
Reed City,RCT,RCT,KRCT,Nartron Field,,
Rockford,35C,,,Wells Airport,,
Roscommon,3RC,,,Roscommon Conservation Airport,,
Sandusky,96G,,,Cowley Field,,
Sault Ste. Marie,ANJ,,KANJ,Sault Ste. Marie Municipal Airport (Sanderson Field),,83
Schoolcraft,P97,,,Prairie Ronde Airport,,
Sebewaing,98G,,,Sebewaing Airport (Sebewaing Township Airport),,
Sidnaw,6Y9,,,Prickett–Grooms Field,,
Smiths Creek,11G,,,Johnson Field,,
St. Clair,5Y5,,,David's Landing,,
St. Helen,6Y6,,,St. Helen Airport,,
St. Johns,2S3,,,Archer Memorial Field,,
St. Johns,97G,,,Glowacki Airport,,
St. Johns,3S5,,,Schiffer Acres Airport,,
St. Johns,39T,,,Tripp Creek Airport,,
Stanwood,38C,,,Cain Field,,
Sunfield,C43,,,Hiram Cure Airfield,,
Tecumseh,34G,,,Merillat Airport,,
Tecumseh,3TE,,,Meyers-Diver's Airport (was Al Meyers Airport),,
Thompsonville,7Y2,,,Thompsonville Airport,,
Topinabee,Y30,,,Pbeaaye Airport,,
Traverse City,Y04,,,Sugar Loaf Resort Airport (Wallace G. Fryer Airfield),,
Traverse City,4M0,,,Lake Ann Airway Estates Airport,,
Watervliet,40C,,,Watervliet Municipal Airport,,
Wayland,41C,,,Calkins Field,,
Weidman,D11,,,Ojibwa Airpark,,
Westphalia,3F5,,,Forest Hill Airport,,
Williamston,89Y,,,Maidens Airport,,
Winn,53W,,,Woodruff Lake Airport,,
Yale,48G,,,Gavagan Field,,
Yale,4Y8,,,Para Field,,
Yale,D20,,,Yale Airport,,
Zeeland,Z98,,,Ottawa Executive Airport,,
Mount Clemens,MTC,MTC,KMTC,Selfridge ANGB,,
Traverse City,,,,CGAS Traverse City (at Cherry Capital Airport),,
Ada,2MI5,,,"Somerville Airport (public use in 2005, FAA: 34I)",,
Albion,42MI,,,"Midway Airport (public use in 2002, FAA: 35G)",,
Athens,77MI,,,"David's Airport (David's Field) (public use in 2007, FAA: 9C2)",,
Beaver Island,6Y8,,,Welke Airport,,
DeWitt,MI10,,,Hoerner's Corners Airport,,
Gladstone,43MI,,,"West Gladstone Airport (public use in 2003, FAA: 9C9)",,
St. Johns,82MI,,,"Randolph's Landing Area (Randolph's Airport) (public use in 2008, FAA: 61G)",,
Traverse City,,,,Traverse Area Model Pilots Society (TRAMPS) Aerodrome,,
Vassar,2MI8,,,"Vassar Field (former public use, FAA: 4P4)",,
Avoca,07D,,,Tackaberry Airport (closed 2010?) [1],,
Acme,,,,Acme Skyport (closed 1995?)[4],,
Carson City,47G,,,Mayes Airport (closed 2008?) [2],,
Dearborn,,,,Ford Airport (closed 1947) [3],,
East Lansing,2D8,,,Davis Airport (closed 2000) [4] [5],,
Elk Rapids,34U,,,"Yuba Airport (closed indefinitely, FAA record still active)",,
Erie,M84,,,Erie Aerodrome (closed 2010?) [6],,
Gregory,35L,,,Carriage Lane Airport (closed 2007?) [7],,
Kalamazoo,09C,,,Austin Lake Airport (closed 2001?) [8],,
Marquette,MQT,,KMQT,Marquette County Airport (closed 1999) [9],,
Mason,,,,Craft's Field [10],,
New Lothrop,6B3,,,Bean Blossom Airport (closed 2008?) [11],,
Onaway,Y96,,,Leo E. Goetz County Airport (closed permanently ~2015-2018),,
Onsted,MI51,,,"Loar's Field (public use in 2006, FAA: 83G)",,
Rock,MI00,,,"Bonnie Field (public use in 2008, FAA: 6Y4)",,
Rothbury,42N,,,Double JJ Resort Ranch Airport (closed 2008?) [12],,
Standish,Y75,,,Standish Industrial Airport (closed 2006?) [13],,
Traverse City,,,,Traverse City Ransom Field (closed 1969)[5],,
