,acronym,0,abrev,tag,casa_fullform,faa_fullform,iata_fullform
2828,'last,15.0,0,neg_nonalpha_abrev,,,
2829,message),15.0,0,neg_nonalpha_abrev,,,
2830,'360,15.0,0,neg_nonalpha_abrev,,,
2831,checklist),15.0,0,neg_nonalpha_abrev,,,
2832,8600',15.0,0,neg_nonalpha_abrev,,,
2833,armed),15.0,0,neg_nonalpha_abrev,,,
2834,'inside,15.0,0,neg_nonalpha_abrev,,,
2835,'main,15.0,0,neg_nonalpha_abrev,,,
2837,had],15.0,0,neg_nonalpha_abrev,,,
2838,area?,15.0,0,neg_nonalpha_abrev,,,
2839,'roll,15.0,0,neg_nonalpha_abrev,,,
2841,ndb),15.0,0,neg_nonalpha_abrev,,,
2843,trim),15.0,0,neg_nonalpha_abrev,,,
2845,'until,15.0,0,neg_nonalpha_abrev,,,
2846,old),15.0,0,neg_nonalpha_abrev,,,
2849,tag',15.0,0,neg_nonalpha_abrev,,,
2850,il),15.0,0,neg_nonalpha_abrev,,,
2851,'gs',15.0,0,neg_nonalpha_abrev,,,
2852,'since,15.0,0,neg_nonalpha_abrev,,,
2853,'auto',15.0,0,neg_nonalpha_abrev,,,
2854,'dual,15.0,0,neg_nonalpha_abrev,,,
2855,'hvy,15.0,0,neg_nonalpha_abrev,,,
2856,'b,15.0,0,neg_nonalpha_abrev,,,
2858,'ready,15.0,0,neg_nonalpha_abrev,,,
2860,course?,15.0,0,neg_nonalpha_abrev,,,
2861,[name,15.0,0,neg_nonalpha_abrev,,,
2865,pos:,15.0,0,neg_nonalpha_abrev,,,
2866,fa],15.0,0,neg_nonalpha_abrev,,,
2868,active),15.0,0,neg_nonalpha_abrev,,,
2870,used),15.0,0,neg_nonalpha_abrev,,,
2871,today),15.0,0,neg_nonalpha_abrev,,,
2872,mgr),15.0,0,neg_nonalpha_abrev,,,
2874,roll),15.0,0,neg_nonalpha_abrev,,,
2879,sys',15.0,0,neg_nonalpha_abrev,,,
2880,'time,15.0,0,neg_nonalpha_abrev,,,
2881,'class,15.0,0,neg_nonalpha_abrev,,,
2884,fl230',15.0,0,neg_nonalpha_abrev,,,
2887,ground),15.0,0,neg_nonalpha_abrev,,,
2889,23000',15.0,0,neg_nonalpha_abrev,,,
2890,clouds',15.0,0,neg_nonalpha_abrev,,,
2891,sid/star,15.0,0,neg_nonalpha_abrev,,,
2892,[for,15.0,0,neg_nonalpha_abrev,,,
2894,policy),15.0,0,neg_nonalpha_abrev,,,
2895,zzz1),15.0,0,neg_nonalpha_abrev,,,
2897,'coast,15.0,0,neg_nonalpha_abrev,,,
2899,coms),14.0,0,neg_nonalpha_abrev,,,
2900,requested',14.0,0,neg_nonalpha_abrev,,,
2901,heat),14.0,0,neg_nonalpha_abrev,,,
2903,departure/arrival,14.0,0,neg_nonalpha_abrev,,,
2904,pitch),14.0,0,neg_nonalpha_abrev,,,
2909,emer/abnormal,14.0,0,neg_nonalpha_abrev,,,
2910,captain/pilot,14.0,0,neg_nonalpha_abrev,,,
2912,'long,14.0,0,neg_nonalpha_abrev,,,
2913,members),14.0,0,neg_nonalpha_abrev,,,
2915,loss),14.0,0,neg_nonalpha_abrev,,,
2916,fe),14.0,0,neg_nonalpha_abrev,,,
2918,'busted,14.0,0,neg_nonalpha_abrev,,,
2920,8',14.0,0,neg_nonalpha_abrev,,,
2921,'obstacle',14.0,0,neg_nonalpha_abrev,,,
2922,corridor),14.0,0,neg_nonalpha_abrev,,,
2923,sun),14.0,0,neg_nonalpha_abrev,,,
2924,'event',14.0,0,neg_nonalpha_abrev,,,
2925,short),14.0,0,neg_nonalpha_abrev,,,
2926,pwr',14.0,0,neg_nonalpha_abrev,,,
2927,mistakes:,14.0,0,neg_nonalpha_abrev,,,
2928,otherwise),14.0,0,neg_nonalpha_abrev,,,
2929,dispatch/maintenance,14.0,0,neg_nonalpha_abrev,,,
2933,11700',14.0,0,neg_nonalpha_abrev,,,
2934,remaining),14.0,0,neg_nonalpha_abrev,,,
2937,'split,14.0,0,neg_nonalpha_abrev,,,
2939,'jump,14.0,0,neg_nonalpha_abrev,,,
2940,restrictions',14.0,0,neg_nonalpha_abrev,,,
2944,priority],14.0,0,neg_nonalpha_abrev,,,
2945,strip),14.0,0,neg_nonalpha_abrev,,,
2946,'expedite',14.0,0,neg_nonalpha_abrev,,,
2949,[weight,14.0,0,neg_nonalpha_abrev,,,
2950,ra?,14.0,0,neg_nonalpha_abrev,,,
2951,corrections:,14.0,0,neg_nonalpha_abrev,,,
2954,'xxxx,14.0,0,neg_nonalpha_abrev,,,
2956,'does,14.0,0,neg_nonalpha_abrev,,,
2957,tfc?,14.0,0,neg_nonalpha_abrev,,,
2958,'rnav',14.0,0,neg_nonalpha_abrev,,,
2960,'lifeguard',14.0,0,neg_nonalpha_abrev,,,
2962,35l),14.0,0,neg_nonalpha_abrev,,,
2963,fo/pf,14.0,0,neg_nonalpha_abrev,,,
2965,intersection),14.0,0,neg_nonalpha_abrev,,,
2966,attitude),14.0,0,neg_nonalpha_abrev,,,
2967,b/c,14.0,0,neg_nonalpha_abrev,,,
2968,tape),14.0,0,neg_nonalpha_abrev,,,
2969,'xyz',14.0,0,neg_nonalpha_abrev,,,
2970,ago),14.0,0,neg_nonalpha_abrev,,,
2973,here),14.0,0,neg_nonalpha_abrev,,,
2976,ict),14.0,0,neg_nonalpha_abrev,,,
2977,scenario:,14.0,0,neg_nonalpha_abrev,,,
2978,'own,14.0,0,neg_nonalpha_abrev,,,
2979,inactions:,14.0,0,neg_nonalpha_abrev,,,
2980,outside',14.0,0,neg_nonalpha_abrev,,,
2984,'real',14.0,0,neg_nonalpha_abrev,,,
2985,fail),14.0,0,neg_nonalpha_abrev,,,
2986,'maybe,14.0,0,neg_nonalpha_abrev,,,
2988,'through,14.0,0,neg_nonalpha_abrev,,,
2992,cleveland:,14.0,0,neg_nonalpha_abrev,,,
2993,antenna),14.0,0,neg_nonalpha_abrev,,,
2994,'oil,14.0,0,neg_nonalpha_abrev,,,
2995,bfi),14.0,0,neg_nonalpha_abrev,,,
2996,retrospect:,14.0,0,neg_nonalpha_abrev,,,
2997,computer],14.0,0,neg_nonalpha_abrev,,,
2998,'whatever,14.0,0,neg_nonalpha_abrev,,,
2999,'work,14.0,0,neg_nonalpha_abrev,,,
3001,slats/flaps,14.0,0,neg_nonalpha_abrev,,,
3002,com/nav,14.0,0,neg_nonalpha_abrev,,,
3003,cap',14.0,0,neg_nonalpha_abrev,,,
3005,'closed,14.0,0,neg_nonalpha_abrev,,,
3006,field',14.0,0,neg_nonalpha_abrev,,,
3008,operation),14.0,0,neg_nonalpha_abrev,,,
3009,advised',14.0,0,neg_nonalpha_abrev,,,
3010,'looked,14.0,0,neg_nonalpha_abrev,,,
3011,'coming,14.0,0,neg_nonalpha_abrev,,,
3012,19),14.0,0,neg_nonalpha_abrev,,,
3013,power),14.0,0,neg_nonalpha_abrev,,,
3015,owner/plt,14.0,0,neg_nonalpha_abrev,,,
3017,'having,14.0,0,neg_nonalpha_abrev,,,
3018,transport],14.0,0,neg_nonalpha_abrev,,,
3019,31l),14.0,0,neg_nonalpha_abrev,,,
3020,xxx',14.0,0,neg_nonalpha_abrev,,,
3023,'100,14.0,0,neg_nonalpha_abrev,,,
3024,landing',14.0,0,neg_nonalpha_abrev,,,
3025,'e,14.0,0,neg_nonalpha_abrev,,,
3026,tfr),14.0,0,neg_nonalpha_abrev,,,
3027,hdg?,14.0,0,neg_nonalpha_abrev,,,
3028,29),14.0,0,neg_nonalpha_abrev,,,
3032,'zero,14.0,0,neg_nonalpha_abrev,,,
3033,[with,14.0,0,neg_nonalpha_abrev,,,
3047,complex),14.0,0,neg_nonalpha_abrev,,,
3048,'mode,14.0,0,neg_nonalpha_abrev,,,
3049,10700',14.0,0,neg_nonalpha_abrev,,,
3050,to?,14.0,0,neg_nonalpha_abrev,,,
3051,'miss',14.0,0,neg_nonalpha_abrev,,,
3052,'wing,14.0,0,neg_nonalpha_abrev,,,
3055,changes),14.0,0,neg_nonalpha_abrev,,,
3056,turb',14.0,0,neg_nonalpha_abrev,,,
3057,'king,14.0,0,neg_nonalpha_abrev,,,
3058,'behind,14.0,0,neg_nonalpha_abrev,,,
3062,mile),14.0,0,neg_nonalpha_abrev,,,
3063,idle),14.0,0,neg_nonalpha_abrev,,,
3066,'tight,14.0,0,neg_nonalpha_abrev,,,
3067,arriving/departing,14.0,0,neg_nonalpha_abrev,,,
3068,box),14.0,0,neg_nonalpha_abrev,,,
3069,heli),14.0,0,neg_nonalpha_abrev,,,
3070,'bump',14.0,0,neg_nonalpha_abrev,,,
3071,'follow',14.0,0,neg_nonalpha_abrev,,,
3075,received),14.0,0,neg_nonalpha_abrev,,,
3076,'airspd,14.0,0,neg_nonalpha_abrev,,,
3077,not',14.0,0,neg_nonalpha_abrev,,,
3078,oh),14.0,0,neg_nonalpha_abrev,,,
3079,situation),14.0,0,neg_nonalpha_abrev,,,
3080,'scud,14.0,0,neg_nonalpha_abrev,,,
3082,action),14.0,0,neg_nonalpha_abrev,,,
3084,requested),14.0,0,neg_nonalpha_abrev,,,
3085,minutes',14.0,0,neg_nonalpha_abrev,,,
3086,'severe,14.0,0,neg_nonalpha_abrev,,,
3089,anyway),14.0,0,neg_nonalpha_abrev,,,
3090,vortac),14.0,0,neg_nonalpha_abrev,,,
3092,'1000',14.0,0,neg_nonalpha_abrev,,,
3094,'next,14.0,0,neg_nonalpha_abrev,,,
3097,'uh,14.0,0,neg_nonalpha_abrev,,,
3098,abatement),14.0,0,neg_nonalpha_abrev,,,
3099,manager],14.0,0,neg_nonalpha_abrev,,,
3100,'wrong,14.0,0,neg_nonalpha_abrev,,,
3102,'lnav',14.0,0,neg_nonalpha_abrev,,,
3105,akron/canton,14.0,0,neg_nonalpha_abrev,,,
3107,fatigue),14.0,0,neg_nonalpha_abrev,,,
3109,book',14.0,0,neg_nonalpha_abrev,,,
3111,'cut,14.0,0,neg_nonalpha_abrev,,,
3112,board',14.0,0,neg_nonalpha_abrev,,,
3113,temp/dewpoint,14.0,0,neg_nonalpha_abrev,,,
3115,similar),14.0,0,neg_nonalpha_abrev,,,
3117,'airline,14.0,0,neg_nonalpha_abrev,,,
3118,least),13.0,0,neg_nonalpha_abrev,,,
3120,'box,13.0,0,neg_nonalpha_abrev,,,
3122,am),13.0,0,neg_nonalpha_abrev,,,
3123,thrust),13.0,0,neg_nonalpha_abrev,,,
3126,thing',13.0,0,neg_nonalpha_abrev,,,
3128,'door,13.0,0,neg_nonalpha_abrev,,,
3129,8400',13.0,0,neg_nonalpha_abrev,,,
3130,open',13.0,0,neg_nonalpha_abrev,,,
3132,'must,13.0,0,neg_nonalpha_abrev,,,
3133,ctls),13.0,0,neg_nonalpha_abrev,,,
3134,'we',13.0,0,neg_nonalpha_abrev,,,
3135,river),13.0,0,neg_nonalpha_abrev,,,
3139,dme',13.0,0,neg_nonalpha_abrev,,,
3141,'thence',13.0,0,neg_nonalpha_abrev,,,
3144,arrival/departure,13.0,0,neg_nonalpha_abrev,,,
3145,briefing',13.0,0,neg_nonalpha_abrev,,,
3146,'in',13.0,0,neg_nonalpha_abrev,,,
3148,cabin',13.0,0,neg_nonalpha_abrev,,,
3149,error?,13.0,0,neg_nonalpha_abrev,,,
3150,34),13.0,0,neg_nonalpha_abrev,,,
3151,items',13.0,0,neg_nonalpha_abrev,,,
3152,'simultaneous,13.0,0,neg_nonalpha_abrev,,,
3153,'bust',13.0,0,neg_nonalpha_abrev,,,
3154,estimate),13.0,0,neg_nonalpha_abrev,,,
3156,'cargo,13.0,0,neg_nonalpha_abrev,,,
3158,quickly),13.0,0,neg_nonalpha_abrev,,,
3159,'fast,13.0,0,neg_nonalpha_abrev,,,
3163,day',13.0,0,neg_nonalpha_abrev,,,
3166,isp),13.0,0,neg_nonalpha_abrev,,,
3168,'xponder,13.0,0,neg_nonalpha_abrev,,,
3169,report],13.0,0,neg_nonalpha_abrev,,,
3170,recollection),13.0,0,neg_nonalpha_abrev,,,
3174,bna),13.0,0,neg_nonalpha_abrev,,,
3175,telephone),13.0,0,neg_nonalpha_abrev,,,
3176,we),13.0,0,neg_nonalpha_abrev,,,
3177,'1500,13.0,0,neg_nonalpha_abrev,,,
3178,armed',13.0,0,neg_nonalpha_abrev,,,
3180,dc9),13.0,0,neg_nonalpha_abrev,,,
3183,enclosed),13.0,0,neg_nonalpha_abrev,,,
3184,'old',13.0,0,neg_nonalpha_abrev,,,
3185,chart?,13.0,0,neg_nonalpha_abrev,,,
3186,'double,13.0,0,neg_nonalpha_abrev,,,
3187,'rvr,13.0,0,neg_nonalpha_abrev,,,
3189,'test,13.0,0,neg_nonalpha_abrev,,,
3191,two),13.0,0,neg_nonalpha_abrev,,,
3192,clear',13.0,0,neg_nonalpha_abrev,,,
3194,[other,13.0,0,neg_nonalpha_abrev,,,
3195,'boy,13.0,0,neg_nonalpha_abrev,,,
3196,'1200',13.0,0,neg_nonalpha_abrev,,,
3197,at),13.0,0,neg_nonalpha_abrev,,,
3199,verbalized),13.0,0,neg_nonalpha_abrev,,,
3200,profile),13.0,0,neg_nonalpha_abrev,,,
3201,lnav),13.0,0,neg_nonalpha_abrev,,,
3202,differently:,13.0,0,neg_nonalpha_abrev,,,
3203,fast),13.0,0,neg_nonalpha_abrev,,,
3204,duty),13.0,0,neg_nonalpha_abrev,,,
3205,release),13.0,0,neg_nonalpha_abrev,,,
3206,'clipped',13.0,0,neg_nonalpha_abrev,,,
3207,arc),13.0,0,neg_nonalpha_abrev,,,
3209,clock',13.0,0,neg_nonalpha_abrev,,,
3210,toilet',13.0,0,neg_nonalpha_abrev,,,
3211,msp),13.0,0,neg_nonalpha_abrev,,,
3212,25r),13.0,0,neg_nonalpha_abrev,,,
3214,'thrust,13.0,0,neg_nonalpha_abrev,,,
3215,holding),13.0,0,neg_nonalpha_abrev,,,
3217,'dive,13.0,0,neg_nonalpha_abrev,,,
3218,radar',13.0,0,neg_nonalpha_abrev,,,
3220,perceptions:,13.0,0,neg_nonalpha_abrev,,,
3221,'tcas,13.0,0,neg_nonalpha_abrev,,,
3222,'airspeed',13.0,0,neg_nonalpha_abrev,,,
3225,sel),13.0,0,neg_nonalpha_abrev,,,
3227,[operations,13.0,0,neg_nonalpha_abrev,,,
3228,enough),13.0,0,neg_nonalpha_abrev,,,
3229,10200',13.0,0,neg_nonalpha_abrev,,,
3231,'270,13.0,0,neg_nonalpha_abrev,,,
3232,flight',13.0,0,neg_nonalpha_abrev,,,
3234,'8',13.0,0,neg_nonalpha_abrev,,,
3236,'someone,13.0,0,neg_nonalpha_abrev,,,
3238,check',13.0,0,neg_nonalpha_abrev,,,
3240,facilities),13.0,0,neg_nonalpha_abrev,,,
3241,8800',13.0,0,neg_nonalpha_abrev,,,
3242,cherokee),13.0,0,neg_nonalpha_abrev,,,
3243,'aft,13.0,0,neg_nonalpha_abrev,,,
3245,mph),13.0,0,neg_nonalpha_abrev,,,
3248,9300',13.0,0,neg_nonalpha_abrev,,,
3249,others),13.0,0,neg_nonalpha_abrev,,,
3251,'pwr,13.0,0,neg_nonalpha_abrev,,,
3252,issue:,13.0,0,neg_nonalpha_abrev,,,
3255,'w',13.0,0,neg_nonalpha_abrev,,,
3256,moderate/severe,13.0,0,neg_nonalpha_abrev,,,
3257,'light,13.0,0,neg_nonalpha_abrev,,,
3258,message:,13.0,0,neg_nonalpha_abrev,,,
3259,through),13.0,0,neg_nonalpha_abrev,,,
3260,'single,13.0,0,neg_nonalpha_abrev,,,
3261,'vectors',13.0,0,neg_nonalpha_abrev,,,
3263,'got,13.0,0,neg_nonalpha_abrev,,,
3264,rptr:,13.0,0,neg_nonalpha_abrev,,,
3265,'turned,13.0,0,neg_nonalpha_abrev,,,
3266,mmu),13.0,0,neg_nonalpha_abrev,,,
3268,'close',13.0,0,neg_nonalpha_abrev,,,
3269,'bat',13.0,0,neg_nonalpha_abrev,,,
3271,rpt',13.0,0,neg_nonalpha_abrev,,,
3273,good',13.0,0,neg_nonalpha_abrev,,,
3275,wait',13.0,0,neg_nonalpha_abrev,,,
3276,knowledge),13.0,0,neg_nonalpha_abrev,,,
3277,runway',13.0,0,neg_nonalpha_abrev,,,
3280,work),13.0,0,neg_nonalpha_abrev,,,
3281,gallons),13.0,0,neg_nonalpha_abrev,,,
3282,missed),13.0,0,neg_nonalpha_abrev,,,
3284,knots',13.0,0,neg_nonalpha_abrev,,,
3285,fl180),13.0,0,neg_nonalpha_abrev,,,
3286,doors',13.0,0,neg_nonalpha_abrev,,,
3287,mtn),13.0,0,neg_nonalpha_abrev,,,
3288,crq),13.0,0,neg_nonalpha_abrev,,,
3291,intercept',13.0,0,neg_nonalpha_abrev,,,
3292,'210,13.0,0,neg_nonalpha_abrev,,,
3294,'right',13.0,0,neg_nonalpha_abrev,,,
3295,'dead,13.0,0,neg_nonalpha_abrev,,,
3297,chk',13.0,0,neg_nonalpha_abrev,,,
3298,'routing',13.0,0,neg_nonalpha_abrev,,,
3299,'except',13.0,0,neg_nonalpha_abrev,,,
3302,22l),13.0,0,neg_nonalpha_abrev,,,
3307,turbulence',12.0,0,neg_nonalpha_abrev,,,
3309,baltimore/washington,12.0,0,neg_nonalpha_abrev,,,
3310,smell),12.0,0,neg_nonalpha_abrev,,,
3312,capture),12.0,0,neg_nonalpha_abrev,,,
3314,'lavatory,12.0,0,neg_nonalpha_abrev,,,
3315,limits),12.0,0,neg_nonalpha_abrev,,,
3316,slc),12.0,0,neg_nonalpha_abrev,,,
3317,'stab,12.0,0,neg_nonalpha_abrev,,,
3318,'equip,12.0,0,neg_nonalpha_abrev,,,
3320,terrain/obstruction,12.0,0,neg_nonalpha_abrev,,,
3321,'correct',12.0,0,neg_nonalpha_abrev,,,
3322,number',12.0,0,neg_nonalpha_abrev,,,
3323,chks',12.0,0,neg_nonalpha_abrev,,,
3325,'continuous,12.0,0,neg_nonalpha_abrev,,,
3330,mcp),12.0,0,neg_nonalpha_abrev,,,
3331,'open',12.0,0,neg_nonalpha_abrev,,,
3332,maneuver),12.0,0,neg_nonalpha_abrev,,,
3333,'tight',12.0,0,neg_nonalpha_abrev,,,
3334,simultaneously),12.0,0,neg_nonalpha_abrev,,,
3335,9800',12.0,0,neg_nonalpha_abrev,,,
3337,'closed',12.0,0,neg_nonalpha_abrev,,,
3338,behind',12.0,0,neg_nonalpha_abrev,,,
3340,gnd',12.0,0,neg_nonalpha_abrev,,,
3343,[they,12.0,0,neg_nonalpha_abrev,,,
3347,pxr),12.0,0,neg_nonalpha_abrev,,,
3348,'090,12.0,0,neg_nonalpha_abrev,,,
3349,respectively),12.0,0,neg_nonalpha_abrev,,,
3351,pit),12.0,0,neg_nonalpha_abrev,,,
3352,cell),12.0,0,neg_nonalpha_abrev,,,
3353,pnf:,12.0,0,neg_nonalpha_abrev,,,
3354,same),12.0,0,neg_nonalpha_abrev,,,
3355,airbus),12.0,0,neg_nonalpha_abrev,,,
3360,'push',12.0,0,neg_nonalpha_abrev,,,
3362,ft/minute,12.0,0,neg_nonalpha_abrev,,,
3364,'filed,12.0,0,neg_nonalpha_abrev,,,
3365,mea),12.0,0,neg_nonalpha_abrev,,,
3366,total),12.0,0,neg_nonalpha_abrev,,,
3368,ctlr?,12.0,0,neg_nonalpha_abrev,,,
3369,'abc,12.0,0,neg_nonalpha_abrev,,,
3377,communicate',12.0,0,neg_nonalpha_abrev,,,
3378,'230,12.0,0,neg_nonalpha_abrev,,,
3379,'orange,12.0,0,neg_nonalpha_abrev,,,
3380,turbulence),12.0,0,neg_nonalpha_abrev,,,
3381,look',12.0,0,neg_nonalpha_abrev,,,
3383,ways:,12.0,0,neg_nonalpha_abrev,,,
3384,'nice,12.0,0,neg_nonalpha_abrev,,,
3385,ucr),12.0,0,neg_nonalpha_abrev,,,
3386,asym',12.0,0,neg_nonalpha_abrev,,,
3391,'vertical,12.0,0,neg_nonalpha_abrev,,,
3392,sid?,12.0,0,neg_nonalpha_abrev,,,
3394,advisories),12.0,0,neg_nonalpha_abrev,,,
3395,consideration:,12.0,0,neg_nonalpha_abrev,,,
3396,though),12.0,0,neg_nonalpha_abrev,,,
3397,performance),12.0,0,neg_nonalpha_abrev,,,
3398,heard),12.0,0,neg_nonalpha_abrev,,,
3399,'vnav',12.0,0,neg_nonalpha_abrev,,,
3400,now?,12.0,0,neg_nonalpha_abrev,,,
3401,annunciator),12.0,0,neg_nonalpha_abrev,,,
3403,24l),12.0,0,neg_nonalpha_abrev,,,
3404,'7700',12.0,0,neg_nonalpha_abrev,,,
3405,ii),12.0,0,neg_nonalpha_abrev,,,
3406,unsafe),12.0,0,neg_nonalpha_abrev,,,
3407,direct',12.0,0,neg_nonalpha_abrev,,,
3408,'special',12.0,0,neg_nonalpha_abrev,,,
3410,coast),12.0,0,neg_nonalpha_abrev,,,
3411,prevent:,12.0,0,neg_nonalpha_abrev,,,
3412,air/ground,12.0,0,neg_nonalpha_abrev,,,
3413,up?,12.0,0,neg_nonalpha_abrev,,,
3415,blm),12.0,0,neg_nonalpha_abrev,,,
3417,passed),12.0,0,neg_nonalpha_abrev,,,
3419,altitude],12.0,0,neg_nonalpha_abrev,,,
3421,rwy?,12.0,0,neg_nonalpha_abrev,,,
3424,unlocked',12.0,0,neg_nonalpha_abrev,,,
3425,state:,12.0,0,neg_nonalpha_abrev,,,
3426,lost),12.0,0,neg_nonalpha_abrev,,,
3427,cri),12.0,0,neg_nonalpha_abrev,,,
3428,9600',12.0,0,neg_nonalpha_abrev,,,
3429,tca?,12.0,0,neg_nonalpha_abrev,,,
3430,usable),12.0,0,neg_nonalpha_abrev,,,
3431,edge:,12.0,0,neg_nonalpha_abrev,,,
3432,tn),12.0,0,neg_nonalpha_abrev,,,
3433,flc),12.0,0,neg_nonalpha_abrev,,,
3434,tkof/clb,12.0,0,neg_nonalpha_abrev,,,
3436,if/iaf,12.0,0,neg_nonalpha_abrev,,,
3438,'elevator,12.0,0,neg_nonalpha_abrev,,,
3441,adf),12.0,0,neg_nonalpha_abrev,,,
3443,'q',12.0,0,neg_nonalpha_abrev,,,
3444,sky',12.0,0,neg_nonalpha_abrev,,,
3445,'ctlr,12.0,0,neg_nonalpha_abrev,,,
3446,max),12.0,0,neg_nonalpha_abrev,,,
3449,'yellow',12.0,0,neg_nonalpha_abrev,,,
3450,guidance),12.0,0,neg_nonalpha_abrev,,,
3451,'managed',12.0,0,neg_nonalpha_abrev,,,
3452,'stuck,12.0,0,neg_nonalpha_abrev,,,
3453,'magic',12.0,0,neg_nonalpha_abrev,,,
3454,'being,12.0,0,neg_nonalpha_abrev,,,
3456,wing',12.0,0,neg_nonalpha_abrev,,,
3460,later],12.0,0,neg_nonalpha_abrev,,,
3461,'stick,12.0,0,neg_nonalpha_abrev,,,
3463,s',12.0,0,neg_nonalpha_abrev,,,
3466,blue),12.0,0,neg_nonalpha_abrev,,,
3468,'altimeter,12.0,0,neg_nonalpha_abrev,,,
3469,unusual),12.0,0,neg_nonalpha_abrev,,,
3471,into/out,12.0,0,neg_nonalpha_abrev,,,
3474,direction',12.0,0,neg_nonalpha_abrev,,,
3479,briefing),12.0,0,neg_nonalpha_abrev,,,
3482,lights',12.0,0,neg_nonalpha_abrev,,,
3484,r/t,12.0,0,neg_nonalpha_abrev,,,
3485,downwind',12.0,0,neg_nonalpha_abrev,,,
3486,takeoff),12.0,0,neg_nonalpha_abrev,,,
3487,navigation),12.0,0,neg_nonalpha_abrev,,,
3489,'whitestone,12.0,0,neg_nonalpha_abrev,,,
3490,'execute,12.0,0,neg_nonalpha_abrev,,,
3492,locked),12.0,0,neg_nonalpha_abrev,,,
3493,routing',12.0,0,neg_nonalpha_abrev,,,
3495,control',12.0,0,neg_nonalpha_abrev,,,
3496,icing),12.0,0,neg_nonalpha_abrev,,,
3499,minute),12.0,0,neg_nonalpha_abrev,,,
3501,confusion),12.0,0,neg_nonalpha_abrev,,,
3503,'priority,12.0,0,neg_nonalpha_abrev,,,
3504,'tkof',12.0,0,neg_nonalpha_abrev,,,
3505,working),12.0,0,neg_nonalpha_abrev,,,
3508,'blue,12.0,0,neg_nonalpha_abrev,,,
3511,here?,12.0,0,neg_nonalpha_abrev,,,
3512,made:,12.0,0,neg_nonalpha_abrev,,,
3514,'she,12.0,0,neg_nonalpha_abrev,,,
3515,corner',12.0,0,neg_nonalpha_abrev,,,
3517,procedures',12.0,0,neg_nonalpha_abrev,,,
3519,communications),12.0,0,neg_nonalpha_abrev,,,
3520,ta/vsi,12.0,0,neg_nonalpha_abrev,,,
3521,dep?,12.0,0,neg_nonalpha_abrev,,,
3522,'wind,12.0,0,neg_nonalpha_abrev,,,
3525,'coast',12.0,0,neg_nonalpha_abrev,,,
3527,sector],12.0,0,neg_nonalpha_abrev,,,
3528,'known,12.0,0,neg_nonalpha_abrev,,,
3529,bdl),12.0,0,neg_nonalpha_abrev,,,
3531,9400',12.0,0,neg_nonalpha_abrev,,,
3532,intxn',12.0,0,neg_nonalpha_abrev,,,
3537,airline],12.0,0,neg_nonalpha_abrev,,,
3538,'app',12.0,0,neg_nonalpha_abrev,,,
3540,delay',12.0,0,neg_nonalpha_abrev,,,
3541,'false,12.0,0,neg_nonalpha_abrev,,,
3542,there?,12.0,0,neg_nonalpha_abrev,,,
3543,north/south,12.0,0,neg_nonalpha_abrev,,,
3544,diagram),12.0,0,neg_nonalpha_abrev,,,
3545,localizer',12.0,0,neg_nonalpha_abrev,,,
3546,cvg),12.0,0,neg_nonalpha_abrev,,,
3549,'descent,12.0,0,neg_nonalpha_abrev,,,
3550,say:,12.0,0,neg_nonalpha_abrev,,,
3551,'insufficient,12.0,0,neg_nonalpha_abrev,,,
3552,after),12.0,0,neg_nonalpha_abrev,,,
3555,instruction),12.0,0,neg_nonalpha_abrev,,,
3556,'try,12.0,0,neg_nonalpha_abrev,,,
3558,hdg/alt,12.0,0,neg_nonalpha_abrev,,,
3562,w32),12.0,0,neg_nonalpha_abrev,,,
3563,dusk),12.0,0,neg_nonalpha_abrev,,,
3567,hear),11.0,0,neg_nonalpha_abrev,,,
3568,'bad',11.0,0,neg_nonalpha_abrev,,,
3569,future?,11.0,0,neg_nonalpha_abrev,,,
3570,'should',11.0,0,neg_nonalpha_abrev,,,
3571,delivery:,11.0,0,neg_nonalpha_abrev,,,
3572,engine),11.0,0,neg_nonalpha_abrev,,,
3573,'approach',11.0,0,neg_nonalpha_abrev,,,
3574,'why',11.0,0,neg_nonalpha_abrev,,,
3576,stars),11.0,0,neg_nonalpha_abrev,,,
3577,'xing,11.0,0,neg_nonalpha_abrev,,,
3578,something),11.0,0,neg_nonalpha_abrev,,,
3579,issue),11.0,0,neg_nonalpha_abrev,,,
3581,rime),11.0,0,neg_nonalpha_abrev,,,
3582,a320),11.0,0,neg_nonalpha_abrev,,,
3585,statement:,11.0,0,neg_nonalpha_abrev,,,
3586,track',11.0,0,neg_nonalpha_abrev,,,
3587,guess),11.0,0,neg_nonalpha_abrev,,,
3589,backgnd:,11.0,0,neg_nonalpha_abrev,,,
3590,regional),11.0,0,neg_nonalpha_abrev,,,
3591,set),11.0,0,neg_nonalpha_abrev,,,
3592,act),11.0,0,neg_nonalpha_abrev,,,
3593,'some,11.0,0,neg_nonalpha_abrev,,,
3595,'nxxxx,11.0,0,neg_nonalpha_abrev,,,
3596,pvd),11.0,0,neg_nonalpha_abrev,,,
3597,guard),11.0,0,neg_nonalpha_abrev,,,
3598,frequency),11.0,0,neg_nonalpha_abrev,,,
3600,'less,11.0,0,neg_nonalpha_abrev,,,
3601,'15,11.0,0,neg_nonalpha_abrev,,,
3603,unsafe',11.0,0,neg_nonalpha_abrev,,,
3604,'assigned,11.0,0,neg_nonalpha_abrev,,,
