"AIDS Report Number","Local Event Date","Event City","Event State","Event Airport","Event Type","Aircraft Damage","Flight Phase","Aircraft Make","Aircraft Model","Aircraft Series","Operator","Primary Flight Type","Flight Conduct Code","Flight Plan Filed Code","Aircraft Registration Nbr","Total Fatalities","Total Injuries","Aircraft Engine Make","Aircraft Engine Model","Engine Group Code","Nbr of Engines","PIC Certificate Type","PIC Flight Time Total Hrs","PIC Flight Time Total Make-Model"," "," "
"20190327002059I","27-MAR-19","MANHEIM","NY","","INCIDENT","NONE","CRUISE-LEVEL FLIGHT","MBB","BK117","B2","MERCY FLIGHT CENTRAL INC","","AIR TAXI/COMMUTER","","636MC","0","0","LYCOMI","LTS-101 SER","","","COMMERCIAL PILOT","2230","30","9",""
"20190328002079I","28-MAR-19","BRANDY STATION","VA","CULPEPER RGNL","INCIDENT","MINOR","LANDING: APPROACH","RYAN","NAVION","A","","","GENERAL OPERATING RULES","","20000","0","0","CONT M","IO550B","267537","","AIRLINE TRANSPORT","28000","219","75",""
"20190329002119I","29-MAR-19","FREDERICK","MD","FREDERICK MUNI","INCIDENT","MINOR","LANDING: TOUCHDOWN","BEECH","33","35B33","","","GENERAL OPERATING RULES","","8502M","0","0","CONT M","I0-470 SERIES","","","COMMERCIAL PILOT","1350","165","108",""
"20190329002139I","29-MAR-19","VERO BEACH","FL","VERO BEACH MUNI","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","","","","","","GENERAL OPERATING RULES","","MGCAP","0","0","","","","","AIRLINE TRANSPORT","7250","","",""
"20190329006279I","29-MAR-19","SPARTA","TN","UPPER CUMBERLAND RGNL","INCIDENT","MINOR","LANDING: ROLLOUT","PIPER","PA34","200T","","","GENERAL OPERATING RULES","","5463F","0","0","CONT M","TSIO-360 SER","","","PRIVATE PILOT","382","49","5",""
"20190330000049I","30-MAR-19","EAST HARTFORD","CT","HARTFORD-BRAINARD","INCIDENT","MINOR","LANDING: TOUCHDOWN","PIPER","PA28","161","","","GENERAL OPERATING RULES","","3077M","0","0","LYCOMI","0-320 SERIES","A4M","","STUDENT","120","120","15",""
"20190330002169I","30-MAR-19","LOUISA","VA","LOUISA COUNTY/FREEMAN FIELD","INCIDENT","MINOR","LANDING: TOUCHDOWN","PIPER","PA24","260","","","GENERAL OPERATING RULES","","8733P","0","0","LYCOMI","TI0-540 SER","","","COMMERCIAL PILOT FLIGHT INSTRUCTOR","1203","20","13",""
"20190330002199I","30-MAR-19","TWIN FALLS","ID","JOSLIN FIELD - MAGIC VALLEY RGNL","INCIDENT","MINOR","LANDING: ROLLOUT","CESSNA","310","K","","","GENERAL OPERATING RULES","","6999L","0","0","CONT M","I0-470 SERIES","","2","","","","",""
"20190330002229I","30-MAR-19","FORT MYERS","FL","PAGE FIELD","INCIDENT","NONE","TAKEOFF: DEPARTURE","CESSNA","172","S","","","GENERAL OPERATING RULES","","15222","0","0","LYCOMI","IO-360-L2A","","1","STUDENT","32","32","32",""
"20190331002269I","31-MAR-19","SAINT AUGUSTINE","FL","NORTHEAST FLORIDA RGNL","INCIDENT","NONE","TAKEOFF: CLIMB OUT","CESSNA","172","R","FLORIDA FLYERS EUROPEAN US FLIGHT SCHOOL INC","","PILOT SCHOOLS","","2444H","0","0","LYCOMI","I0360 SER","","1","STUDENT","54","54","54",""
"20190331002279I","31-MAR-19","LUTZ","FL","GERACI AIRPARK","INCIDENT","NONE","CRUISE-LEVEL FLIGHT","ROBINSON","R44","UNDESIGNATED SERIES","","","GENERAL OPERATING RULES","","4046J","0","0","LYCOMI","IO-540-AE1A5","","","PRIVATE PILOT","1800","","",""
"20190331010699I","31-MAR-19","SPRING","TX","DAVID WAYNE HOOKS MEMORIAL","INCIDENT","MINOR","LANDING: TOUCHDOWN","BEECH","35","E35","","","GENERAL OPERATING RULES","","3249C","0","0","CONT M","E225 SERIES","","1","PRIVATE PILOT","","","",""
"20190331015009I","31-MAR-19","NOME","AK","NOME","INCIDENT","NONE","TAKEOFF: CLIMB OUT","PIPER","PA31","350","HAGELAND AVIATION SERVICES INC","","AIR TAXI/COMMUTER","","3536B","0","0","LYCOMI","TI0-540 SER","J2B","","","","","",""
"20190331015949I","31-MAR-19","CAMARILLO","CA","CAMARILLO","INCIDENT","MINOR","LANDING: TOUCHDOWN","","","","","","GENERAL OPERATING RULES","","323CR","0","0","AMA/EX","UNKNOWN ENG","","","PRIVATE PILOT","233","135","7",""
"20190331017279I","31-MAR-19","SUGAR GROVE","IL","AURORA MUNI","INCIDENT","MINOR","LANDING: TOUCHDOWN","CHAMPION","8KCAB","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","53818","0","0","LYCOMI","IO-320 SERIES","","1","PRIVATE PILOT","","","",""
"20190401002319I","01-APR-19","INDIANAPOLIS","IN","INDIANAPOLIS INTL","INCIDENT","MINOR","TAKEOFF: CLIMB OUT","","","","","","PILOT SCHOOLS","","945L","0","0","AUSTRO","E4-A","","","PRIVATE PILOT FLIGHT INSTRUCTOR","1060","440","170",""
"20190401002329I","01-APR-19","BENTON","IL","BENTON MUNI","INCIDENT","MINOR","LANDING: TOUCHDOWN","","","","","","GENERAL OPERATING RULES","","816ZH","0","0","VIKING","130","","","PRIVATE PILOT","189","12","12",""
"20190401002339I","01-APR-19","FARGO","ND","HECTOR INTL","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","PIPER","PA60","600","CASTLE AVIATION INC","","AIR TAXI/COMMUTER","","49MG","0","1","LYCOMI","IO-540 SER","","","PRIVATE PILOT","1295","61","309",""
"20190402002369I","02-APR-19","LAKELAND","FL","LAKELAND LINDER RGNL","INCIDENT","MINOR","LANDING: ROLLOUT","AERO VODOCHODY","L39","UNDESIGNATED SERIES","","","GENERAL OPERATING RULES","","430J","0","0","GARRET","TFE731 SERIES","","","","","","",""
"20190402002379I","02-APR-19","LAKELAND","FL","LAKELAND LINDER RGNL","INCIDENT","MINOR","LANDING: TOUCHDOWN","CESSNA","180","K","","","GENERAL OPERATING RULES","","63638","0","0","","","","1","PRIVATE PILOT","4000","60","20",""
"20190402002389I","02-APR-19","LAKELAND","FL","LAKELAND LINDER RGNL","INCIDENT","MINOR","LANDING: TOUCHDOWN","BEECH","58","P","","","GENERAL OPERATING RULES","","58PR","0","0","CONT M","TSIO-520 SER","","2","","","","",""
"20190402002399I","02-APR-19","ANGLETON","TX","TEXAS GULF COAST RGNL","INCIDENT","SUBSTANTIAL","LANDING: ROLLOUT","PIPER","PA28","180","","","GENERAL OPERATING RULES","","992TF","0","0","LYCOMI","O&VO-360 SER","","","PRIVATE PILOT","162","5","5",""
"20190403002409I","03-APR-19","EDGEWATER","MD","LEE","INCIDENT","MINOR","LANDING: APPROACH","PIPER","PA22","108","","","GENERAL OPERATING RULES","","4530Z","0","0","LYCOMI","0-235 SERIES","","","PRIVATE PILOT","1011","6","10",""
"20190403002419I","03-APR-19","WILMINGTON","NC","WILMINGTON INTL","INCIDENT","NONE","LANDING: TOUCHDOWN","CESSNA","172","M","","","GENERAL OPERATING RULES","","193JS","0","0","LYCOMI","0-320 SERIES","","1","STUDENT","35","35","32",""
"20190403002429I","03-APR-19","MORRIS","IL","","INCIDENT","MINOR","LANDING: TOUCHDOWN","","","","","","GENERAL OPERATING RULES","","76TK","0","0","ROTAX","UNKNOWN","UNKNOW","","PRIVATE PILOT","1800","10","",""
"20190403002439I","03-APR-19","FRANKFORT","IN","FRANKFORT MUNI","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","CIRRUS","SR20","NO SERIES EXISTS","PURDUE UNIVERSITY","","PILOT SCHOOLS","","584PU","0","0","CONT M","IO-360-ES","101129","1","","","","",""
"20190403002459I","03-APR-19","PUNTA GORDA","FL","PUNTA GORDA","INCIDENT","MINOR","LANDING: TOUCHDOWN","LAKE","LA4","200","","","GENERAL OPERATING RULES","","39799","0","0","LYCOMI","I0360 SER","","","PRIVATE PILOT","2000","3","8",""
"20190404002489I","04-APR-19","WINTER HAVEN","FL","WINTER HAVEN'S GILBERT","INCIDENT","MINOR","LANDING: TOUCHDOWN","","","","","","GENERAL OPERATING RULES","","228RT","0","0","LYCOMI","320 SERIES","0-320-","","PRIVATE PILOT","3719","2","2",""
"20190404002499I","04-APR-19","LAKELAND","FL","LAKELAND LINDER RGNL","INCIDENT","MINOR","GROUND-RAMP","","","","","","GENERAL OPERATING RULES","","10SQ","0","0","LYCOMI","0-320 SERIES","","","PRIVATE PILOT","894","","",""
"20190404010719I","04-APR-19","EASTON","PA","BRADEN AIRPARK","INCIDENT","MINOR","OTHER-SPECIFY","","","","","","GENERAL OPERATING RULES","","1122L","0","0","LYCOMI","I0360 SER","","","PRIVATE PILOT","1100","8","30",""
"20190405002529I","05-APR-19","OMAHA","NE","MILLARD","INCIDENT","MINOR","LANDING: ROLLOUT","BEECH","35","N35","","","GENERAL OPERATING RULES","","30YJ","0","0","CONT M","I0-470 SERIES","","1","COMMERCIAL PILOT FLIGHT INSTRUCTOR","6800","4500","20",""
"20190406000059I","06-APR-19","ORANGE","MA","ORANGE MUNI","INCIDENT","MINOR","LANDING: TOUCHDOWN","CESSNA","208","UNDESIGNATED SERIES","","","GENERAL OPERATING RULES","","167PM","0","0","P&W CA","PT6A-114A","","1","COMMERCIAL PILOT","1140","1","6",""
"20190406002549I","06-APR-19","HAMILTON","OH","BUTLER CO RGNL","INCIDENT","MINOR","LANDING: ROLLOUT","","","","","","GENERAL OPERATING RULES","","183RV","0","0","AMA/EX","UNKNOWN ENG","","","AIRLINE TRANSPORT","20250","26","167",""
"20190406002559I","06-APR-19","NEW LEXINGTON","OH","PERRY COUNTY","INCIDENT","MINOR","LANDING: TOUCHDOWN","PIPER","PA28R","180","","","GENERAL OPERATING RULES","","292RM","0","0","LYCOMI","I0360 SER","","","PRIVATE PILOT","122","50","7",""
"20190406002569I","06-APR-19","SAN DIEGO","CA","GILLESPIE FIELD","INCIDENT","MINOR","LANDING: TOUCHDOWN","PIPER","PA24","250","","","GENERAL OPERATING RULES","","7372P","0","0","LYCOMI","0-540 SERIES","","","PRIVATE PILOT","508","80","23",""
"20190407002579I","07-APR-19","WILLIAMSTOWN","NJ","CROSS KEYS","INCIDENT","NONE","UNKNOWN","CESSNA","208","B","","","PARACHUTE JUMPING","","104JP","1","0","","","","1","","","","",""
"20190407002589I","07-APR-19","FRANKLIN","VA","FRANKLIN MUNI-JOHN BEVERLY ROSE","INCIDENT","MINOR","GROUND-RAMP","AERONCA","7AC","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","81663","0","1","CONT M","A&C65 SERIES","","1","PRIVATE PILOT","800","45","1",""
"20190407002599I","07-APR-19","SANFORD","FL","ORLANDO SANFORD INTL","INCIDENT","NONE","CRUISE-LEVEL FLIGHT","CESSNA","172","P","","","PILOT SCHOOLS","","52841","0","0","LYCOMI","0-320 SERIES","","1","STUDENT","55","55","45",""
"20190407002609I","07-APR-19","MIAMI","FL","KENDALL-TAMIAMI EXECUTIVE","INCIDENT","MINOR","TAXI","","","","","","GENERAL OPERATING RULES","","711PP","0","0","","","","","STUDENT","245","25","53",""
"20190408002629I","08-APR-19","WEST BOUNTIFUL","UT","SKYPARK","INCIDENT","MINOR","TAKEOFF: CLIMB OUT","DIAMOND","DA40","UNDESIGNATED SERIES","","","","","134PS","0","0","LYCOMI","I0360 SER","","","STUDENT","16","16","16",""
"20190408002639I","08-APR-19","ROCK HILL","SC","ROCK HILL/YORK CO/BRYANT FIELD","INCIDENT","MINOR","LANDING: ROLLOUT","PIPER","PA11","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","355WA","0","0","TITAN","OX-340CC","","","COMMERCIAL PILOT","414","109","61",""
"20190408010729I","08-APR-19","MESA","AZ","PHOENIX-MESA GATEWAY","INCIDENT","MINOR","LANDING: TOUCHDOWN","CESSNA","172","S","","","PILOT SCHOOLS","","653ND","0","0","LYCOMI","IO-360-L2A","","1","PRIVATE PILOT FLIGHT INSTRUCTOR","470","434","97",""
"20190409002649I","09-APR-19","COVINGTON","TN","COVINGTON MUNI","INCIDENT","MINOR","TAKEOFF: ROTATION","DIAMOND","DA20","C1","","","PILOT SCHOOLS","","82ZZ","0","0","CONT M","IO-240-B","","","STUDENT","","20","15",""
"20190409002659I","09-APR-19","PARKSTON","SD","PARKSTON MUNI","INCIDENT","MINOR","LANDING: TOUCHDOWN","CESSNA","177RG","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","88NG","0","0","","","","1","PRIVATE PILOT","1785","551","22",""
"20190409015859I","09-APR-19","KNOXVILLE","TN","MC GHEE TYSON","INCIDENT","MINOR","LANDING: ROLLOUT","BEECH","90","C90","","","GENERAL OPERATING RULES","","25DL","0","0","","","","2","","","","",""
"20190410002679I","10-APR-19","GREENSBORO","NC","PIEDMONT TRIAD INTL","INCIDENT","MINOR","LANDING: TOUCHDOWN","PIPER","PA32","260","","","GENERAL OPERATING RULES","","3717W","0","0","LYCOMI","0-540 SERIES","","","AIRLINE TRANSPORT","19248","26","26",""
"20190410016189I","10-APR-19","SAINT AUGUSTINE","FL","NORTHEAST FLORIDA RGNL","INCIDENT","NONE","LANDING: ROLLOUT","TAYLORCRAFT","BC12","D1","","","GENERAL OPERATING RULES","","5284M","0","0","NONE","NONE","","","PRIVATE PILOT","","","",""
"20190411011309I","11-APR-19","EL PASO","TX","EL PASO INTL","INCIDENT","NONE","CRUISE-LEVEL FLIGHT","AEROSPATIALE","AS350","B2","","","GENERAL OPERATING RULES","","204TX","0","0","TURBOM","ARRIEL 1D1","","","COMMERCIAL PILOT","2320","1100","120",""
"20190412002699I","12-APR-19","CHURCHVILLE","MD","HARFORD COUNTY","INCIDENT","MINOR","TAKEOFF: CLIMB OUT","CESSNA","177","B","","","GENERAL OPERATING RULES","","16023","0","0","LYCOMI","O&VO-360 SER","","1","PRIVATE PILOT","1470","1400","7",""
"20190412002709I","12-APR-19","BRUNSWICK","GA","BRUNSWICK GOLDEN ISLES","INCIDENT","MINOR","TAKEOFF: CLIMB OUT","CIRRUS","SR20","NO SERIES EXISTS","","","PILOT SCHOOLS","","489DA","0","0","CONT M","IO-360-ES","","1","COMMERCIAL PILOT FLIGHT INSTRUCTOR","350","152","61",""
"20190412008239I","12-APR-19","BURLINGTON","NC","BURLINGTON-ALAMANCE RGNL","INCIDENT","MINOR","TAKEOFF: DEPARTURE","CESSNA","550","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","86UR","0","0","P&W CA","JT15D-4","","2","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","6390","365","35",""
"20190413002719I","13-APR-19","PHILADELPHIA","PA","PHILADELPHIA INTL","INCIDENT","MINOR","LANDING: APPROACH","EMBRAER","EMB145","LR","PIEDMONT AIRLINES INC","","AIR CARRIER/COMMERCIAL","","609DP","0","0","ALLISO","AE 3007A","","","AIRLINE TRANSPORT","8755","","",""
"20190413016879I","13-APR-19","SANTA ANA","CA","JOHN WAYNE AIRPORT-ORANGE COUNTY","INCIDENT","NONE","MANEUVER","MD HELICOPTER","500","N","HUNTINGTON BEACH POLICE DEPARTMENT","","GENERAL OPERATING RULES","","523HB","0","0","ROLLS-","250-C20R/2","","1","COMMERCIAL PILOT FLIGHT INSTRUCTOR","","","",""
"20190414002789I","14-APR-19","HOUMA","LA","HOUMA-TERREBONNE","INCIDENT","MINOR","LANDING: ROLLOUT","CESSNA","310","P","","","GENERAL OPERATING RULES","","711HB","0","0","CONT M","I0-470 SERIES","","2","","","","",""
"20190414010789I","14-APR-19","SAN ANTONIO","TX","SAN ANTONIO INTL","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","CESSNA","TU206","F","","","GENERAL OPERATING RULES","","35885","0","0","CONT M","TSIO-520 SER","","1","PRIVATE PILOT","5000","5000","10",""
"20190415002839I","15-APR-19","PULLMAN","WA","PULLMAN/MOSCOW RGNL","INCIDENT","MINOR","TAKEOFF: CLIMB OUT","PIPER","PA46","500TP","","","GENERAL OPERATING RULES","","464HP","0","0","P&W CA","PT6A-42A","N/A","","PRIVATE PILOT","2050","327","15",""
"20190415002859I","15-APR-19","MIAMI","FL","KENDALL-TAMIAMI EXECUTIVE","INCIDENT","MINOR","LANDING: TOUCHDOWN","CESSNA","172","S","ADF AIRWAYS","","PILOT SCHOOLS","","5262U","0","0","LYCOMI","IO-360-L2A","","1","STUDENT","52","42","42",""
"20190415002869I","15-APR-19","SAN MIGUEL","NM","","INCIDENT","MINOR","LANDING: ROLLOUT","WEATHERLY","620","B","VALLEY AG AERIAL SERVICES","","AGRICULTURAL","","9033T","0","0","P&W","R-985 SERIES","","1","COMMERCIAL PILOT","5101","15","18",""
"20190415002879I","15-APR-19","TYLER","TX","TYLER POUNDS RGNL","INCIDENT","MINOR","LANDING: TOUCHDOWN","CESSNA","A185","F","","","GENERAL OPERATING RULES","","4611E","0","0","CONT M","IO 520 SERIES","","1","COMMERCIAL PILOT","667","48","17",""
"20190416002909I","16-APR-19","EUGENE","OR","MAHLON SWEET FIELD","INCIDENT","MINOR","TAKEOFF: ROTATION","CESSNA","550","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","780CF","0","0","P&W CA","JT15D-4","","2","","","","",""
"20190416002919I","16-APR-19","SANFORD","FL","ORLANDO SANFORD INTL","INCIDENT","MINOR","LANDING: TOUCHDOWN","","","","","","GENERAL OPERATING RULES","","45UZ","0","0","LYCOMI","H2AD","EXP","","","","","",""
"20190416002929I","16-APR-19","FORT PIERCE","FL","ST LUCIE COUNTY INTL","INCIDENT","MINOR","TAKEOFF: CLIMB OUT","PIPER","PA28","161","","","PILOT SCHOOLS","","449ND","0","0","LYCOMI","0-320 SERIES","","","","","","",""
"20190416015099I","16-APR-19","BETHEL","AK","BETHEL","INCIDENT","SUBSTANTIAL","LANDING: TOUCHDOWN","CESSNA","172","M","PAKLOOK AIR INC","","AIR TAXI/COMMUTER","","9626H","0","0","LYCOMI","0-320 SERIES","E2D","1","PRIVATE PILOT","568","74","33",""
"20190417002959I","17-APR-19","GENEVA","OH","GERMACK","INCIDENT","MINOR","LANDING: TOUCHDOWN","","","","","","GENERAL OPERATING RULES","","4061E","0","0","CONT M","C85 SERIES","","1","COMMERCIAL PILOT FLIGHT INSTRUCTOR","13073","1","40",""
"20190417002969I","17-APR-19","PUNTA GORDA","FL","PUNTA GORDA","INCIDENT","NONE","TAXI","NON STANDARD","","","","","GENERAL OPERATING RULES","","708GB","0","0","ROTAX","912ULS","","","PRIVATE PILOT","325","","",""
"20190418002979I","18-APR-19","BOSTON","MA","GENERAL EDWARD LAWRENCE LOGAN INTL","INCIDENT","MINOR","TAXI","AIRBUS","A300","F4 622R","UNITED PARCEL SERVICE CO","","AIR CARRIER/COMMERCIAL","","140UP","0","0","P & W","PW4158","","","AIRLINE TRANSPORT","","","",""
"20190418002989I","18-APR-19","COLUMBUS","OH","OHIO STATE UNIVERSITY","INCIDENT","MINOR","LANDING: APPROACH","","","","","","GENERAL OPERATING RULES","","72HP","0","0","TURBOM","ARRIEL 2D","","1","","","","",""
"20190418003009I","18-APR-19","VANCOUVER","WA","BRUSH PRAIRIE AERODROME","INCIDENT","NONE","DESCENT","PIPER","PA28","161","","","GENERAL OPERATING RULES","","1913H","0","0","LYCOMI","0-320 SERIES","","","","","","",""
"20190418003019I","18-APR-19","SANTA FE","NM","SANTA FE MUNI","INCIDENT","MINOR","TAKEOFF: DEPARTURE","","","","","","GENERAL OPERATING RULES","","9HN","0","0","ROTAX","912UL","","","","","","",""
"20190418003039I","18-APR-19","SAN BERNARDINO","CA","","INCIDENT","NONE","CRUISE-LEVEL FLIGHT","","","","","","GENERAL OPERATING RULES","","77WK","0","0","LYCOMI","0-320 SERIES","","","COMMERCIAL PILOT FLIGHT INSTRUCTOR","3309","2084","47",""
"20190419000539I","19-APR-19","BISMARCK","ND","BISMARCK MUNI","INCIDENT","MINOR","LANDING: APPROACH","","","","MN AIRLINES LLC","","AIR CARRIER/COMMERCIAL","","827SY","0","0","CFM IN","CFM56-7B26","","","","","","",""
"20190419003049I","19-APR-19","AUGUSTA","ME","AUGUSTA STATE","INCIDENT","MINOR","LANDING: ROLLOUT","BEECH","35","M35","","","GENERAL OPERATING RULES","","706CM","0","0","CONT M","I0-470 SERIES","","1","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","3468","13","142",""
"20190419003069I","19-APR-19","CENTENNIAL","CO","CENTENNIAL","INCIDENT","MINOR","LANDING: TOUCHDOWN","CESSNA","172","N","","","GENERAL OPERATING RULES","","6346D","0","0","","","","1","STUDENT","36","30","17",""
"20190419003079I","19-APR-19","","FL","BIG CYPRESS AIRFIELD","INCIDENT","NONE","CRUISE-LEVEL FLIGHT","MOONEY","M20E","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","2590W","0","0","LYCOMI","I0360 SER","","1","PRIVATE PILOT","","","",""
"20190419003089I","19-APR-19","FORT MYERS","FL","PAGE FIELD","INCIDENT","NONE","TAXI","BEECH","35","S35","","","GENERAL OPERATING RULES","","5751K","0","0","CONT M","IO 520 SERIES","","1","PRIVATE PILOT","650","600","10",""
"20190419010842I","19-APR-19","HOUSTON","TX","LONE STAR EXECUTIVE","INCIDENT","MINOR","GROUND-RAMP","BEECH","90","E90","INTEGRA AVIATION LLC","","GENERAL OPERATING RULES","","9029R","0","0","P&W CA","PT6A-60A","","","","","","",""
"20190419010859I","19-APR-19","BOERNE","TX","BOERNE STAGE FIELD","INCIDENT","NONE","TAKEOFF: CLIMB OUT","ECLIPSE AVIATION","500","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","581VC","0","0","P&W CA","PW610F-A","","","PRIVATE PILOT","3000","300","150",""
"20190421003139I","21-APR-19","OAK ISLAND","NC","CAPE FEAR RGNL JETPORT/HOWIE FRANKLIN FLD","INCIDENT","NONE","LANDING: APPROACH","CESSNA","182","A","","","PARACHUTE JUMPING","","5914B","1","0","CONT M","O-470 SERIES","","1","","","","",""
"20190421003149I","21-APR-19","SAINT PAUL","MN","ST PAUL DOWNTOWN HOLMAN FLD","INCIDENT","MINOR","TAKEOFF: DEPARTURE","CHAMPION","7GCBC","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","75MM","0","0","LYCOMI","0-320 SERIES","","1","PRIVATE PILOT","1300","15","15",""
"20190421003159I","21-APR-19","JACKSON","MI","JACKSON COUNTY-REYNOLDS FIELD","INCIDENT","MINOR","LANDING: TOUCHDOWN","PIPER","PA34","200T","","","GENERAL OPERATING RULES","","73FS","0","0","CONT M","TSIO-360 SER","","","COMMERCIAL PILOT FLIGHT INSTRUCTOR","6500","858","50",""
"20190421003169I","21-APR-19","ENGLEWOOD","CO","CENTENNIAL","INCIDENT","MINOR","TAKEOFF: DEPARTURE","PIPER","PA23","250","","","GENERAL OPERATING RULES","","6900Y","0","0","","","","","COMMERCIAL PILOT","1134","220","226",""
"20190421003199I","21-APR-19","GULF SHORES","AL","","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","PIPER","PA11","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","7360P","0","0","TITAN","OX-340CC","","","STUDENT","125","110","10",""
"20190421003209I","21-APR-19","MERRITT ISLAND","FL","MERRITT ISLAND","INCIDENT","MINOR","LANDING: TOUCHDOWN","","","","","","GENERAL OPERATING RULES","","18WN","0","0","LYCOMI","IO-540 SER","","","PRIVATE PILOT","2500","500","15",""
"20190421003219I","21-APR-19","TULSA","OK","TUCSON INTL","INCIDENT","MINOR","LANDING: TOUCHDOWN","SOCATA","TBM700","UNDESIGNATED SERIES","","","GENERAL OPERATING RULES","","950AX","0","0","P&W CA","PT6A66D","","","PRIVATE PILOT","3994","1445","60",""
"20190421010879I","21-APR-19","MONTARA","CA","","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","","","","","","ULTRALIGHT VEHICLES","","NONE","1","0","","","","","PILOT NOT CERTIFICATED","","","",""
"20190422003259I","22-APR-19","COLUMBUS","OH","OHIO STATE UNIVERSITY","INCIDENT","NONE","LANDING: TOUCHDOWN","CESSNA","172","S","THE OHIO STATE UNIVERSITY","","PILOT SCHOOLS","","90SU","0","0","LYCOMI","I0360 SER A&C","","1","PRIVATE PILOT FLIGHT INSTRUCTOR","286","286","24",""
"20190422003269I","22-APR-19","DECATUR","IL","DECATUR","INCIDENT","MINOR","LANDING: APPROACH","DASSAULT","FALCON2000","EX","","","GENERAL OPERATING RULES","","785AD","0","0","P&W CA","PW308C","","","","","","",""
"20190422003289I","22-APR-19","NAPLES","FL","NAPLES MUNI","INCIDENT","MINOR","TAKEOFF: CLIMB OUT","EMBRAER","EMB505","NO SERIES EXISTS","FLIGHT OPTIONS LLC","","AIR TAXI/COMMUTER","","330FX","0","0","P&W CA","PW535E","","","","","","",""
"20190422003299I","22-APR-19","SAN DIEGO","CA","BROWN FIELD MUNI","INCIDENT","MINOR","LANDING: ROLLOUT","","","","","","GENERAL OPERATING RULES","","333NA","0","0","ROTAX","912ULS SERIES","","","PRIVATE PILOT","3467","40","4",""
"20190423003329I","23-APR-19","OSCEOLA","WI","L O SIMENSTAD MUNI","INCIDENT","MINOR","LANDING: TOUCHDOWN","BEECH","45","D45","","","GENERAL OPERATING RULES","","343DB","0","0","CONT M","O-470 SERIES","","","COMMERCIAL PILOT","1323","401","27",""
"20190423003349I","23-APR-19","GRAND JUNCTION","CO","GRAND JUNCTION REGIONAL","INCIDENT","MINOR","LANDING: TOUCHDOWN","","","","","","GENERAL OPERATING RULES","","53KK","0","1","CUBCRA","CC340","","","COMMERCIAL PILOT","2013","197","3",""
"20190423006449I","23-APR-19","ORLANDO","FL","ORLANDO INTL","INCIDENT","NONE","TAKEOFF: DEPARTURE","SAAB","340","B","SILVER AIRWAYS LLC","","AIR CARRIER/COMMERCIAL","","442XJ","0","0","GE","CT7-SER","","","UNKNOWN/FOREIGN","","","",""
"20190424003369I","24-APR-19","BESSEMER","AL","BESSEMER","INCIDENT","MINOR","LANDING: APPROACH","MOONEY","M20R","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","2159E","0","0","CONT M","IO-550 SERIES","N/A","1","PRIVATE PILOT","1575","1500","30",""
"20190424003379I","24-APR-19","FORT LAUDERDALE","FL","FORT LAUDERDALE/HOLLYWOOD INTL","INCIDENT","NONE","CRUISE-LEVEL FLIGHT","NORTH AMERICAN","NA265","UNDESIGNATED SERIES","MY CORPORATE JET, INC.","","AIR TAXI/COMMUTER","","799MW","0","0","GARRET","TFE731 SERIES","","","","","","",""
"20190424015519I","24-APR-19","LUDLOW","VT","","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","VARGA","2150","A","","","GENERAL OPERATING RULES","","4646V","0","0","LYCOMI","0-320 SERIES","","","COMMERCIAL PILOT","","","",""
"20190425003389I","25-APR-19","SANFORD","NC","RALEIGH EXEC JETPORT AT SANFORD-LEE COUNTY","INCIDENT","MINOR","LANDING: TOUCHDOWN","PIPER","PA32R","301","","","GENERAL OPERATING RULES","","25WE","0","0","LYCOMI","IO-540 SER","","","COMMERCIAL PILOT FLIGHT INSTRUCTOR","486","3","40",""
"20190425003399I","25-APR-19","HELENA","MT","HELENA RGNL","INCIDENT","MINOR","LANDING: TOUCHDOWN","MOONEY","M20F","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","2926M","0","0","LYCOMI","I0360 SER A&C","","1","COMMERCIAL PILOT FLIGHT INSTRUCTOR","957","100","6",""
"20190425003419I","25-APR-19","FORT MYERS","FL","PAGE FIELD","INCIDENT","NONE","LANDING: ROLLOUT","PIPER","PA32R","301","","","GENERAL OPERATING RULES","","244MA","0","0","LYCOMI","IO-540-K1G5","","","PRIVATE PILOT","2751","1839","24",""
