eventairport,Freq
CHARLES B. WHEELER DOWNTOWN,147
CHARLES CITY MUNI,3
CHARLES DE GAULLE INTL,1
CHARLES E GRUTZMACHER MUNI,1
CHARLES M. SCHULZ - SONOMA COUNTY,94
CHARLES R JOHNSON,2
CHARLES W. BAKER,15
CHARLESTON AFB/INTL,97
CHARLESTON AFB/INTL.,1
CHARLESTON EXECUTIVE,26
CHARLESTON MUNI,11
CHARLEVOIX MUNI,10
CHARLOE,1
CHARLOTTE-MONROE EXECUTIVE,23
CHARLOTTE/DOUGLAS INTL,149
CHARLOTTESVILLE MUNI,1
CHARLOTTESVILLE-ALBEMARLE,42
CHASE CITY MUNI,3
CHATAIGNIER MUNI,1
CHATHAM MUNI,14
CHATTANOOGA MUNI,1
CHATTANOOGA SKY HARBOR,2
CHAUTAUQUA COUNTY/DUNKIRK,11
CHAUTAUQUA COUNTY/JAMESTOWN,31
CHEBOYGAN COUNTY,5
CHEFORNAK,2
CHEHALEM AIRPARK,1
CHEHALIS-CENTRALIA,5
CHEMEHUEVI VALLEY,1
CHENA MARINA,2
CHENA RIVER,1
CHENEGA BAY,1
CHENEYVILLE,1
CHENNAULT INTL,6
CHERAW MUNI,1
CHERAW MUNI/LYNCH BELLINGER FIELD,1
CHEROKEE COUNTY,12
CHEROKEE MUNI,1
CHERRY,1
CHERRY CAPITAL,67
CHERRY POINT MCAS /CUNNINGHAM FIELD/,1
CHERRY RIDGE,10
CHERRY SPRAYING SERVICE,1
CHERRYSTONE,1
CHERYL-LANE LANDINGS,1
CHESANING MUNI,1
CHESAPEAKE CITY MUNI,1
CHESAPEAKE MUNI,4
CHESAPEAKE RANCH,1
CHESAPEAKE RGNL,16
CHESTER,8
CHESTER CATAWBA REGIONAL,2
CHESTER CATAWBA RGNL,9
CHESTER COUNTY G O CARLSON,19
CHESTERFIELD COUNTY,31
CHESWOLD MUNI,1
CHEVAK,3
CHEVRON USA INC,1
CHEVRON USA INC.,4
CHEYENNE COUNTY MUNI,3
CHEYENNE MUNI,12
CHEYENNE RGNL/JERRY OLSON FIELD,43
CHICAGO EXECUTIVE,117
CHICAGO INTL,13
CHICAGO MIDWAY INTL,246
CHICAGO O'HARE INTL,1296
CHICAGO/ROCKFORD INTL,63
CHICKASHA MUNI,16
CHICO MUNI,33
CHIGNIK LAKE,2
CHILDRESS MUNI,12
CHILHOWEE,3
CHILLICOTHE MUNI,7
CHILOQUIN STATE,3
CHILTON COUNTY,8
CHINA LAKE NAWS (ARMITAGE FLD),1
CHINLE,3
CHINLE MUNI,1
CHINO,272
CHIPPEWA COUNTY INTL,10
CHIPPEWA VALLEY RGNL,22
CHIRIACO SUMMIT,4
CHISANA,1
CHITOSE MUNI,1
CHLORIDE,2
CHOCTAW NOLF,1
CHOTOM MUNI,1
CHOWCHILLA,3
CHP ACADEMY,1
CHRISTENSEN FIELD,3
CHRISTMAN FIELD,3
CHRISTMAS VALLEY,1
CHUB CAY MUNI,3
CHURCH HILL,1
CIBECUE,1
CIELO DORADO ESTATES,1
CINCINNATI INTL,1
CINCINNATI MUNI,1
CINCINNATI MUNI AIRPORT LUNKEN FIELD,133
CINCINNATI WEST,9
CINCINNATI-BLUE ASH,35
CINCINNATI/NORTHERN KENTUCKY INTL,265
CINDY GUNTLY MEMORIAL,1
CIRCLE HOT SPRINGS,1
CIRCLE MUNI,1
CIRCLE S FARMS,1
CISCO MUNI,2
CITY,29
CITY OF COLORADO SPRINGS MUNI,108
CITY OF LAS ANIMAS - BENT COUNTY,5
CITY OF TULIA/SWISHER COUNTY MUNI,2
CLARE COUNTY,2
CLARE MUNI,3
CLAREMONT MUNI,5
CLAREMORE RGNL,3
CLARENCE AERODROME,1
CLARENCE E PAGE MUNI,31
CLARION COUNTY,5
CLARION MUNI,2
CLARK,2
CLARK COUNTY,9
CLARK FIELD MUNI,4
CLARK RGNL,21
CLARKS DREAM STRIP,1
CLARKS POINT,1
CLARKSVILLE,2
CLARKSVILLE MUNI,6
CLARKSVILLE/RED RIVER CTY-J D TRISSELL FLD,3
CLAXTON-EVANS COUNTY,1
CLAY CENTER MUNI,2
CLAYTON,2
CLAYTON COUNTY - TARA FIELD,17
CLAYTON MUNI,5
CLAYTON MUNI ARPK,1
CLE ELUM MUNI,1
CLEAR,1
CLEAR CREEK INT,1
CLEAR SKY LODGE,1
CLEARFIELD-LAWRENCE,4
CLEARVIEW AIRPARK,5
CLEARWATER AIR PARK,20
CLEARWATER AIRPARK,1
CLEARWATER INTL,6
CLEARWATER MUNI,3
CLEBURNE MUNI,3
CLEBURNE RGNL,12
CLERMONT COUNTY,26
CLEVELAND,1
CLEVELAND INTL,5
CLEVELAND MUNI,10
CLEVELAND-HOPKINS INTL,415
CLEWISTON,2
CLIFFORD FIELD,1
CLIFTON MUNI/ISENHOWER FIELD,7
CLINE FALLS AIR PARK,1
CLINTON,2
CLINTON CO,13
CLINTON FIELD,4
CLINTON MEMORIAL,2
CLINTON MUNI,15
CLINTON RGNL,1
CLINTON-SAMPSON COUNTY,3
CLINTON-SHERMAN,6
CLINTONVILLE MUNI,9
CLOQUET CARLTON COUNTY,4
CLOVERDALE MUNI,8
CLOVIS MUNI,22
COALINGA MUNI,2
COASTAL,4
COASTAL CAROLINA REGIONAL,24
COATSVILLE MUNI,1
COBB COUNTY-MC COLLUM FIELD,43
COBBETTS POND,1
COCHISE COLLEGE,1
COCHISE COUNTY,2
COCHRAN,5
COCHRAN COUNTY,1
COCHRAN MUNI,1
COCKFIELD AERODROME,1
CODY MUNI,1
COEUR D'ALENE - PAPPY BOYINGTON FIELD,26
COEUR D'ALENE MUNI,3
COFFEY COUNTY,4
COFFEYVILLE MUNI,9
COFFMAN,1
COKEVILLE MUNI,1
COLBY MUNI,2
COLD BAY,9
COLD BAY MUNI,1
COLD MEADOWS MUNI,1
COLDFOOT,1
COLE AIRFIELD,1
COLEMAN A. YOUNG MUNI,62
COLEMAN MUNI,3
COLES COUNTY MEMORIAL,13
COLLEGE PARK,19
COLLEGE PARK MUNI,4
COLLEGEDALE MUNI,4
COLLEGEVILLE,1
COLLIER AIRPARK,3
COLLIN COUNTY REGIONAL AT MC KINNEY,8
COLLIN COUNTY RGNL AT MC KINNEY,40
COLONEL JAMES JABARA,31
COLORADO CITY,4
COLORADO CITY MUNI,2
COLORADO PLAINS RGNL,24
COLORADO SPRING MUNI,12
COLORADO SPRINGS EAST,3
COLUMBIA,24
COLUMBIA COUNTY,27
COLUMBIA GORGE RGNL/THE DALLES MUNI,10
COLUMBIA METROPOLITAN,78
COLUMBIA MUNI,3
COLUMBIA RGNL,53
COLUMBIA STATIO MUNI,1
COLUMBIA-MARION COUNTY,3
COLUMBIANA COUNTY,6
COLUMBINE,6
COLUMBUS,6
COLUMBUS AFB,4
COLUMBUS COUNTY MUNI,4
COLUMBUS INTL,26
COLUMBUS METROPOLITAN,31
COLUMBUS MUNI,48
COLUMBUS-LOWNDES COUNTY,12
COLUSA COUNTY,5
COLVILLE MUNI,2
COMANCHE COUNTY-CITY,1
COMANCHE CREEK,1
COMFORT AIRPARK,1
COMMERCE MUNI,1
COMMODORE CENTER,1
COMMUNITY MEDICAL CENTER,1
COMPTON MUNI,7
COMPTON/WOODLEY,31
CONCHAS LAKE,1
CONCORD AIRPARK,3
CONCORD MUNI,30
CONCORD RGNL,25
CONCORDIA MUNI,1
CONCORDIA PARISH,7
CONDON MUNI,1
CONDON USFS,1
CONRAD,2
CONVERSE COUNTY,6
CONWAY MUNI,4
CONWAY-HORRY COUNTY,15
COOK AIRFIELD,3
COOK AIRFIELD INC,8
COOK COUNTY,2
COOK MUNI,2
COOKSTON MUNI,1
COOLIDGE MUNI,12
COOPERSTOWN MUNI,1
COPALIS STATE,4
COPIAH COUNTY,4
CORAL OCEAN POINT PRO-SHOP,1
CORAM MUNI,1
CORCORAN,2
CORCORAN MUNI,1
CORDELL MUNI,3
CORDOVA MUNI,4
CORINTH,1
CORNELIA FORT AIRPARK,8
CORNING MUNI,5
CORNING-PAINTED POST,3
CORNISH FIELD,1
CORONA MUNI,91
CORONADO AIRPORT,40
CORPUS CHRISTI INTL,79
CORPUS CHRISTI NAS/TRUAX FIELD,5
CORRALITOS,1
CORRY-LAWRENCE,3
CORSICA MUNI,1
CORTEZ MUNI,3
CORTLAND COUNTY-CHASE FIELD,10
CORVALLIS MUNI,28
COSTERISAN FARMS,2
COSTIN,2
COTTAGE GROVE MUNI,1
COTTAGE GROVE STATE,5
COTTON FIELD,1
COTTONWOOD,18
COTULLA MUNI,1
COTULLA-LA SALLE COUNTY,4
COUGAR MOUNTAIN AIRFIELD,3
COULTER FIELD,9
COUNCIL BLUFFS MUNI,21
COUNCIL MUNI,2
COUNTRY AIR ESTATES,3
COUNTRY BEND,1
COUNTRY CLUB,1
COUNTRY SQUIRE,2
COUNTRY SQUIRE AIRPARK,1
COUNTY,14
COURTLAND,3
COVEY TRAILS,1
COVINGTON,2
COVINGTON INTL,2
COVINGTON MUNI,12
COVINGTON-VINCENT,3
COX,3
COX FIELD,8
COX INT'L,1
COX-GRANTHAM AIRFIELD,4
COZAD MUNI,2
CRAIG,2
CRAIG FIELD,5
CRAIG MUNI,26
CRAIG-MOFFAT,6
CRAIGMONT MUNI,1
CRANDON/STEVE CONWAY MUNI,1
CRANE COUNTY,1
CRANLAND,4
CRAWFORD,2
CRAWFORD CO,2
CRAWFORDSVILLE MUNI,6
CRAZY HORSE MUNI,2
CREECH AFB,2
CREIGHTON MUNI,1
CREOLE,1
CRESSWELL MUNI,1
CREST AIRPARK,11
CRESTED BUTTE MUNI,2
CRESTON MUNI,2
CRESTVIEW MUNI,1
CRETE MUNI,8
CREVE COEUR,16
CREVE COEUR MUNI,1
CREVICE CREEK,1
CREWE MUNI,2
CRISP COUNTY-CORDELE,7
CRIVITZ MUNI,2
CROCKETT MUNI,1
CROOKED CREEK,2
CROOKED LAKE,1
CROOKSTON MUNI KIRKWOOD FLD,11
CROSBYTON MUNI,2
CROSS CITY,10
CROSS CUT,1
CROSS KEYS,22
CROSS KEYS MUNI,2
CROSSETT MUNI,1
CROSSVILLE MEMORIAL-WHITSON FIELD,10
CROSSVILLE MUNI,2
CROSSWINDS AIRFIELD,1
CROWS LANDING,2
CROWVILLE MUNI,1
CRYSTAL,79
CRYSTAL LAKE MUNI,1
CRYSTAL MUNI,9
CRYSTAL RIVER,26
CUBA MUNI,4
CUCHARA VALLEY AT LA VETA,2
CUDDIHY FIELD,1
CUERO MUNI,3
CULBERSON COUNTY,2
CULEBRA MUNI,2
CULLAN,1
CULPEPER MUNI,1
CULPEPER RGNL,20
CULPEPPER MUNI,1
CUMBERLAND MUNI,12
CURRIER'S,1
CURRITUCK COUNTY RGNL,5
CURTIS FIELD,2
CURTIS L BROWN JR FIELD,2
CURTIS MUNI,2
CUSHING MUNI,10
CUSTER,14
CUSTER COUNTY,3
CUSTER STATE PARK,2
CUT BANK MUNI,10
CUYAHOGA COUNTY,59
CYNTHIANA-HARRISON COUNTY,2
CYRIL E KING,65
DACY,4
DADE-COLLIER TRAINING AND TRANSITION,12
DAHIO TROTWOOD,1
DALE HOLLOW RGNL (PETRO FIELD),2
DALHART MUNI,14
DALLAS BAY SKY PARK,9
DALLAS EXECUTIVE,64
DALLAS INTL,8
DALLAS LOVE FIELD,231
DALLAS-FT.WORTH INTL,1
DALLAS/FORT WORTH INTL,344
DALLESPORT MUNI,3
DALTON,6
DALTON MUNI,10
DAMBURY MUNI,1
DAN E RICHARDS MUNI,1
DANBURN MUNI,1
DANBURY MUNI,95
DANE,4
DANE COUNTY RGNL-TRUAX FIELD,95
DANIEL,1
DANIEL FIELD,12
DANIELS,1
DANIELS FIELD,2
DANIELSON,12
DANIELSON MUNI,2
DANSVILLE MUNI,21
DANVILLE,1
DANVILLE MUNI,5
DANVILLE RGNL,11
DARBY DAN,1
DARE COUNTY RGNL,15
DARLINGTON COUNTY JETPORT,3
DARR FIELD,1
DARRINGTON CLINIC EMS,1
DARRINGTON MUNI,1
DARRTOWN MUNI,1
DART,5
DATELAND AIRFIELD,1
DAUPHIN ISLAND,6
DAUPHIN ISLAND MUNI,1
DAVENPORT MUNI,28
DAVID CITY MUNI,1
DAVID G JOYCE,1
DAVID JAY PERRY,2
DAVID WAYNE HOOKS MEMORIAL,124
DAVID WINE'S AIRSTRIP,1
DAVID'S,1
DAVIDSON COUNTY,5
DAVIESS COUNTY,12
DAVIS,10
DAVIS FIELD,14
DAVIS MONTHAN AFB,4
DAVISON AAF,1
DAWSON COMMUNITY,5
DAWSON MEDIPORT,1
DAWSON MUNI,11
DAWSON'S,2
DAYTON,1
DAYTON MUNI,2
DAYTON VALLEY AIRPARK,1
DAYTON-WRIGHT BROTHERS,45
DAYTONA BEACH INTL,131
DAYTONA BEACH MUNI,4
DE KALB COUNTY,4
DE KALB TAYLOR MUNI,14
DE MOTTE,3
DE QUINCY INDUSTRIAL AIRPARK,1
DE WITT MUNI,1
DEADHORSE,9
DEAN GRIFFIN MEMORIAL,1
DEAN MEMORIAL,1
DEATH VALLEY MUNI,1
DECATUR,34
DECATUR COUNTY INDUSTRIAL AIR PARK,8
DECATUR MUNI,20
DECATUR SHORES,1
DECK,5
DECK AIRPARK,1
DECORAH MUNI,2
DEE JAY,1
DEEP WATER CAY MUNI,1
DEER CREEK RANCH,1
DEER PARK,7
DEER PARK MUNI,5
DEER PASTURE,1
DEERING,1
DEERING MUNI,1
DEFIANCE MEMORIAL,5
DEFIANCE MUNI,1
DEFUNIAK SPRINGS,5
DEKALB MUNI,7
DEKALB-PEACHTREE,212
DEL NORTE MUNI,1
DEL RIO,2
DEL RIO INTL,16
DELAND MUNI-SIDNEY H TAYLOR FIELD,60
DELANO MUNI,3
DELAWARE AIRPARK,7
DELAWARE COUNTY RGNL,41
DELAWARE MUNI - JIM MOORE FIELD,16
DELHI MUNI,1
DELL CITY MUNI,1
DELL FLIGHT STRIP,1
DELPHI MUNI,2
DELTA,1
DELTA COUNTY,13
DELTA JUNCTION,1
DELTA MUNI,16
DEMING MUNI,16
DEMOPOLIS MUNI,2
DENALI,1
DENISON MUNI,6
DENNIS F CANTRELL FIELD,12
DENTON MUNI,75
DENVER CITY,2
DENVER INTL,474
DEPARTMENT OF CORRECTIONS FIELD,1
DEPUE,1
DERBY FIELD,8
DERMOTT MUNI,2
DES MOINES INTL,242
DESERT AIRE,1
DESERT CENTER,2
DESERT ENTER MUNI,1
DESERT ROCK,1
DESTIN-FORT WALTON BEACH,30
DETORIT METRO/WAYNE CNTY,1
DETROIT,1
DETROIT INTL,1
DETROIT LAKES-WETHING FIELD,8
DETROIT METRO,1
DETROIT METROPOLITAN WAYNE COUNTY,205
DETROIT MUNI,12
DEVILS LAKE MUNI,2
DEVILS LAKE RGNL,7
DEVINE MUNI,1
DEWITT,3
"DEWITT FLD,OLD TOWN MUNI",7
DEXTER B FLORENCE MEMORIAL FIELD,13
DEXTER MUNI,3
DEXTER RGNL,3
DFW AIRPORT,1
DFW INTL. APT,1
DFW INTL. ARPT,1
DIAMOND K RANCH,1
DIAMONDHEAD,4
DICKINSON - THEODORE ROOSEVELT RGNL,11
DICKINSON MUNI,3
DICKSON MUNI,5
DIEGO JIMENEZ TORRES,5
DILLANT-HOPKINS,25
DILLINGHAM,27
DILLINGHAM AIRFIELD,64
DILLINGHAM MUNI,4
DILLON,4
DILLON COUNTY,3
DIMMITT MUNI,3
DINWIDDIE COUNTY,9
DIOMEDE,1
DIXON,1
DIXON MUNI-CHARLES R. WALGREEN FIELD,6
DOBBINS AIR RESERVE BASE,3
DOCTORS HOSPITAL,1
DODGE CENTER,1
DODGE CITY RGNL,18
DODGE COUNTY,16
DODGEVILLE MUNI,3
DOG ISLAND,1
DOGWOOD AIRPARK,3
DONA ANA COUNTY AT SANTA TERESA,16
DONALD D. COSKI MEMORIAL,3
DONALDSON CENTER,19
DONALDSVILLE MUNI,1
DONEGAL SPRINGS AIRPARK,16
DONIPHAN MUNI,2
DOOR COUNTY CHERRYLAND,8
DORVAL INTL,1
DOTHAN RGNL,25
DOTSON,1
DOUBLE D RANCH,1
DOUBLE EAGLE II,65
DOUGHERTY,3
DOUGLAS,7
DOUGLAS MUNI,29
DOUTHITT STRIP,1
DOVE CREEK,1
DOVER AFB,5
DOVER MUNI,1
DOWAGIAC MUNI,9
DOWNTOWN,70
DOWNTOWN AIRPARK,11
DOWNTOWN MANHATTAN/WALL ST,2
DOYLESTOWN,14
DOYLESTOWN MUNI,2
DRAKE,1
DRAKE FIELD,31
DRAUGHON-MILLER CENTRAL TEXAS RGNL,20
DRENNAN,1
DREWNIANY-SPRINGMEADOW,1
DRIFT RIVER,1
DRIGGS-REED MEMORIAL,4
DRILLMORE ACRES,1
DRUMMOND ISLAND,2
DRY CREEK,1
DRY CREEK AIRPARK,1
DS BUTLER FARM AND AIRFIELD,2
DUANESBURG,6
DUANESBURG MUNI,2
DUBLIN MUNI,2
DUBOIS MUNI,1
DUBOIS RGNL,21
DUBUQUE MUNI,3
DUBUQUE RGNL,58
DUCHESNE MUNI,5
DUCOTE AIRPARK,2
DUFLO,3
DUGGER'S FIELD,1
"DUKE FIELD,(EGLIN AF AUX NR 3)",1
DULLES AIRPORT INTL,1
DULUTH INTL,37
DUMAS MUNI,4
DUMMERSTON MUNI,1
DUNCAN MUNI,1
DUNDEE FLYING CLUB,1
DUNKIRK MUNI,2
DUNN,1
DUNSMUIR MUNI-MOTT,2
DUNTON RANCH,1
DUPAGE,185
DUPAGE MUNI,2
DUPLIN CO,1
DUPONT-LAPEER,12
DURANGO-LA PLATA,1
DURANGO-LA PLATA COUNTY,47
DURANT RGNL - EAKER FIELD,10
DURHAM,13
DUTCH JOHN,1
DUTCHESS COUNTY,57
DUVAL-FREER,1
DUVALL MUNI,1
DWBUQUE MUNI,1
DWIGHT,2
DYERSBURG MUNI,2
DYERSBURG RGNL,11
DYESS AFB,3
E STROUDSBURG MUNI,1
E.A.DEEDS FARM,1
EADS MUNI,3
EAGLE,3
EAGLE AIRPARK,2
EAGLE COUNTY RGNL,37
EAGLE CREEK AIRPARK,36
EAGLE CREST-HUDSON,1
EAGLE LAKE,9
EAGLE NEST,1
EAGLE NEST RANCH,1
EAGLE RIVER UNION,9
EAGLE'S NEST,8
EAGLE'S NEST ESTATES,3
EAGLES AERODROME,1
EAGLES LANDING,1
EAGLES NEST,5
EAGLES NEST-FAIRVIEW AIRPARK,1
EAGLES RIDGE,1
EARL L. SMALL JR. FIELD/STOCKMAR,2
EARLY COUNTY,2
EAST 34TH STREET,7
EAST ALSEK RIVER,1
EAST BOSTON MUNI,2
EAST GEORGIA REGIONAL,1
EAST GULL LAKE,2
EAST HAMPTON,28
EAST HAMPTON MUNI,2
EAST KANSAS CITY,18
EAST LANSING MUNI,1
EAST TEXAS RGNL,40
EAST TROY MUNI,16
EASTERN MAINE MEDICAL CENTER,1
EASTERN OREGON RGNL AT PENDLETON,15
EASTERN SIERRA RGNL,13
EASTERN SLOPES RGNL,31
EASTERN WV RGNL/SHEPHERD FLD,18
EASTERWOOD FIELD,49
EASTHAMPTON MUNI,1
EASTLAND MUNI,3
EASTON/NEWNAM FIELD,42
EAU CLAIRE MUNI,3
EBENSBURG,7
EBENSBURG MUNI,1
ECHO,1
ECHO BAY,1
ECHO LAKE,1
ECK FIELD,1
ECKHART INTL,1
ED CARLSON MEMORIAL FIELD - SOUTH LEWIS CO,2
EDENTON MUNI,2
EDGAR COUNTY,2
EDGAR G OBIE,1
EDGEMONT MUNI,1
EDINBURG INTL,1
EDISTO ISLAND MUNI,1
EDMONTON MUNI,1
EDUARDO GOMEZ AIRPORT,1
EDWARD F JOHNSON,1
EDWARD F KNAPP STATE,12
EDWARD G. PITKA SR,12
EDWARDS,2
EDWARDS AFB,10
EDWARDS COUNTY,1
EDWIN A. LINK FIELD,1
EEK,5
EFFINGHAM COUNTY MEMORIAL,2
EGEGIK,3
EGG HARBOR MUNI,1
EGLIN AFB,11
EIELSON AFB,1
EKALAKA,1
EKWOK,3
EL CENTRO NAF,1
EL DORADO DOWNTOWN-STEVENS FIELD,3
EL DORADO MUNI,1
EL MIRAGE MUNI,2
EL MONTE,62
EL MONTE MUNI,6
EL PASO INTL,179
EL PASO MUNI,2
EL RENO RGNL,19
EL TIRO,1
EL TORO MCAS,13
ELBA MUNI,1
ELBERT COUNTY-PATZ FIELD,1
ELBOW LAKE MUNI,1
ELBOW LAKE MUNI - PRIDE OF THE PRAIRIE,3
ELDON MODEL AIRPARK,3
ELDORA MUNI,1
ELDORADO,1
ELEPHANT PATH,1
ELGIN MUNI,8
ELIZABETH CITY CG AIR STATION/RGNL,8
ELIZABETH FIELD,7
ELIZABETHTON MUNI,2
ELIZABETHTOWN MUNI,1
ELK CITY,1
ELK CITY MUNI,6
ELK CITY RGNL BUSINESS,2
ELK GROVE,2
ELK RIVER,5
ELK RIVER MUNI,1
ELKHART MUNI,21
ELKHART-MORTON COUNTY,2
ELKIN MUNI,3
ELKINS-RANDOLPH CO-JENNINGS RANDOLPH FLD,12
ELKO RGNL,42
ELLENVILLE MUNI,2
ELLICOTT MUNI,1
ELLINGTON,38
ELLINGTON FIELD,36
ELLINGTON MUNI,2
ELLIOTTS LANDING,2
ELLIS,1
ELLS FIELD-WILLITS MUNI,2
ELLSWORTH AFB,3
ELLSWORTH MUNI,1
ELLSWORTH MUNI HOSPITAL,1
ELMA MUNI,2
ELMDALE AIRPARK,4
ELMENDORF AFB,7
ELMIRA MUNI,1
ELMIRA/CORNING RGNL,81
ELMONTE MUNI,2
ELOY MUNI,34
ELTON HENSLEY MEMORIAL,4
ELWOOD,2
ELWOOD MUNI,4
ELY ARPT /YELLAND FLD/,5
ELY MUNI,7
ELYRIA,6
EMANUEL COUNTY,3
EMMETSBURG MUNI,1
EMMETT MUNI,6
EMMONAK,5
EMMONAK MUNI,1
EMPORIA MUNI,17
EMPORIA-GREENSVILLE RGNL,1
ENID WOODRING RGNL,29
ENNIS - BIG SKY,1
ENNIS MUNI,4
ENTERPRISE MUNI,24
ENUMCLAW,1
ENUMCLAW MUNI,1
EPHRAIM-GIBRALTAR,4
EPHRATA MUNI,11
EPPLEY AIRFIELD,527
EPPS AIRPARK,7
ERA HELICOPTERS FOURCHON HELIBASE,1
ERIE COUNTY,13
ERIE INTL/TOM RIDGE FIELD,58
ERIE MUNI,7
ERIE MUNICIPAL,17
ERLANGER MEDICAL CENTER,1
ERNEST A. LOVE FIELD,139
ERNIES AIRSTRIP,1
ERROPORT,1
ERWIN,1
ERWIN MUNI,1
ESCALANTE MUNI,4
ESCLANTE MUNI,1
ESLER RGNL,23
ESSEX COUNTY,84
ESSEX MUNI,1
ESSEX SKYPARK,6
ESSIN MUHLHEIM MUNI,1
ESTHERVILLE MUNI,9
ESTRELLA SAILPORT,3
EUFAULA MUNI,3
EUGENE MUNI,1
EUGENE'S DREAM,1
EUGENIO MARIA DE HOSTOS,6
EUNICE,2
EUREKA,3
EUREKA MUNI,2
EUTAW MUNI,2
EVA CREEK,1
EVANS,1
EVANS PROPERTIES INC,1
EVANSTON-UINTA COUNTY BURNS FIELD,6
EVANSVILLE MUNI,2
EVANSVILLE RGNL,62
EVART MUNI,1
EVELETH MUNI,1
EVELETH-VIRGINIA MUNI,9
EVELYN SHARP FIELD,2
EVERETT-STEWART RGNL,5
EVERGLADES AIRPARK,9
EVERGREEN FIELD,15
EVERGREEN MOUNTAIN,5
EVERITT,2
EXCELSIOR SPRIN MUNI,3
EXCELSIOR SPRINGS MEMORIAL,4
EXECUTIVE,204
EXETER,2
EXIT 3,1
EXPRESS,16
EXPRESSWAY AIRPARK,12
EXXON,1
EXXON INTRACOASTAL CITY TERMINAL,1
FABENS MUNI,1
FABICK TWO,4
FAIR WEATHER FIELD,1
FAIRBANK FARMS,1
FAIRBANKS INTL,218
FAIRBANKS MUNI,1
FAIRBAULT MUNI,1
FAIRBURY MUNI,2
FAIRCHILD AFB,1
FAIRFAX,6
FAIRFIELD,1
FAIRFIELD COUNTY,29
FAIRFIELD MUNI,11
FAIRGROUNDS AIRPARK,1
FAIRMONT FIELD,6
FAIRMONT MUNI,11
FAIRMONT MUNI-FRANKMAN FIELD,7
FAIRMONT STATE AIRFIELD,4
FAIRPLAINS AIRPARK,1
FAIRVIEW,5
FAIRVIEW FARM AIRFIELD,1
FAIRVIEW MUNI,3
FAIRWAYS,1
FALCON FLD,181
FALCON MUNI,1
FALL CREEK AIR RANCH,1
FALL RIVER MILL MUNI,1
FALL RIVER MILLS,3
FALL RIVER MUNI,7
FALLBROOK COMMUNITY AIRPARK,24
FALLBROOK MUNI,2
FALLON MUNI,8
FALLS INTL,10
FALLSTON,4
FALMOUTH AIRPARK,6
FALSE PASS,1
FALSE RIVER RGNL,5
FALWELL,8
FAR FLD,1
FAREWELL,1
FARGO MUNI,1
FARIBAULT MUNI,14
FARMERS PRIDE,2
FARMERVILLE MUNI,1
FARMINGDALE MUNI,1
FARMINGTON,2
FARMINGTON RGNL,5
FARMVILLE RGNL,10
FARNSWORTHS AIR STRIP,1
FARR,1
FARRARS LANDING,1
FAULKTON MUNI,1
FAYETTE,3
FAYETTE COUNTY,2
FAYETTE RGNL AIR CENTER,1
FAYETTEVILLE MUNI,6
FAYETTEVILLE RGNL/GRANNIS FIELD,32
FELTS FIELD,53
FENTRESS AIRPARK,4
FERGUS FALLS MUNI-EINAR MICKELSON FLD,4
FERGUSON,6
FERNANDINA BEA MUNI,1
FERNANDINA BEACH MUNI,15
FERNANDO LUIS RIBAS DOMINICCI,40
FERNDALE AIRFIELD,1
FERRY COUNTY,3
FERTILE MUNI,2
FESTUS MEMORIAL,6
FILLMORE COUNTY,2
FILLMORE MUNI,3
FINDLAY,11
FINDLAY MUNI,4
FINGER LAKES RGNL,7
FINKLEY FARM,1
FINLAYSON FARM,1
FINLEY RANCH,1
FINLEYVILLE AIRPARK,4
FIRE ISLAND,1
FIREBAUGH,5
FIRST AERO SQUADRON AIRPARK,1
FIRST FLIGHT,10
FIRSTAIR FIELD,2
FISCHER'S RLA,1
FISHER,3
FISHER COUNTY,3
FITCH H BEACH,12
FITCHBURG MUNI,23
FITZGERALD MUNI,4
FIVE MILE,3
FL INTL,1
FLABOB,20
FLAGLER COUNTY,38
FLAGLOR,1
FLAGSTAFF PULLIAM,39
FLAGSTAFF PULLIUM,1
FLAMINGO AIRFIELD,1
FLANDERS FIELD,1
FLANDERS MUNI,2
FLANDREAU MUNI,1
FLAT TOP RANCH,1
FLEET FIELD,3
FLEMING-MASON,4
FLETCHER,3
FLETCHER FIELD,4
FLOATHAVEN,2
FLORA MUNI,6
FLORALA MUNI,2
FLORENCE MUNI,7
FLORENCE RGNL,18
FLOYD BENNETT MEMORIAL,34
FLOYD W. JONES LEBANON,5
FLOYDADA MUNI,3
FLUGPLATZ,1
FLUSHING INTL,1
FLUSHING MUNI,2
FLY HIGH,1
FLYIN TIGER,1
FLYING 'O',1
FLYING A,3
FLYING B,1
FLYING B RANCH,1
FLYING C,1
FLYING CIRCUS AERODROME,2
FLYING CLOUD,166
FLYING CROWN,2
FLYING D,1
FLYING DOLLAR,1
FLYING H,1
FLYING H RANCH,3
FLYING HEART RANCH,2
FLYING LAZY D RANCH,1
FLYING M,1
FLYING M RANCH,3
FLYING S RANCH,1
FLYING TEN,1
FLYING V,1
FLYING V RANCH,1
FLYING W,26
FLYING X RANCH,1
FLYING-A-RANCH,1
FOLEY,2
FOLEY MUNI,5
FOLKERTS,2
FOLKSTON MUNI,1
FOLSOM,5
FOLSOM FIELD,7
FOND DU LAC COUNTY,10
FOOS FIELD,1
FOOTHILLS REGIONAL,5
FORBES FIELD,33
FORD,11
FORD ISLAND MUNI,1
FORD ISLAND NALF,4
