tracon_month,pos_nonword_ct,pos_nonword_unique_ct,all_abrevs_no_overcount_ct,all_abrevs_no_overcount_unique_ct,casa_ct,casa_unique_ct,faa_ct,faa_unique_ct,iata_ct,iata_unique_ct,nasa_ct,nasa_unique_ct,hand_ct,hand_unique_ct
D10 2013/3,17,6,35,14,12,4,12,4,12,3,0,0,2,2
D10 2013/4,10,4,10,4,6,2,10,4,6,2,2,1,4,2
D10 2013/5,30,13,47,22,15,10,18,10,21,8,5,2,5,2
D10 2013/6,15,8,33,16,17,7,9,5,8,5,1,1,6,2
D10 2013/7,29,9,47,19,14,6,22,5,19,6,0,0,9,2
D10 2013/9,10,6,15,11,6,4,5,3,9,5,0,0,0,0
D10 2014/10,74,23,109,41,34,8,42,14,50,14,7,2,19,6
D10 2014/11,38,20,112,47,22,10,27,11,28,14,2,2,9,5
D10 2014/12,29,15,53,29,9,5,14,6,12,8,3,3,13,5
D10 2014/2,4,3,14,5,10,2,3,2,1,1,0,0,3,2
D10 2014/3,17,8,37,15,23,8,8,5,11,5,8,2,0,0
D10 2014/4,121,16,174,28,90,7,83,9,84,10,4,2,17,3
D10 2014/5,43,16,66,28,18,8,29,8,23,10,2,2,19,5
D10 2014/6,24,15,50,29,20,9,11,8,19,11,4,3,5,3
D10 2014/7,31,14,49,28,22,11,19,9,21,9,7,4,8,4
D10 2014/8,1,1,6,4,1,1,0,0,1,1,0,0,0,0
D10 2014/9,32,15,59,29,21,8,22,8,21,7,3,1,10,6
D10 2015/1,86,27,165,61,31,11,45,14,45,13,10,2,32,11
D10 2015/10,35,11,55,21,17,7,20,6,18,6,8,3,16,4
D10 2015/11,84,15,134,29,40,5,60,8,65,8,5,2,17,6
D10 2015/12,13,7,14,8,8,3,9,3,11,5,0,0,1,1
D10 2015/2,19,13,29,19,12,8,10,6,13,9,2,2,2,2
D10 2015/3,67,15,117,29,38,8,48,10,57,12,0,0,6,1
D10 2015/4,67,23,116,44,25,10,25,10,42,10,2,2,12,7
D10 2015/5,15,7,25,14,11,4,12,5,10,3,0,0,3,2
D10 2015/6,10,4,17,9,2,2,2,2,10,4,1,1,0,0
D10 2015/7,25,9,44,18,17,4,14,3,15,4,2,1,10,5
D10 2015/8,17,10,27,16,15,8,7,3,9,6,2,2,6,3
D10 2015/9,32,15,59,27,18,6,17,9,16,7,4,1,15,7
D10 2016/1,16,9,20,11,7,4,4,4,11,7,0,0,0,0
D10 2016/12,3,3,6,5,1,1,2,2,1,1,0,0,1,1
D10 2016/2,6,4,15,7,1,1,2,2,3,2,0,0,3,2
D10 2016/3,22,9,36,14,19,8,11,6,13,6,0,0,2,2
D10 2016/4,11,8,29,17,8,7,6,6,12,8,0,0,1,1
D10 2016/5,4,3,8,4,2,1,2,1,2,2,0,0,0,0
D10 2016/6,21,11,31,17,7,5,10,5,9,6,6,1,12,5
D10 2016/7,30,9,49,21,3,2,18,5,18,6,1,1,12,3
D10 2016/8,34,10,56,19,8,3,16,4,24,7,0,0,10,3
D10 2016/9,33,10,38,14,12,4,19,5,11,3,3,1,19,5
D10 2017/1,14,4,25,8,23,6,14,4,10,1,0,0,0,0
D10 2017/10,13,9,19,13,8,5,9,6,9,6,0,0,3,2
D10 2017/11,3,3,5,5,1,1,1,1,1,1,1,1,2,2
D10 2017/12,3,1,3,1,3,1,3,1,0,0,0,0,0,0
D10 2017/2,46,13,58,19,18,8,28,8,9,4,11,1,32,6
D10 2017/3,19,14,35,20,18,9,14,10,9,7,0,0,6,4
D10 2017/4,30,9,37,15,8,5,8,3,5,3,5,2,24,6
D10 2017/5,20,9,41,22,20,7,14,5,15,7,0,0,4,1
D10 2017/6,50,9,72,13,36,4,30,5,32,6,0,0,4,2
D10 2017/7,12,4,13,5,5,1,8,2,6,2,3,1,6,2
D10 2017/8,28,8,34,13,24,7,28,8,7,4,0,0,5,1
D10 2018/1,17,9,26,13,15,7,13,7,5,3,0,0,3,1
D10 2018/10,16,7,21,12,4,4,13,4,17,8,1,1,0,0
D10 2018/11,38,12,58,19,27,7,31,8,13,4,5,1,20,5
D10 2018/12,21,11,39,16,10,3,13,5,21,11,0,0,0,0
D10 2018/2,39,11,57,17,39,7,24,4,14,7,3,2,4,2
D10 2018/3,14,12,46,26,21,9,8,5,8,6,2,2,5,5
D10 2018/4,20,5,22,6,14,2,16,3,4,2,0,0,2,1
D10 2018/5,4,4,5,5,2,2,4,4,0,0,0,0,3,3
D10 2018/6,9,6,22,12,3,2,7,4,3,3,2,1,4,2
D10 2018/7,4,2,4,2,1,1,4,2,1,1,0,0,3,1
D10 2018/8,18,9,18,9,5,4,16,7,5,5,8,1,9,2
D10 2019/1,26,5,32,8,22,4,22,4,20,3,0,0,0,0
D10 2019/2,13,4,18,9,4,2,8,2,4,2,6,2,10,3
D10 2019/4,11,6,15,9,9,3,8,3,9,4,1,1,2,2
D10 2019/5,14,7,26,10,15,3,9,3,11,5,0,0,3,2
D10 2019/6,6,3,7,4,3,2,3,2,5,2,0,0,0,0
D10 2019/7,22,7,23,8,16,4,18,4,18,5,0,0,4,2
D10 2019/9,16,6,24,10,12,5,14,5,11,3,0,0,1,1
D21 1997/1,36,18,52,25,17,9,8,6,17,8,14,6,19,9
D21 1999/10,168,50,230,73,106,27,54,14,55,23,85,28,91,24
D21 1999/11,7,6,13,9,8,4,3,2,4,2,8,6,3,3
D21 1999/12,57,29,70,36,38,13,20,8,20,8,18,12,26,18
D21 1999/2,73,34,99,50,48,21,17,6,35,14,31,16,29,17
D21 1999/3,72,18,112,26,56,10,20,4,40,10,20,6,36,8
D21 1999/4,324,77,447,120,180,32,90,17,114,27,164,38,171,38
D21 1999/5,46,24,73,33,43,13,12,4,23,11,17,13,19,11
D21 1999/6,89,32,130,48,68,20,21,7,42,13,51,18,45,18
D21 1999/7,82,22,126,33,64,15,14,5,32,8,74,17,50,13
D21 1999/8,75,30,112,39,51,12,18,4,31,11,39,17,44,17
D21 1999/9,129,47,183,72,74,23,18,9,41,18,63,23,66,22
D21 2000/1,186,45,249,71,133,28,68,14,58,17,85,26,86,23
D21 2000/10,52,23,92,35,54,16,17,7,28,12,24,10,23,11
D21 2000/11,23,19,37,24,19,10,3,3,8,5,16,11,12,9
D21 2000/12,49,26,60,35,26,16,11,6,19,13,30,14,26,11
D21 2000/2,54,34,78,46,33,13,8,5,19,11,32,22,29,19
D21 2000/3,29,14,45,18,28,9,15,4,10,6,10,6,13,6
D21 2000/4,97,46,123,59,32,19,16,9,36,15,50,22,54,26
D21 2000/5,49,33,74,48,37,22,13,9,19,14,29,21,21,14
D21 2000/6,177,54,254,73,134,26,35,13,60,21,105,28,90,25
D21 2000/7,196,35,282,50,110,17,24,5,68,12,108,19,130,22
D21 2000/8,27,18,36,26,13,9,7,5,9,6,11,10,12,9
D21 2000/9,101,44,131,62,71,25,32,11,34,18,55,30,39,22
D21 2001/1,128,55,204,81,96,29,32,15,61,21,59,28,53,25
D21 2001/10,101,33,122,48,40,17,21,7,18,10,68,23,64,20
D21 2001/11,34,14,49,20,29,9,5,4,15,6,16,6,13,5
D21 2001/12,198,33,262,47,122,18,46,10,54,13,130,18,114,18
D21 2001/2,306,47,450,74,174,22,32,8,120,19,192,27,182,27
D21 2001/3,47,23,55,28,32,13,8,3,16,6,24,13,20,13
D21 2001/4,174,62,272,91,133,33,53,18,67,25,83,28,80,27
D21 2001/5,54,27,84,41,40,17,17,5,13,10,23,13,25,12
D21 2001/6,89,40,149,59,74,20,26,9,41,17,37,16,37,18
D21 2001/7,242,51,310,64,135,22,62,11,81,16,110,26,127,23
D21 2001/8,147,63,209,84,101,30,40,11,62,22,61,31,69,32
D21 2001/9,83,34,116,46,54,19,29,7,30,11,35,21,42,17
D21 2002/1,89,39,138,59,81,24,29,14,45,18,36,16,35,18
D21 2002/10,55,30,84,47,43,20,13,6,30,16,30,15,24,13
D21 2002/12,58,24,99,43,45,13,19,7,16,8,23,13,28,13
D21 2002/2,137,41,209,71,108,28,44,10,65,22,66,25,61,17
D21 2002/3,74,41,111,60,57,24,25,13,34,16,35,20,27,18
D21 2002/4,75,31,102,44,35,14,9,5,22,10,48,18,48,19
D21 2002/5,16,13,31,20,13,6,3,2,8,6,12,10,7,6
D21 2002/7,170,51,211,68,76,21,40,14,57,17,70,25,86,26
D21 2002/9,19,12,21,14,11,6,2,2,9,7,8,6,5,4
D21 2003/1,147,52,204,80,95,26,29,11,67,22,73,27,63,24
D21 2003/10,226,61,327,92,144,28,21,9,81,21,132,35,137,34
D21 2003/11,60,23,104,35,58,17,14,3,32,10,38,15,34,11
D21 2003/12,44,27,78,41,36,15,6,5,23,13,37,18,27,14
D21 2003/2,146,30,224,42,122,15,68,10,56,10,48,13,62,17
D21 2003/5,129,44,193,72,97,28,44,11,48,21,73,26,61,18
D21 2003/6,42,21,62,33,23,13,10,5,9,7,27,13,29,13
D21 2003/7,490,65,680,89,290,29,86,13,202,26,352,36,260,30
D21 2003/8,40,13,59,24,23,13,3,2,28,8,23,9,18,6
D21 2003/9,9,7,17,14,6,5,3,2,4,3,3,3,6,4
D21 2004/1,40,9,74,16,38,6,14,1,18,5,12,5,10,4
D21 2004/11,64,29,94,43,48,13,18,5,27,10,37,17,26,16
D21 2004/12,81,26,105,38,47,14,14,6,23,10,40,14,41,14
D21 2004/2,116,46,156,63,70,22,36,16,36,16,59,23,65,24
D21 2004/4,4,4,7,5,5,3,1,1,4,2,1,1,2,2
D21 2004/5,157,48,213,66,107,24,34,9,65,16,119,29,79,26
D21 2004/6,28,20,45,30,21,13,6,5,10,8,20,13,16,11
D21 2004/7,48,27,57,33,18,9,12,6,25,13,12,10,14,12
D21 2004/9,7,5,27,10,14,3,0,0,13,2,0,0,6,4
D21 2005/12,9,7,14,10,7,3,3,1,6,4,6,6,2,2
D21 2005/7,69,32,96,41,48,12,23,8,37,10,33,12,26,16
D21 2005/9,7,6,12,8,4,1,0,0,0,0,4,4,6,5
D21 2006/1,147,46,188,60,105,23,38,12,72,17,92,28,69,26
D21 2006/10,55,23,74,32,37,14,14,8,30,12,35,13,28,11
D21 2006/11,69,25,89,37,35,13,15,4,30,7,45,16,32,14
D21 2006/4,30,17,47,25,24,10,9,3,20,9,12,9,11,7
D21 2006/5,9,7,9,7,7,5,2,1,4,3,2,2,2,2
D21 2006/6,47,19,52,22,14,6,8,3,6,4,20,8,33,11
D21 2006/7,81,29,109,42,53,16,25,12,32,13,28,11,21,12
D21 2006/9,12,7,19,11,5,2,3,1,2,1,3,2,6,4
D21 2007/12,108,44,160,64,83,26,41,13,46,18,54,25,53,23
D21 2007/2,46,19,65,25,37,10,16,5,18,7,25,11,17,9
D21 2007/5,61,19,68,24,33,11,14,3,24,8,33,12,34,12
D21 2007/9,64,23,127,37,58,9,34,7,62,10,13,8,21,12
D21 2008/2,21,8,33,9,20,3,7,3,10,3,1,1,10,4
D21 2008/3,59,26,72,34,37,15,19,9,21,10,14,11,23,12
D21 2008/4,142,36,194,59,77,22,35,9,63,16,100,22,62,14
D21 2008/5,25,13,30,15,11,6,2,1,8,5,14,6,16,7
D21 2008/6,65,29,110,45,45,18,30,9,37,15,19,12,25,9
D21 2009/1,9,5,23,9,6,3,6,3,6,3,0,0,0,0
D21 2009/2,16,6,26,9,19,6,11,4,14,5,0,0,2,1
D21 2009/5,11,4,26,9,12,5,8,2,11,4,0,0,0,0
D21 2009/7,18,8,30,12,17,4,9,5,11,3,6,2,5,3
D21 2009/8,11,5,16,8,8,3,9,4,4,1,3,1,7,4
D21 2010/11,14,3,15,4,0,0,0,0,14,3,0,0,0,0
D21 2010/12,2,1,6,3,2,1,0,0,2,1,0,0,0,0
D21 2010/3,21,7,25,8,15,6,7,3,12,3,8,1,2,1
D21 2010/4,1,1,1,1,1,1,0,0,1,1,0,0,0,0
D21 2010/5,6,4,13,9,2,2,1,1,1,1,0,0,5,3
D21 2010/7,4,3,4,3,3,2,3,2,2,2,0,0,0,0
D21 2011/12,5,3,5,3,5,3,4,2,4,2,0,0,0,0
D21 2011/2,7,4,14,8,7,4,6,3,7,4,0,0,0,0
D21 2011/3,3,2,4,3,3,2,1,1,3,2,0,0,0,0
D21 2011/4,9,5,20,8,13,3,6,4,4,2,1,1,5,3
D21 2011/5,12,8,25,12,17,8,4,3,10,6,5,3,1,1
D21 2012/2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D21 2012/4,7,2,10,3,10,3,3,1,10,3,3,1,0,0
D21 2012/8,3,3,3,3,0,0,1,1,1,1,2,2,2,2
D21 2013/9,21,9,27,13,11,6,15,6,7,4,0,0,8,3
D21 2014/12,22,11,42,18,5,4,9,6,15,7,0,0,3,2
D21 2014/3,7,4,13,6,2,2,0,0,2,2,1,1,5,2
D21 2014/4,20,6,24,8,12,4,14,4,16,5,0,0,4,1
D21 2014/6,3,2,6,4,6,4,3,2,3,2,0,0,0,0
D21 2014/7,10,4,16,8,12,4,3,1,10,4,3,3,1,1
D21 2014/8,13,7,22,11,8,3,4,4,9,3,0,0,4,4
D21 2015/10,12,7,12,7,9,5,8,4,5,2,0,0,2,1
D21 2015/11,60,9,82,15,34,5,18,4,40,7,0,0,18,1
D21 2015/12,0,0,1,1,0,0,0,0,0,0,0,0,0,0
D21 2015/6,14,4,17,6,13,4,11,2,3,2,0,0,2,1
D21 2015/9,3,2,3,2,1,1,1,1,1,1,0,0,2,1
D21 2016/4,26,9,42,20,18,4,12,5,21,6,0,0,3,1
D21 2016/8,12,3,23,7,18,4,11,2,12,3,0,0,0,0
D21 2017/10,1,1,4,4,4,4,1,1,3,3,1,1,0,0
D21 2017/5,13,6,18,10,13,5,8,4,7,2,0,0,2,2
D21 2017/7,6,4,6,4,1,1,3,2,3,2,0,0,2,1
D21 2018/10,12,5,22,8,14,4,6,3,9,3,0,0,3,2
D21 2018/11,23,9,24,10,21,7,17,4,17,6,1,1,0,0
D21 2018/6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D21 2018/8,34,7,40,10,18,4,33,6,16,3,0,0,5,2
D21 2018/9,78,18,128,40,52,8,47,9,54,10,2,1,15,4
D21 2019/1,16,3,16,3,2,1,2,1,2,1,0,0,14,2
D21 2019/5,20,9,26,14,17,7,14,5,12,5,1,1,2,1
D21 2019/6,5,5,8,8,5,5,4,4,3,3,1,1,2,2
D84 1994/8,12,8,14,10,8,4,4,1,2,2,4,4,3,3
DAB 1988/11,26,13,43,26,13,9,5,3,8,4,7,4,14,7
DAB 1988/5,18,15,27,20,12,8,11,8,10,6,8,6,8,7
DAB 1989/1,72,17,76,19,22,8,6,2,36,8,42,9,22,5
DAB 1989/11,3,3,4,4,2,2,1,1,1,1,0,0,1,1
DAB 1989/5,31,18,43,29,18,8,9,5,6,5,12,10,12,10
DAB 1989/8,25,14,31,19,15,8,10,6,7,5,6,5,11,7
DAB 1989/9,72,21,76,25,18,8,10,4,28,7,30,10,33,11
DAB 1990/10,30,17,33,19,14,7,13,6,13,7,12,9,15,9
DAB 1990/11,41,16,47,19,14,8,7,4,6,6,13,9,30,8
DAB 1990/2,47,21,63,28,25,10,11,6,20,7,17,10,22,12
DAB 1990/3,44,11,56,14,28,5,4,2,6,1,28,5,24,7
DAB 1990/4,52,25,70,35,38,15,12,7,18,10,32,16,25,15
DAB 1990/6,138,45,179,68,73,23,54,15,44,16,56,23,61,21
DAB 1990/7,28,21,41,29,18,11,7,5,13,9,19,14,17,13
DAB 1991/1,27,16,44,30,9,8,9,5,16,7,14,10,10,7
DAB 1991/11,77,27,100,36,48,15,29,8,43,14,45,13,28,11
DAB 1991/2,24,15,32,20,12,9,8,6,11,5,9,6,9,7
DAB 1991/3,20,11,20,11,9,4,8,3,2,2,2,2,10,6
DAB 1991/4,88,26,114,35,40,13,34,8,34,9,34,14,38,11
DAB 1992/1,38,17,65,28,41,11,17,1,7,5,16,11,12,9
DAB 1992/10,46,26,68,37,32,13,15,9,23,12,9,8,12,9
DAB 1992/11,4,3,8,5,1,1,0,0,1,1,2,1,2,1
DAB 1992/3,8,5,13,8,5,3,3,2,1,1,4,2,5,3
DAB 1992/4,30,18,38,25,18,10,10,4,9,7,5,5,12,9
DAB 1992/5,43,21,58,28,28,10,18,8,22,9,8,6,11,9
DAB 1993/1,21,12,43,19,22,7,6,2,13,5,14,6,13,7
DAB 1993/11,33,20,48,27,17,8,5,4,17,11,14,9,17,9
DAB 1993/3,13,11,22,17,6,4,2,2,3,2,6,6,6,6
DAB 1993/5,5,4,8,6,6,4,2,1,4,4,2,2,0,0
DAB 1993/6,31,18,51,27,28,11,10,4,19,7,20,13,11,9
DAB 1993/7,12,8,15,10,8,4,1,1,5,3,1,1,3,3
DAB 1994/12,24,13,44,21,22,8,2,2,12,5,16,7,14,9
DAB 1994/6,52,14,64,19,20,4,8,2,6,3,24,9,32,10
DAB 1994/7,20,12,35,21,20,7,8,2,2,2,6,5,4,4
DAB 1995/1,28,14,46,21,16,6,3,2,12,5,17,9,13,7
DAB 1995/10,8,8,15,13,8,6,2,2,3,3,3,3,3,3
DAB 1995/3,55,25,94,40,45,13,18,4,20,9,24,14,17,10
DAB 1995/4,79,26,121,40,69,14,9,3,35,10,41,12,30,13
DAB 1995/5,68,16,126,27,64,12,22,5,32,7,38,10,42,9
DAB 1995/7,42,23,69,36,25,13,6,4,13,9,21,12,23,13
DAB 1996/11,94,31,140,44,93,21,40,12,29,9,36,17,33,14
DAB 1996/6,14,9,18,13,10,5,6,1,8,3,7,7,5,5
DAB 1997/2,14,9,24,15,9,7,6,4,4,4,3,2,7,3
DAB 1997/3,64,25,96,40,40,16,10,3,10,8,45,22,44,17
DAB 1997/8,27,9,32,13,2,2,4,2,8,1,11,5,18,7
DAB 1998/1,25,15,47,30,30,15,10,5,9,8,14,11,7,5
DAB 1998/10,17,13,22,16,11,6,8,5,7,5,6,5,6,6
DAB 1998/11,93,32,127,44,73,19,38,9,40,12,36,16,34,15
DAB 1998/3,24,18,39,28,14,10,3,1,9,6,17,14,14,11
DAB 1998/4,32,20,40,26,9,7,14,7,2,2,7,6,22,12
DAB 1998/7,17,10,26,17,15,8,3,3,11,6,5,4,4,4
DAB 1998/9,8,7,12,9,7,4,1,1,0,0,5,5,4,4
DAB 1999/10,19,11,31,19,9,7,4,3,3,3,12,7,14,7
DAB 1999/12,71,33,103,53,41,18,23,7,16,11,33,19,41,18
DAB 1999/2,30,18,45,24,25,12,7,3,22,11,15,10,14,7
DAB 1999/3,76,19,106,26,42,10,18,4,26,6,44,11,34,10
DAB 1999/4,64,31,94,43,43,18,20,8,18,11,21,14,27,14
DAB 1999/5,29,14,44,25,13,8,2,1,3,3,23,11,22,9
DAB 1999/9,38,20,69,29,41,12,6,5,14,6,24,12,21,11
DAB 2000/11,7,6,17,13,12,10,2,2,8,6,4,3,3,2
DAB 2000/12,65,33,91,49,35,17,21,7,23,15,18,13,22,14
DAB 2000/2,15,10,23,17,8,4,1,1,6,3,7,6,9,7
DAB 2000/3,12,8,29,18,18,9,4,3,10,5,10,5,6,4
DAB 2000/7,24,11,42,17,14,6,4,2,10,5,10,5,10,5
DAB 2000/9,108,43,164,66,77,20,25,6,41,18,62,27,43,19
DAB 2001/1,41,18,58,29,30,14,11,5,16,9,28,16,17,7
DAB 2001/12,22,8,30,10,16,4,6,2,2,1,4,1,12,5
DAB 2001/2,12,4,16,6,12,4,6,2,2,1,2,1,4,2
DAB 2001/3,32,16,47,24,23,8,8,2,13,6,17,10,14,9
DAB 2001/5,35,17,50,23,35,15,7,5,22,9,10,5,8,7
DAB 2001/7,369,66,464,93,191,30,107,16,138,25,173,34,157,32
DAB 2002/10,80,36,145,60,52,20,24,13,31,11,39,16,46,24
DAB 2002/11,97,37,169,56,76,17,22,7,30,11,65,27,59,20
DAB 2002/2,110,43,156,62,66,21,30,11,31,15,53,21,56,21
DAB 2002/4,50,24,77,38,42,18,16,7,24,14,35,19,19,12
DAB 2002/5,32,19,65,30,34,12,11,3,17,9,23,16,14,9
DAB 2002/6,22,11,24,13,9,4,7,2,13,5,12,6,8,6
DAB 2002/9,74,34,93,49,55,21,32,16,32,14,18,12,18,15
DAB 2003/11,64,25,79,36,20,11,22,5,7,6,45,16,47,13
DAB 2003/2,32,18,33,19,12,8,1,1,15,9,4,4,12,6
DAB 2003/4,51,20,98,32,42,11,5,3,14,8,43,16,33,12
DAB 2003/9,17,6,24,11,12,6,8,3,9,3,4,3,3,2
DAB 2004/1,80,19,154,33,52,11,16,4,46,11,42,12,50,11
DAB 2004/10,30,19,48,25,28,12,13,8,31,15,13,8,6,4
DAB 2004/11,62,26,107,41,45,14,16,7,23,11,39,16,27,12
DAB 2004/3,45,24,71,35,35,14,18,8,18,8,21,11,19,12
DAB 2004/4,16,10,22,16,11,6,4,1,2,2,5,5,7,6
DAB 2004/7,35,19,47,27,18,7,8,4,7,5,18,12,21,13
DAB 2004/9,68,25,94,39,31,15,21,12,12,8,34,10,44,14
DAB 2005/3,6,5,8,7,1,1,0,0,1,1,3,3,6,5
DAB 2005/7,13,11,30,18,21,10,7,5,15,7,9,4,3,2
DAB 2005/9,32,21,48,27,18,8,7,6,11,6,27,15,20,14
DAB 2006/12,39,20,55,30,21,9,17,7,14,7,13,10,16,10
DAB 2006/2,34,19,57,33,24,12,18,7,14,7,11,8,15,9
DAB 2006/3,13,8,22,14,6,4,5,4,4,2,12,7,11,7
DAB 2006/7,162,36,226,52,112,18,54,11,50,12,70,20,84,22
DAB 2007/12,35,17,45,24,17,8,12,4,6,6,13,7,19,9
DAB 2007/6,37,25,58,34,25,11,15,9,28,14,20,14,14,11
DAB 2008/12,34,15,41,17,25,8,20,7,17,7,8,5,11,6
DAB 2009/3,9,5,14,8,9,3,9,5,1,1,0,0,2,2
DAB 2010/10,4,3,7,5,3,2,2,2,2,1,0,0,1,1
DAB 2010/7,7,3,13,7,5,2,3,2,5,2,0,0,0,0
DAB 2010/9,12,7,21,11,7,4,12,7,4,3,0,0,4,2
DAB 2011/11,9,5,23,14,17,8,10,5,7,3,1,1,2,2
DAB 2011/3,6,3,14,5,3,2,6,3,0,0,0,0,3,1
DAB 2011/7,16,6,18,8,11,4,12,4,9,2,2,1,6,3
DAB 2012/11,2,2,4,3,2,2,2,2,0,0,0,0,0,0
DAB 2012/5,1,1,3,3,1,1,0,0,1,1,0,0,0,0
DAB 2012/7,12,4,13,5,4,1,12,4,2,1,2,1,6,2
DAB 2013/5,7,5,18,12,6,3,6,4,3,2,0,0,3,2
DAB 2014/11,1,1,1,1,1,1,1,1,0,0,0,0,0,0
DAB 2014/3,5,3,6,4,5,3,5,3,4,2,0,0,1,1
DAB 2014/6,10,4,17,7,0,0,9,3,1,1,0,0,9,3
DAB 2014/7,2,2,2,2,1,1,1,1,2,2,1,1,0,0
DAB 2015/10,2,2,6,6,1,1,1,1,0,0,0,0,0,0
DAB 2015/11,6,2,6,2,2,1,6,2,0,0,0,0,0,0
DAB 2015/4,2,2,6,4,1,1,1,1,1,1,0,0,0,0
DAB 2015/7,9,7,12,9,4,3,9,7,2,2,0,0,5,4
DAB 2016/8,0,0,16,5,2,1,0,0,0,0,2,1,0,0
DAB 2017/12,0,0,2,2,2,2,0,0,0,0,0,0,0,0
DAB 2017/3,1,1,37,9,12,4,1,1,0,0,2,1,0,0
DAB 2017/7,7,4,17,9,9,5,4,3,8,5,1,1,0,0
DAB 2018/10,2,2,4,4,1,1,2,2,0,0,0,0,1,1
DAB 2018/4,34,8,38,10,18,6,26,6,10,3,12,2,18,3
DAB 2018/5,7,4,16,11,7,2,2,2,1,1,0,0,0,0
DAB 2018/6,6,2,12,7,7,2,0,0,1,1,0,0,0,0
DAB 2018/7,10,4,18,10,11,3,3,2,3,2,0,0,0,0
DAB 2019/1,7,4,17,8,2,1,5,2,2,2,0,0,3,1
DAB 2019/6,3,3,8,5,0,0,0,0,3,3,0,0,0,0
DAC 1989/5,159,54,210,76,76,22,28,12,89,25,67,25,58,25
DAC 1995/2,59,27,91,39,28,8,5,3,32,15,21,6,22,11
DAL 1992/2,24,17,41,31,16,11,3,2,12,8,19,14,16,12
DAL 1993/7,26,13,33,18,10,5,10,3,8,5,12,7,11,6
DAL 1995/1,16,7,22,10,4,2,4,1,0,0,12,5,14,6
DAL 1995/3,28,16,38,25,17,13,4,4,7,6,15,10,17,8
DAL 1996/5,32,11,70,14,48,7,4,2,14,3,26,6,22,7
DAL 1997/10,12,5,24,12,16,6,1,1,1,1,5,4,6,4
DAL 1998/11,32,7,46,11,18,5,6,2,14,4,24,4,18,3
DAY 1988/10,5,3,12,8,9,5,4,2,3,1,0,0,0,0
DAY 1988/11,18,10,28,15,12,6,5,3,9,4,3,3,6,4
DAY 1988/2,15,10,21,15,11,9,7,6,5,4,7,4,8,4
DAY 1988/3,23,9,37,18,14,8,9,5,11,6,7,4,10,3
DAY 1988/6,12,11,17,14,5,4,2,2,5,4,5,4,7,6
DAY 1988/7,89,35,104,46,31,12,27,6,22,15,42,19,51,18
DAY 1988/8,96,35,122,53,43,15,21,6,21,10,52,24,49,18
DAY 1989/1,50,9,62,15,26,7,16,2,30,8,42,10,26,4
DAY 1989/11,98,31,133,50,39,18,19,7,40,17,42,16,50,11
DAY 1989/3,16,7,25,12,19,7,1,1,5,4,12,6,3,2
DAY 1989/4,97,38,121,49,56,16,37,13,48,13,68,19,53,22
DAY 1989/6,20,7,22,8,7,3,2,1,4,1,11,4,11,4
DAY 1989/7,48,20,84,35,31,10,17,6,23,9,18,10,21,10
DAY 1989/8,80,37,117,60,40,21,18,10,40,15,35,16,38,19
DAY 1989/9,218,47,290,61,124,24,74,17,60,16,74,18,108,24
DAY 1990/1,20,15,33,24,12,9,6,4,5,4,6,5,10,8
DAY 1990/11,28,16,37,21,27,12,3,3,15,7,20,9,6,6
DAY 1990/12,15,7,17,8,7,4,2,1,6,3,14,6,5,2
DAY 1990/2,51,17,73,24,37,11,13,6,23,5,41,11,24,10
DAY 1990/3,182,41,240,54,118,23,62,11,62,14,94,21,100,24
DAY 1990/4,63,33,113,57,37,20,25,11,22,13,18,13,31,19
DAY 1990/8,151,42,167,50,59,15,37,11,36,13,74,20,79,24
DAY 1991/1,51,22,63,28,28,13,20,10,13,9,26,8,30,11
DAY 1991/10,42,16,80,34,32,14,13,4,14,10,14,6,16,6
DAY 1991/11,150,36,175,44,68,14,35,10,59,13,74,19,61,18
DAY 1991/12,6,6,13,10,5,3,1,1,2,2,4,4,5,5
DAY 1991/3,20,18,28,26,7,7,3,3,7,7,9,9,10,8
DAY 1991/4,37,27,44,32,25,17,10,8,10,8,12,10,15,11
DAY 1991/5,26,15,34,19,21,10,7,5,16,8,3,3,4,4
DAY 1991/6,29,11,34,16,14,7,8,3,14,6,12,7,9,5
DAY 1991/7,10,8,17,14,7,6,4,3,4,4,5,4,4,3
DAY 1991/8,135,56,177,76,63,24,27,12,45,18,67,29,71,31
DAY 1992/1,49,23,78,32,22,10,13,9,13,7,19,6,28,12
DAY 1992/10,13,8,18,12,6,5,3,2,3,2,4,3,10,6
DAY 1992/11,68,28,102,42,39,15,18,6,19,9,59,19,44,15
DAY 1992/3,28,15,47,23,28,11,9,3,16,7,25,12,9,6
DAY 1992/4,29,12,32,15,9,4,5,2,10,3,10,6,11,6
DAY 1992/6,34,9,58,15,42,8,14,3,18,3,20,7,12,5
DAY 1992/8,21,19,29,24,13,10,4,3,8,8,13,13,8,7
DAY 1993/1,87,39,128,55,66,20,27,13,35,14,45,21,40,21
DAY 1993/11,42,27,65,40,26,16,10,7,14,9,18,12,25,15
DAY 1993/12,41,25,51,30,26,13,17,10,23,13,9,7,10,8
DAY 1993/3,98,18,140,26,56,7,12,3,22,5,42,9,64,12
DAY 1994/1,40,21,70,35,40,14,21,9,27,10,12,8,17,11
