Acronym,acronym,Fullform4,Fullform5,Fullform6,link2
BS,bs,Broadcasting Station (Commercial),,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
BTL,btl,Between Layers,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
BTN,btn,Between,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
BVLOS,bvlos,Beyond visual line of sight,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
C,c,Degrees Celsius (Centigrade),Centre (Runway),,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
CA,ca,Course Acquisition,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
CA/GRO,ca/gro,Certified Air/Ground Radio Operator,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
CA/GRS,ca/grs,Certified Air/Ground Radio Service,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
CAA NZ,caa nz,Civil Aviation Authority New Zealand,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
CAAP,caap,Civil Aviation Advisory Publication,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
CAGRO,cagro,Certified Air Ground Radio Operation,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
CAMO,camo,Continuing Airworthiness Management Organisation,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
CAMP,camp,Continuous Airworthiness Maintenance Program,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
CAO,cao,Civil Aviation Order,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
CAR,car,Civil Aviation Regulations 1988,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
CAS,cas,Calibrated air speed,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
CASA,casa,Civil Aviation Safety Authority,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
CASR,casr,Civil Aviation Safety Regulation,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
CAT,cat,Category,Clear Air Turbulence,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
CAVOK,cavok,"Visibility, cloud and present weather better than prescribed values  or conditions",,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
CB,cb,Cumulonimbus (met),,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
CBT,cbt,Competency-based Training,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
CC,cc,Cirrocumulus (met),,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
CCA,cca,"Corrected meteorological message (for CCB, CCC..etc., in sequence)               (message type designator)",,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
CCF,ccf,Capability Check Flight,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
CCTS,ccts,Circuits,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
CD,cd,Candela,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
CDCCL,cdccl,Critical Design Configuration Control Limit,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
CDI,cdi,Course Direction Indicator,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
CDL,cdl,Configuration Deviation List,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
CDN,cdn,Coordination (message type designator),,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
CEN,cen,En Route and Area ATC unit,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
CEO,ceo,Chief Executive Officer,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
CET,cet,Clearance Expiry Time,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
CF,cf,Change Frequency to,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
CFI,cfi,Chief Flying Instructor,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
CFIT,cfit,Controlled Flight into Terrain,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
CFL,cfl,Cleared Flight Level,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
CFM,cfm,"Confirm, I confirm",,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
CG,cg,Centre of gravity,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
CGL,cgl,Circling guidance light(s),,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
CH,ch,This is a channel continuity check of transmission to permit comparision of your record of channel-sequence numbers of messages received on the channel (to be used in AFS as a procedure signal),,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
CHG,chg,Modification (message type designator),,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
CHTR,chtr,Charter,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
CI,ci,Cirrus (met),,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
CIDIN,cidin,Common ICAO data interchange network,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
CIR,cir,Command Instrument Rating,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
CIT,cit,"Near, Over Large Town(s)",,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
CIV,civ,Civil,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
CK,ck,Check,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
CL,cl,Centre Line,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
CLA,cla,Clear type of ice formation,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
CLBR,clbr,Calibration,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
CLD,cld,Cloud (met),,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
CLG,clg,Calling,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
CLIAS,clias,Climbing Indicated Airspeed,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
CLMAX,clmax,Maximum Co-efficient of Lift,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
CLR,clr,"Clear, Cleared to... Clearance",,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
CLSD,clsd,"Closed, Close, Closing",,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
CM (cm),cm (cm),Centimetre,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
CMB,cmb,Climb to or Climbing to,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
CMM,cmm,Component Maintenance Manual,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
CMPL,cmpl,"Configuration, Maintenance and Procedures","Completion, Completed, or Complete",,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
CMR,cmr,Certification Maintenance Requirements,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
CMSD,cmsd,Commissioned,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
CNL,cnl,Cancel,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
CNS,cns,"Communications, Navigation and Surveillance",,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
COA,coa,Certificates of Approval (issued to maintenance organisations),,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
CofA,cofa,Certificate of Airworthiness,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
COM,com,Communications,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
CONC,conc,Concrete,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
COND,cond,Condition,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
CONS,cons,Continuous,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
CONST,const,"Construction, Constructed",,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
CONT,cont,"Continue(s), Continued",,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
COOR,coor,"Coordinate, Coordinated",,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
COORD,coord,Coordinates,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
COP,cop,Change over point,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
CoR,cor,Certificate of Registration,"Correct, Corrected, Correction",,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
COS,cos,Conical Surface,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
COT,cot,"At the Coast, Coastal",,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
COV,cov,"Cover, Covered, Covering",,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
CP,cp,Chief Pilot,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
CPDLC,cpdlc,Controller-Pilot Data Link Communication,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
CPL,cpl,Commercial Pilot Licence,Current flight plan,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
CRC,crc,Cyclic redundancy check,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
CRIS,cris,Cost Recovery Impact Statement,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
CRM,crm,Crew Resource Management,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
CRZ,crz,Cruise,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
CS,cs,Cirrostratus (met),Call sign,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
CSDD,csdd,Common Support Data Dictionary ,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
CSU,csu,Constant Speed Unit,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
CTA,cta,Control Area,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
CTAF,ctaf,Common Traffic Advisory Frequency,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
CTAF(R),ctaf(r),Common Traffic Advisory Frequency - (Radio),,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
CTAM,ctam,Climb to and maintain,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
CTC,ctc,Category Technical Competency,Contact,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
CTL,ctl,Control,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
CTN,ctn,Caution,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
CTR,ctr,Control Zone,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
CU,cu,Cumulus (met),,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
CUF,cuf,Cumuliform (met),,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
CUST,cust,Customs,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
CVR,cvr,Cockpit voice recorder,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
CW,cw,Carrier Wave,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
CWY,cwy,Clearway,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
D,d,Deleted,Downward ,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
D-ATIS,d-atis,Data Link Automatic Terminal Information Service (pronounced'DEE-ATIS'),,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
D-VOLMET,d-volmet,Data Link VOLMET,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
D...,d...,Danger Area (followed by identification),,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
DA,da,Decision Altitude,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
DA/H,da/h,Decision Altitude/Height,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
DALR,dalr,Dry Adiabatic Lapse Rate,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
DAME,dame,Designated Aviation Medical Examiner,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
DAO,dao,Designated Aviation Ophthamologist,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
DAP,dap,Departure and Approach Procedures,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
DCD,dcd,Double channel duplex,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
DCKG,dckg,Docking,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
DCMSD,dcmsd,Decommissioned,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
DCPC,dcpc,Direct Controller-Pilot Communications,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
DCS,dcs,Double channel simplex,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
DCT,dct,Direct (in relation to flight plan clearances and type of approach),,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
DE,de,Form (used to preceed the call sign of the calling station) (to be used in AFS as a procedure signal),,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
DEC,dec,December,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
DEG,deg,Degrees,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
DEP,dep,"Depart, Departure, Departed, Departing, Departure Message",,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
DER,der,Departure End of Runway,Designated Engineering Representative,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
DES,des,"Descend to, Descending to",,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
DEST,dest,Destination,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
DETRESFA,detresfa,Distress Phase,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
DEV,dev,"Deviation, Deviating",,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
DF,df,Direction Finder/ Finding,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
DFDR,dfdr,Digital Flight Data Recorder,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
DFTI,dfti,Distance from touchdown indicator,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
DGA,dga,Distance Measuring Equipment or Global Positioning Satellite System Arrival,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
DH,dh,Decision Height,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
DIF,dif,Diffuse,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
DISP,disp,Displaced,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
DIST,dist,Distance,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
DIV,div,"Diversion, Divert, Diverting",,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
DLA,dla,Delay (message type designator),,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
DLIC,dlic,Data Link Initiation Capability,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
DLY,dly,Daily,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
DMC,dmc,Direct Maintenance Cost,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
DME,dme,Distance Measuring Equipment,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
DMEN,dmen,DME (International),,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
DMEP,dmep,DME (International Precision used in conjunction with Microwave Landing System),,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
DNG,dng,"Danger, Dangerous",,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
DOC,doc,Direct Operating Cost,Documents,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
DoD,dod,Department of Defence,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
DOM,dom,Domestic,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
DP,dp,Dew Point Temperature,Discussion Paper,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
DPT,dpt,Depth,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
DR,dr,Dead Reckoning (navigation),,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
DR...,dr...,"Low drifting (followed by DU=dust, SA=sand or SN=snow)",,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
DRG,drg,During,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
DS,ds,Dust storm,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
DSB,dsb,Double sideband,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
DTAM,dtam,Descend to And Maintain,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
DTG,dtg,Date-Time Group,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
DTHR,dthr,Displaced Runway Threshold,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
DTRT,dtrt,"Deteriorate, Deteriorating",,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
DTW,dtw,Dual tandem wheels,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
DU,du,Dust,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
DUC,duc,Dense Upper Cloud (met),,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
DUPE,dupe,This is a duplicate message (to be used in Aeronautical Fixed Service as a procedure signal),,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
DUR,dur,Duration,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
DVOR,dvor,Doppler VOR,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
DW,dw,Dual wheels,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
DZ,dz,Drizzle,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
E,e,"East, East Longitude",,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
E E E,e e e,Error (to be used in AFS as a procedure signal),,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
EASA,easa,European Aviation Safety Agency,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
EAT,eat,Expected Approach Time,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
EB,eb,Eastbound,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ECAR,ecar,European Civil Aviation Requirement (formerly JAR),,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
EDTO,edto,Extended Diversion Time Operations,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
EET,eet,Estimated Elapsed Time,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
EFB,efb,Electronic Flight Bag,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
EFC,efc,Expect further clearance,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
EGNOS,egnos,European Geostationary Navigation Overlay System,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
EGPWS,egpws,Enhanced Ground Proximity Warning System,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
EHF,ehf,"Extremely high frequency (30,000 to 300,000 MHz)",,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
EHR,ehr,Encumbrance Holder Register,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ELBA,elba,Emergency locator beacon-aircraft,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ELEV,elev,Elevation,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ELR,elr,Extra Long Range,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ELT(S),elt(s),Emergency Locator Transmitter (Survival),,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
EM,em,Engine Manual,Explanatory Memorandum,Emission,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
EMBD,embd,Embedded in a Layer (to indicate cumulonimbus embedded in layers of other clouds),,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
EMERG,emerg,Emergency,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
EMS,ems,Emergency Medical Service,Environment Management System,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
END,end,Stop-end (related to RVR),,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ENDCE,endce,Endurance,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ENE,ene,East North-East,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ENG,eng,Engine,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ENR,enr,En Route,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ENRC,enrc,En Route Chart (followed by name/title),,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
EOBT,eobt,Estimated off Blocks Time,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
EPA,epa,Environment Protection Agency,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
EPIRB,epirb,Electronic Position Indicating Radio Beacon (marine term.),,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
EQPT,eqpt,Equipment,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ER,er,Here..or herewith,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ERC,erc,En-route Chart,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ERP,erp,Emergency Response Plan,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ERSA,ersa,En-route Supplement Australia,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ES,es,Explanatory Statement (tabled with regulations in Parliament),,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ESD,esd,Electrostatic sensitive discharge,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ESDE,esde,ESD equipment,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ESE,ese,East Southeast,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ESIR,esir,Electronic safety incident report,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
EST,est,Estimate or estimated or estimate (message type designator),,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ETA,eta,"Estimated Time of Arrival, Estimating Arrival",,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ETCM,etcm,Engine trend and condition monitoring,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ETD,etd,"Estimated Time of Departure, Estimating Departure",,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ETO,eto,Estimated Time Over significant point,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ETOPS,etops,Extended range operations by turbine-engined aeroplanes,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ETP,etp,Equi Time Interval,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ETT,ett,Estimated Time Interval,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
EV,ev,Every,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
EVLOS,evlos,Extended visual line of sight,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
EVU,evu,Enforceable Voluntary Undertaking,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
EXC,exc,Except,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
EXCO,exco,Executive Council,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
EXER,exer,"Exercises, Exercising, to exercise",,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
EXP,exp,"Expect, Expected, Expecting",,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
EXTD,extd,"Extend, Extending, Extended",,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
F,f,Fixed (chart symbol),,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
FAA,faa,Federal Aviation Administration of the USA,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
FAAOC,faaoc,Foreign Aircraft Air Operator's Certificate,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
FAC,fac,"Facility, Facilities",,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
FADEC,fadec,Full Authority Digital Engine Control,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
FAF,faf,Final Approach Fix,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
FAL,fal,Facilitation of International Air,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
FAP,fap,Final Approach Point,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
FARs,fars,Federal Aviation Regulations (Federal Aviation Administration of the USA),,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
FATO,fato,Final approach and take-off area,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
FAWP,fawp,Final Approach Waypoint,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
FAX,fax,Facsimile Transmission,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
