Acronym,acronym,Fullform5,link3
MQS,mqs,Mustique Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MQT,mqt,Sawyer International Airport ,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MQU,mqu,Mariquita Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MQV,mqv,Mostaganem Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MQW,mqw,Telfair–Wheeler Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MQX,mqx,Alula Aba Nega Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MQY,mqy,Smyrna Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MQZ,mqz,Margaret River Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MRA,mra,Misrata Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MRB,mrb,Eastern WV Regional Airport ,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MRC,mrc,Maury County Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MRD,mrd,Alberto Carnevalli Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MRE,mre,Mara Serena Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MRF,mrf,Marfa Municipal Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MRG,mrg,Mareeba Airfield,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MRH,mrh,May River Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MRI,mri,Merrill Field,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MRJ,mrj,Marcala Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MRK,mrk,Marco Island Airport ,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MRL,mrl,Miners Lake Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MRM,mrm,Manari Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MRN,mrn,Foothills Regional Airport ,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MRO,mro,Hood Aerodrome,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MRP,mrp,Marla Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MRQ,mrq,Marinduque Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MRR,mrr,José María Velasco Ibarra Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MRS,mrs,Marseille Provence Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MRT,mrt,Moroak Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MRU,mru,Sir Seewoosagur Ramgoolam International Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MRV,mrv,Mineralnye Vody Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MRW,mrw,Lolland Falster Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MRX,mrx,Mahshahr Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MRY,mry,Monterey Regional Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MRZ,mrz,Moree Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MSA,msa,Muskrat Dam Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MSC,msc,Falcon Field Airport ,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MSD,msd,Mount Pleasant Airport ,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MSE,mse,Manston Airport ,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MSF,msf,Mount Swan Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MSG,msg,Matsaile Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MSH,msh,Masirah Air Base,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MSI,msi,Masalembo Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MSJ,msj,Misawa Air Base,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MSL,msl,Northwest Alabama Regional Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MSM,msm,Masi-Manimba Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MSN,msn,Dane County Regional Airport ,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MSO,mso,Missoula International Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MSP,msp,Minneapolis–Saint Paul International Airport ,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MSQ,msq,Minsk National Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MSR,msr,Mu? Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MSS,mss,Massena International Airport ,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MST,mst,Maastricht Aachen Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MSU,msu,Moshoeshoe I International Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MSV,msv,Sullivan County International Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MSW,msw,Massawa International Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MSX,msx,Mossendjo Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MSY,msy,Louis Armstrong New Orleans International Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MSZ,msz,Moçâmedes Airport ,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MTA,mta,Matamata Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MTB,mtb,Montelíbano Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MTC,mtc,Selfridge Air National Guard Base,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MTD,mtd,Mount Sandford Station Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MTE,mte,Monte Alegre Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MTF,mtf,Mizan Teferi Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MTG,mtg,Mato Grosso Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MTH,mth,Florida Keys Marathon Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MTI,mti,Mosteiros Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MTJ,mtj,Montrose Regional Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MTK,mtk,Makin Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MTL,mtl,Maitland Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MTM,mtm,Metlakatla Seaplane Base,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MTN,mtn,Martin State Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MTO,mto,Coles County Memorial Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MTP,mtp,Montauk Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MTQ,mtq,Mitchell Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MTR,mtr,Los Garzones Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MTS,mts,Matsapha Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MTT,mtt,Minatitlán/Coatzacoalcos International Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MTU,mtu,Montepuez Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MTV,mtv,Mota Lava Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MTW,mtw,Manitowoc County Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MTX,mtx,Metro Field ,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MTY,mty,General Mariano Escobedo International Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MTZ,mtz,Bar Yehuda Airfield ,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MUA,mua,Munda Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MUB,mub,Maun Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MUC,muc,Munich Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MUD,mud,Mueda Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MUE,mue,Waimea-Kohala Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MUF,muf,Muting Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MUG,mug,Mulegé Airstrip,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MUH,muh,Marsa Matruh International Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MUI,mui,Muir Army Airfield,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MUJ,muj,Mui Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MUK,muk,Mauke Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MUL,mul,Spence Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MUN,mun,José Tadeo Monagas International Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MUO,muo,Mountain Home Air Force Base,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MUP,mup,Mulga Park Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MUQ,muq,Muccan Station Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MUR,mur,Marudi Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MUS,mus,Minami Torishima Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MUT,mut,Muscatine Municipal Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MUW,muw,Ghriss Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MUX,mux,Multan International Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MUY,muy,Mouyondzi Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MUZ,muz,Musoma Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MVA,mva,Mývatn Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MVB,mvb,M'Vengue El Hadj Omar Bongo Ondimba International Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MVC,mvc,Monroe County Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MVD,mvd,Carrasco Gral. Cesáreo L. Berisso International Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MVE,mve,Montevideo–Chippewa County Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MVF,mvf,Gov. Dix-Sept Rosado Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MVG,mvg,Mevang Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MVH,mvh,Macksville Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MVI,mvi,Manetai Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MVK,mvk,Mulka Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MVL,mvl,Morrisville–Stowe State Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MVM,mvm,Kayenta Airport ,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MVN,mvn,Mount Vernon Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MVO,mvo,Mongo Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MVP,mvp,Fabio Alberto León Bentley Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MVQ,mvq,Mogilev Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MVR,mvr,Salak Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MVS,mvs,Mucuri Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MVT,mvt,Mataiva Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MVU,mvu,Musgrave Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MVV,mvv,Megève Altiport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MVW,mvw,Skagit Regional Airport ,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MVX,mvx,Minvoul Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MVY,mvy,Martha's Vineyard Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MVZ,mvz,Masvingo Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MWA,mwa,Williamson County Regional Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MWB,mwb,Morawa Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MWC,mwc,Lawrence J. Timmerman Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MWD,mwd,PAF Base M.M. Alam,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MWE,mwe,Merowe Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MWF,mwf,Maewo-Naone Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MWG,mwg,Marawaka Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MWH,mwh,Grant County International Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MWI,mwi,Maramuni Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MWJ,mwj,Matthews Ridge Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MWK,mwk,Matak Airport ,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MWL,mwl,Mineral Wells Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MWM,mwm,Windom Municipal Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MWN,mwn,Mwadui Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MWO,mwo,Middletown Regional Airport ,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MWQ,mwq,Magway Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MWR,mwr,Motswari Airstrip,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MWT,mwt,Moolawatana Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MWU,mwu,Mussau Island Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MWV,mwv,Mondulkiri Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MWX,mwx,Muan International Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MWY,mwy,Miranda Downs Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MWZ,mwz,Mwanza Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MXA,mxa,Manila Municipal Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MXB,mxb,Andi Jemma Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MXC,mxc,Monticello Airport ,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MXD,mxd,Marion Downs Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MXE,mxe,Laurinburg–Maxton Airport ,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MXF,mxf,Maxwell Air Force Base,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MXG,mxg,Marlboro Airport ,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MXH,mxh,Moro Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MXI,mxi,Mati Airport ,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MXJ,mxj,Minna Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MXK,mxk,Mindik Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MXL,mxl,General Rodolfo Sánchez Taboada International Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MXM,mxm,Morombe Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MXN,mxn,Morlaix – Ploujean Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MXO,mxo,Monticello Regional Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MXP,mxp,Milan–Malpensa Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MXR,mxr,Myrhorod Air Base,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MXS,mxs,Maota Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MXT,mxt,Maintirano Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MXU,mxu,Mullewa Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MXV,mxv,Mörön Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MXW,mxw,Mandalgovi Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MXX,mxx,Mora–Siljan Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MXY,mxy,McCarthy Airport ,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MXZ,mxz,Meixian Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MYA,mya,Moruya Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MYB,myb,Mayumba Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MYC,myc,Mariscal Sucre Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MYD,myd,Malindi Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MYE,mye,Miyakejima Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MYF,myf,Montgomery Field Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MYG,myg,Mayaguana Airport ,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MYH,myh,Marble Canyon Airport ,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MYI,myi,Murray Island Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MYJ,myj,Matsuyama Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MYK,myk,May Creek Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MYL,myl,McCall Municipal Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MYM,mym,Monkey Mountain Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MYN,myn,Marib Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MYO,myo,Myroodah Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MYP,myp,Mary International Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MYQ,myq,Mysore Airport ,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MYR,myr,Myrtle Beach International Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MYT,myt,Myitkyina Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MYU,myu,Mekoryuk Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MYV,myv,Yuba County Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MYW,myw,Mtwara Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MYX,myx,Menyamya Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MYY,myy,Miri Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MYZ,myz,Monkey Bay Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MZA,mza,Manuel Prado Ugarteche Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MZB,mzb,Mocímboa da Praia Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MZC,mzc,Mitzic Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MZD,mzd,Méndez Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MZE,mze,Manatee Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MZF,mzf,Wild Coast Sun Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MZG,mzg,Magong Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MZH,mzh,Amasya Merzifon Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MZI,mzi,Mopti Airport ,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MZJ,mzj,Pinal Airpark,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MZK,mzk,Marakei Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MZL,mzl,La Nubia Airport ,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MZM,mzm,Metz-Frescaty Air Base,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MZN,mzn,Minj Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MZO,mzo,Sierra Maestra Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MZP,mzp,Motueka Aerodrome,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MZQ,mzq,Mkuze Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MZR,mzr,Mazar-e Sharif International Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MZT,mzt,General Rafael Buelna International Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MZU,mzu,Muzaffarpur Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MZV,mzv,Mulu Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MZW,mzw,Mécheria Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MZX,mzx,Mena Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MZY,mzy,Mossel Bay Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
MZZ,mzz,Marion Municipal Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
NAA,naa,Narrabri Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
NAC,nac,Naracoorte Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
NAD,nad,Macanal Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
NAE,nae,Boundétingou Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
NAF,naf,Banaina Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
NAG,nag,Dr. Babasaheb Ambedkar International Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
NAH,nah,Naha Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
NAI,nai,Annai Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
NAJ,naj,Nakhchivan International Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
NAK,nak,Nakhon Ratchasima Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
NAL,nal,Nalchik Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
NAM,nam,Namlea Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
NAN,nan,Nadi International Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
NAO,nao,Nanchong Gaoping Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
NAP,nap,Naples International Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
NAQ,naq,Qaanaaq Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
NAR,nar,Puerto Nare Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
NAS,nas,Lynden Pindling International Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
