,0,abrev,tag,casa_fullform,faa_fullform,iata_fullform,nasa_fullform,hand_fullform2,add_to_realworld_dictionary,add_to_airport,mispelled_word_fix 
lingr,8,1,neg_nonword,,,,,,,,
oopla,8,1,neg_nonword,,,,,,,,
delhi,8,1,neg_nonword,,,,,,,,
acrat,8,1,neg_nonword,,,,,,,,
conroe,8,1,neg_nonword,,,,,,,,
blzzr,8,1,neg_nonword,,,,,,,,
lvn,8,1,neg_nonword,,,,,,,,
elsuh,8,1,neg_nonword,,,,,,,,
ahars,8,1,neg_nonword,,,,,,,,
yxi,8,1,neg_nonword,,,,,,,,
nid,8,1,neg_nonword,,,,,,,,
sweed,8,1,neg_nonword,,,,,,,,
bedrk,8,1,neg_nonword,,,,,,,,
soolu,8,1,neg_nonword,,,,,,,,
vuz,8,1,neg_nonword,,,,,,,,
debbb,8,1,neg_nonword,,,,,,,,
laplata,8,1,neg_nonword,,,,,,,,
epgws,8,1,neg_nonword,,,,,,,,
marrs,8,1,neg_nonword,,,,,,,,
mcalester,8,1,neg_nonword,,,,,,,,
hvys,8,1,neg_nonword,,,,,,,,
plattsburg,8,1,neg_nonword,,,,,,,,
canpa,8,1,neg_nonword,,,,,,,,
alice,8,1,neg_nonword,,,,,,,,
shurl,8,1,neg_nonword,,,,,,,,
kasmi,8,1,neg_nonword,,,,,,,,
anacortes,8,1,neg_nonword,,,,,,,,
ayron,8,1,neg_nonword,,,,,,,,
chola,8,1,neg_nonword,,,,,,,,
iiie,8,1,neg_nonword,,,,,,,,
gpw,8,1,neg_nonword,,,,,,,,
ganiv,8,1,neg_nonword,,,,,,,,
grity,8,1,neg_nonword,,,,,,,,
trese,8,1,neg_nonword,,,,,,,,
sonoma,8,1,neg_nonword,,,,,,,,
powdr,8,1,neg_nonword,,,,,,,,
turlock,8,1,neg_nonword,,,,,,,,
slimr,8,1,neg_nonword,,,,,,,,
stabilator,8,1,neg_nonword,,,,,,,,
watertown,8,1,neg_nonword,,,,,,,,
jebsu,8,1,neg_nonword,,,,,,,,
snobl,8,1,neg_nonword,,,,,,,,
batt,8,1,neg_nonword,,,,,,,,
gunnr,8,1,neg_nonword,,,,,,,,
asian,8,1,neg_nonword,,,,,,,,
akeem,8,1,neg_nonword,,,,,,,,
thales,8,1,neg_nonword,,,,,,,,
soley,8,1,neg_nonword,,,,,,,,
logoz,8,1,neg_nonword,,,,,,,,
loca,8,1,neg_nonword,,,,,,,,
harley,8,1,neg_nonword,,,,,,,,
flyers,8,1,neg_nonword,,,,,,,,
ge,8,1,neg_nonword,,,,,,,,
kizer,8,1,neg_nonword,,,,,,,,
litky,8,1,neg_nonword,,,,,,,,
camden,8,1,neg_nonword,,,,,,,,
misjudgement,8,1,neg_nonword,,,,,,,,
artip,8,1,neg_nonword,,,,,,,,
ellam,8,1,neg_nonword,,,,,,,,
ahity,8,1,neg_nonword,,,,,,,,
alico,8,1,neg_nonword,,,,,,,,
seall,8,1,neg_nonword,,,,,,,,
oekh,8,1,neg_nonword,,,,,,,,
alpena,8,1,neg_nonword,,,,,,,,
hokir,8,1,neg_nonword,,,,,,,,
royce,8,1,neg_nonword,,,,,,,,
yabba,8,1,neg_nonword,,,,,,,,
lackr,8,1,neg_nonword,,,,,,,,
hvac,8,1,neg_nonword,,,,,,,,
tappa,8,1,neg_nonword,,,,,,,,
dannelly,8,1,neg_nonword,,,,,,,,
dymmo,8,1,neg_nonword,,,,,,,,
xattu,8,1,neg_nonword,,,,,,,,
tp,8,1,neg_nonword,,,,,,,,
qwo,8,1,neg_nonword,,,,,,,,
shulr,8,1,neg_nonword,,,,,,,,
puxtul,8,1,neg_nonword,,,,,,,,
stclr,8,1,neg_nonword,,,,,,,,
wellz,8,1,neg_nonword,,,,,,,,
azell,8,1,neg_nonword,,,,,,,,
fhr,8,1,neg_nonword,,,,,,,,
nagoya,8,1,neg_nonword,,,,,,,,
elkhart,8,1,neg_nonword,,,,,,,,
jyson,8,1,neg_nonword,,,,,,,,
loonr,8,1,neg_nonword,,,,,,,,
vashon,8,1,neg_nonword,,,,,,,,
jolen,8,1,neg_nonword,,,,,,,,
elsinore,8,1,neg_nonword,,,,,,,,
google,8,1,neg_nonword,,,,,,,,
huguenot,8,1,neg_nonword,,,,,,,,
epcot,8,1,neg_nonword,,,,,,,,
prebriefing,8,1,neg_nonword,,,,,,,,
downfield,8,1,neg_nonword,,,,,,,,
meachum,8,1,neg_nonword,,,,,,,,
letzz,8,1,neg_nonword,,,,,,,,
mh,8,1,neg_nonword,,,,,,,,
floyd,8,1,neg_nonword,,,,,,,,
kinte,8,1,neg_nonword,,,,,,,,
monmouth,8,1,neg_nonword,,,,,,,,
jeddah,8,1,neg_nonword,,,,,,,,
deridder,8,1,neg_nonword,,,,,,,,
zeus,8,1,neg_nonword,,,,,,,,
millt,8,1,neg_nonword,,,,,,,,
yokota,7,1,neg_nonword,,,,,,,,
haays,7,1,neg_nonword,,,,,,,,
acmee,7,1,neg_nonword,,,,,,,,
stillwater,7,1,neg_nonword,,,,,,,,
miscommunications,7,1,neg_nonword,,,,,,,,
volta,7,1,neg_nonword,,,,,,,,
vermont,7,1,neg_nonword,,,,,,,,
chedo,7,1,neg_nonword,,,,,,,,
seika,7,1,neg_nonword,,,,,,,,
jumar,7,1,neg_nonword,,,,,,,,
overtasked,7,1,neg_nonword,,,,,,,,
hct,7,1,neg_nonword,,,,,,,,
cepee,7,1,neg_nonword,,,,,,,,
rokny,7,1,neg_nonword,,,,,,,,
ruq,7,1,neg_nonword,,,,,,,,
crakk,7,1,neg_nonword,,,,,,,,
nnike,7,1,neg_nonword,,,,,,,,
gallatin,7,1,neg_nonword,,,,,,,,
buckl,7,1,neg_nonword,,,,,,,,
jovim,7,1,neg_nonword,,,,,,,,
dx,7,1,neg_nonword,,,,,,,,
coatesville,7,1,neg_nonword,,,,,,,,
lakeshore,7,1,neg_nonword,,,,,,,,
ivann,7,1,neg_nonword,,,,,,,,
ihd,7,1,neg_nonword,,,,,,,,
foret,7,1,neg_nonword,,,,,,,,
fecu,7,1,neg_nonword,,,,,,,,
bennington,7,1,neg_nonword,,,,,,,,
vulcan,7,1,neg_nonword,,,,,,,,
lwood,7,1,neg_nonword,,,,,,,,
oakes,7,1,neg_nonword,,,,,,,,
js,7,1,neg_nonword,,,,,,,,
morty,7,1,neg_nonword,,,,,,,,
hoosier,7,1,neg_nonword,,,,,,,,
kabt,7,1,neg_nonword,,,,,,,,
jingl,7,1,neg_nonword,,,,,,,,
cecil,7,1,neg_nonword,,,,,,,,
rsv,7,1,neg_nonword,,,,,,,,
psid,7,1,neg_nonword,,,,,,,,
ukiah,7,1,neg_nonword,,,,,,,,
tilla,7,1,neg_nonword,,,,,,,,
looth,7,1,neg_nonword,,,,,,,,
pseu,7,1,neg_nonword,,,,,,,,
goodland,7,1,neg_nonword,,,,,,,,
ew,7,1,neg_nonword,,,,,,,,
cevee,7,1,neg_nonword,,,,,,,,
pukle,7,1,neg_nonword,,,,,,,,
portsmouth,7,1,neg_nonword,,,,,,,,
delro,7,1,neg_nonword,,,,,,,,
moriarty,7,1,neg_nonword,,,,,,,,
bubba,7,1,neg_nonword,,,,,,,,
travelled,7,1,neg_nonword,,,,,,,,
pirro,7,1,neg_nonword,,,,,,,,
ekeme,7,1,neg_nonword,,,,,,,,
gonsets,7,1,neg_nonword,,,,,,,,
guam,7,1,neg_nonword,,,,,,,,
dripstick,7,1,neg_nonword,,,,,,,,
hisor,7,1,neg_nonword,,,,,,,,
au,7,1,neg_nonword,,,,,,,,
ngz,7,1,neg_nonword,,,,,,,,
jesty,7,1,neg_nonword,,,,,,,,
ekeke,7,1,neg_nonword,,,,,,,,
derate,7,1,neg_nonword,,,,,,,,
nazar,7,1,neg_nonword,,,,,,,,
shelby,7,1,neg_nonword,,,,,,,,
ajet,7,1,neg_nonword,,,,,,,,
linng,7,1,neg_nonword,,,,,,,,
tille,7,1,neg_nonword,,,,,,,,
wyoming,7,1,neg_nonword,,,,,,,,
abcc,7,1,neg_nonword,,,,,,,,
sadie,7,1,neg_nonword,,,,,,,,
wxy,7,1,neg_nonword,,,,,,,,
odf,7,1,neg_nonword,,,,,,,,
aadam,7,1,neg_nonword,,,,,,,,
tuala,7,1,neg_nonword,,,,,,,,
datul,7,1,neg_nonword,,,,,,,,
tjayy,7,1,neg_nonword,,,,,,,,
hixon,7,1,neg_nonword,,,,,,,,
retrimming,7,1,neg_nonword,,,,,,,,
monaa,7,1,neg_nonword,,,,,,,,
verde,7,1,neg_nonword,,,,,,,,
writeups,7,1,neg_nonword,,,,,,,,
ujm,7,1,neg_nonword,,,,,,,,
helos,7,1,neg_nonword,,,,,,,,
ermin,7,1,neg_nonword,,,,,,,,
limex,7,1,neg_nonword,,,,,,,,
pzd,7,1,neg_nonword,,,,,,,,
sheboygan,7,1,neg_nonword,,,,,,,,
docal,7,1,neg_nonword,,,,,,,,
kujum,7,1,neg_nonword,,,,,,,,
pivit,7,1,neg_nonword,,,,,,,,
finzz,7,1,neg_nonword,,,,,,,,
rockz,7,1,neg_nonword,,,,,,,,
tradr,7,1,neg_nonword,,,,,,,,
jackscrews,7,1,neg_nonword,,,,,,,,
dadc,7,1,neg_nonword,,,,,,,,
ramstein,7,1,neg_nonword,,,,,,,,
jacky,7,1,neg_nonword,,,,,,,,
cegan,7,1,neg_nonword,,,,,,,,
smoketown,7,1,neg_nonword,,,,,,,,
bifle,7,1,neg_nonword,,,,,,,,
xxab,7,1,neg_nonword,,,,,,,,
habra,7,1,neg_nonword,,,,,,,,
acbd,7,1,neg_nonword,,,,,,,,
rioos,7,1,neg_nonword,,,,,,,,
jumpr,7,1,neg_nonword,,,,,,,,
centro,7,1,neg_nonword,,,,,,,,
raddy,7,1,neg_nonword,,,,,,,,
rapps,7,1,neg_nonword,,,,,,,,
ewabe,7,1,neg_nonword,,,,,,,,
ritaa,7,1,neg_nonword,,,,,,,,
windshears,7,1,neg_nonword,,,,,,,,
ibake,7,1,neg_nonword,,,,,,,,
reiga,7,1,neg_nonword,,,,,,,,
sabar,7,1,neg_nonword,,,,,,,,
marquette,7,1,neg_nonword,,,,,,,,
idu,7,1,neg_nonword,,,,,,,,
parte,7,1,neg_nonword,,,,,,,,
swchm,7,1,neg_nonword,,,,,,,,
wb,7,1,neg_nonword,,,,,,,,
fixit,7,1,neg_nonword,,,,,,,,
ej,7,1,neg_nonword,,,,,,,,
eac,7,1,neg_nonword,,,,,,,,
jocco,7,1,neg_nonword,,,,,,,,
lucke,7,1,neg_nonword,,,,,,,,
unannunciated,7,1,neg_nonword,,,,,,,,
shea,7,1,neg_nonword,,,,,,,,
dixon,7,1,neg_nonword,,,,,,,,
flcxx,7,1,neg_nonword,,,,,,,,
northport,7,1,neg_nonword,,,,,,,,
hotspots,7,1,neg_nonword,,,,,,,,
otuni,7,1,neg_nonword,,,,,,,,
dmi,7,1,neg_nonword,,,,,,,,
warrd,7,1,neg_nonword,,,,,,,,
raim,7,1,neg_nonword,,,,,,,,
nootn,7,1,neg_nonword,,,,,,,,
silcn,7,1,neg_nonword,,,,,,,,
lills,7,1,neg_nonword,,,,,,,,
sumter,7,1,neg_nonword,,,,,,,,
kersy,7,1,neg_nonword,,,,,,,,
guadalajara,7,1,neg_nonword,,,,,,,,
accreting,7,1,neg_nonword,,,,,,,,
providenciales,7,1,neg_nonword,,,,,,,,
borgata,7,1,neg_nonword,,,,,,,,
clayo,7,1,neg_nonword,,,,,,,,
cocapt,7,1,neg_nonword,,,,,,,,
ahwatukee,7,1,neg_nonword,,,,,,,,
styrofoam,7,1,neg_nonword,,,,,,,,
winterset,7,1,neg_nonword,,,,,,,,
travelair,7,1,neg_nonword,,,,,,,,
hecto,7,1,neg_nonword,,,,,,,,
isz,7,1,neg_nonword,,,,,,,,
lewke,7,1,neg_nonword,,,,,,,,
tapps,7,1,neg_nonword,,,,,,,,
vv,7,1,neg_nonword,,,,,,,,
cosme,7,1,neg_nonword,,,,,,,,
rajee,7,1,neg_nonword,,,,,,,,
wipor,7,1,neg_nonword,,,,,,,,
baine,7,1,neg_nonword,,,,,,,,
cacty,7,1,neg_nonword,,,,,,,,
gvine,7,1,neg_nonword,,,,,,,,
kirksville,7,1,neg_nonword,,,,,,,,
neion,7,1,neg_nonword,,,,,,,,
tobby,7,1,neg_nonword,,,,,,,,
anacostia,7,1,neg_nonword,,,,,,,,
aheim,7,1,neg_nonword,,,,,,,,
spanaway,7,1,neg_nonword,,,,,,,,
ebens,7,1,neg_nonword,,,,,,,,
quonsett,7,1,neg_nonword,,,,,,,,
fallon,7,1,neg_nonword,,,,,,,,
sausalito,7,1,neg_nonword,,,,,,,,
ockel,7,1,neg_nonword,,,,,,,,
mobil,7,1,neg_nonword,,,,,,,,
thur,7,1,neg_nonword,,,,,,,,
eecs,7,1,neg_nonword,,,,,,,,
pprry,7,1,neg_nonword,,,,,,,,
brazil,7,1,neg_nonword,,,,,,,,
phaup,7,1,neg_nonword,,,,,,,,
sipme,7,1,neg_nonword,,,,,,,,
wihtout,7,1,neg_nonword,,,,,,,,
kicdo,7,1,neg_nonword,,,,,,,,
wabbt,7,1,neg_nonword,,,,,,,,
peotone,7,1,neg_nonword,,,,,,,,
gregg,7,1,neg_nonword,,,,,,,,
monroeville,7,1,neg_nonword,,,,,,,,
hydr,7,1,neg_nonword,,,,,,,,
marvn,7,1,neg_nonword,,,,,,,,
voaxa,7,1,neg_nonword,,,,,,,,
rikme,7,1,neg_nonword,,,,,,,,
jetstar,7,1,neg_nonword,,,,,,,,
chinen,7,1,neg_nonword,,,,,,,,
doylestown,7,1,neg_nonword,,,,,,,,
veeck,7,1,neg_nonword,,,,,,,,
dux,7,1,neg_nonword,,,,,,,,
zeper,7,1,neg_nonword,,,,,,,,
comix,7,1,neg_nonword,,,,,,,,
colocated,7,1,neg_nonword,,,,,,,,
qubee,7,1,neg_nonword,,,,,,,,
velcro,7,1,neg_nonword,,,,,,,,
exceedences,7,1,neg_nonword,,,,,,,,
crede,7,1,neg_nonword,,,,,,,,
cincy,7,1,neg_nonword,,,,,,,,
mackenzie,7,1,neg_nonword,,,,,,,,
olympic,7,1,neg_nonword,,,,,,,,
rica,7,1,neg_nonword,,,,,,,,
cheraw,7,1,neg_nonword,,,,,,,,
verdes,7,1,neg_nonword,,,,,,,,
heiry,7,1,neg_nonword,,,,,,,,
od,7,1,neg_nonword,,,,,,,,
prfec,7,1,neg_nonword,,,,,,,,
antigua,7,1,neg_nonword,,,,,,,,
ulopa,7,1,neg_nonword,,,,,,,,
willw,7,1,neg_nonword,,,,,,,,
repo,7,1,neg_nonword,,,,,,,,
opana,7,1,neg_nonword,,,,,,,,
overspds,7,1,neg_nonword,,,,,,,,
betty,7,1,neg_nonword,,,,,,,,
helena,7,1,neg_nonword,,,,,,,,
trpic,7,1,neg_nonword,,,,,,,,
lhq,7,1,neg_nonword,,,,,,,,
kiddz,7,1,neg_nonword,,,,,,,,
alamos,7,1,neg_nonword,,,,,,,,
lisse,7,1,neg_nonword,,,,,,,,
foristell,7,1,neg_nonword,,,,,,,,
wahuu,7,1,neg_nonword,,,,,,,,
marana,7,1,neg_nonword,,,,,,,,
mccarren,7,1,neg_nonword,,,,,,,,
shrli,7,1,neg_nonword,,,,,,,,
pitzz,7,1,neg_nonword,,,,,,,,
nzj,7,1,neg_nonword,,,,,,,,
fairhope,7,1,neg_nonword,,,,,,,,
chkrides,7,1,neg_nonword,,,,,,,,
hubbard,7,1,neg_nonword,,,,,,,,
welet,7,1,neg_nonword,,,,,,,,
brket,7,1,neg_nonword,,,,,,,,
redon,7,1,neg_nonword,,,,,,,,
dalsy,7,1,neg_nonword,,,,,,,,
aov,7,1,neg_nonword,,,,,,,,
sugarloaf,7,1,neg_nonword,,,,,,,,
nozec,7,1,neg_nonword,,,,,,,,
belfast,7,1,neg_nonword,,,,,,,,
fof,7,1,neg_nonword,,,,,,,,
didly,7,1,neg_nonword,,,,,,,,
fdad,7,1,neg_nonword,,,,,,,,
sevyr,7,1,neg_nonword,,,,,,,,
myton,7,1,neg_nonword,,,,,,,,
chena,7,1,neg_nonword,,,,,,,,
karbu,7,1,neg_nonword,,,,,,,,
rsz,7,1,neg_nonword,,,,,,,,
herlong,7,1,neg_nonword,,,,,,,,
giii,7,1,neg_nonword,,,,,,,,
webster,7,1,neg_nonword,,,,,,,,
deu,7,1,neg_nonword,,,,,,,,
shenandoah,7,1,neg_nonword,,,,,,,,
aurals,7,1,neg_nonword,,,,,,,,
miney,7,1,neg_nonword,,,,,,,,
hutchinson,7,1,neg_nonword,,,,,,,,
misid,7,1,neg_nonword,,,,,,,,
inyokern,7,1,neg_nonword,,,,,,,,
xyx,7,1,neg_nonword,,,,,,,,
sasie,7,1,neg_nonword,,,,,,,,
chkouts,7,1,neg_nonword,,,,,,,,
chardon,7,1,neg_nonword,,,,,,,,
masty,7,1,neg_nonword,,,,,,,,
mavik,7,1,neg_nonword,,,,,,,,
gaulle,7,1,neg_nonword,,,,,,,,
tomal,7,1,neg_nonword,,,,,,,,
slapp,7,1,neg_nonword,,,,,,,,
pwrplant,7,1,neg_nonword,,,,,,,,
tiedown,7,1,neg_nonword,,,,,,,,
pmrf,7,1,neg_nonword,,,,,,,,
adamm,7,1,neg_nonword,,,,,,,,
sundays,7,1,neg_nonword,,,,,,,,
rabinal,7,1,neg_nonword,,,,,,,,
bahama,7,1,neg_nonword,,,,,,,,
ozark,7,1,neg_nonword,,,,,,,,
juarez,7,1,neg_nonword,,,,,,,,
frtr,7,1,neg_nonword,,,,,,,,
erick,7,1,neg_nonword,,,,,,,,
svr,7,1,neg_nonword,,,,,,,,
hyzmn,7,1,neg_nonword,,,,,,,,
ilss,7,1,neg_nonword,,,,,,,,
cheri,7,1,neg_nonword,,,,,,,,
thorp,7,1,neg_nonword,,,,,,,,
zplyn,7,1,neg_nonword,,,,,,,,
walkarounds,7,1,neg_nonword,,,,,,,,
ellensburg,7,1,neg_nonword,,,,,,,,
zmann,7,1,neg_nonword,,,,,,,,
lestr,7,1,neg_nonword,,,,,,,,
xrefing,7,1,neg_nonword,,,,,,,,
freefall,7,1,neg_nonword,,,,,,,,
squez,7,1,neg_nonword,,,,,,,,
recon,7,1,neg_nonword,,,,,,,,
rotorcraft,7,1,neg_nonword,,,,,,,,
wayza,7,1,neg_nonword,,,,,,,,
taunus,7,1,neg_nonword,,,,,,,,
rdfsh,7,1,neg_nonword,,,,,,,,
pablo,7,1,neg_nonword,,,,,,,,
siera,7,1,neg_nonword,,,,,,,,
compt,7,1,neg_nonword,,,,,,,,
chehalis,7,1,neg_nonword,,,,,,,,
ladyj,7,1,neg_nonword,,,,,,,,
fredrick,7,1,neg_nonword,,,,,,,,
toaks,7,1,neg_nonword,,,,,,,,
pittsfield,7,1,neg_nonword,,,,,,,,
snuck,7,1,neg_nonword,,,,,,,,
uiz,7,1,neg_nonword,,,,,,,,
pelly,7,1,neg_nonword,,,,,,,,
worpp,7,1,neg_nonword,,,,,,,,
snakk,7,1,neg_nonword,,,,,,,,
fcf,7,1,neg_nonword,,,,,,,,
brigham,7,1,neg_nonword,,,,,,,,
dgs,7,1,neg_nonword,,,,,,,,
tmcs,7,1,neg_nonword,,,,,,,,
helns,7,1,neg_nonword,,,,,,,,
ripit,7,1,neg_nonword,,,,,,,,
tk,7,1,neg_nonword,,,,,,,,
scrug,7,1,neg_nonword,,,,,,,,
kodix,7,1,neg_nonword,,,,,,,,
fallt,7,1,neg_nonword,,,,,,,,
carle,7,1,neg_nonword,,,,,,,,
nyl,7,1,neg_nonword,,,,,,,,
trimble,7,1,neg_nonword,,,,,,,,
xrefed,7,1,neg_nonword,,,,,,,,
jonez,7,1,neg_nonword,,,,,,,,
grify,7,1,neg_nonword,,,,,,,,
misss,7,1,neg_nonword,,,,,,,,
irq,7,1,neg_nonword,,,,,,,,
menol,7,1,neg_nonword,,,,,,,,
waterville,7,1,neg_nonword,,,,,,,,
intensions,7,1,neg_nonword,,,,,,,,
goetz,7,1,neg_nonword,,,,,,,,
jabara,7,1,neg_nonword,,,,,,,,
earpiece,7,1,neg_nonword,,,,,,,,
recalibrated,7,1,neg_nonword,,,,,,,,
xxa,7,1,neg_nonword,,,,,,,,
overstressing,7,1,neg_nonword,,,,,,,,
blockout,7,1,neg_nonword,,,,,,,,
clifton,7,1,neg_nonword,,,,,,,,
andys,7,1,neg_nonword,,,,,,,,
conle,7,1,neg_nonword,,,,,,,,
quitman,7,1,neg_nonword,,,,,,,,
digle,7,1,neg_nonword,,,,,,,,
julle,7,1,neg_nonword,,,,,,,,
speci,7,1,neg_nonword,,,,,,,,
cass,7,1,neg_nonword,,,,,,,,
walton,7,1,neg_nonword,,,,,,,,
puutt,7,1,neg_nonword,,,,,,,,
bruns,7,1,neg_nonword,,,,,,,,
jumpseaters,7,1,neg_nonword,,,,,,,,
itis,7,1,neg_nonword,,,,,,,,
storg,7,1,neg_nonword,,,,,,,,
baylr,7,1,neg_nonword,,,,,,,,
yukon,7,1,neg_nonword,,,,,,,,
boone,7,1,neg_nonword,,,,,,,,
lcls,7,1,neg_nonword,,,,,,,,
azq,7,1,neg_nonword,,,,,,,,
naper,7,1,neg_nonword,,,,,,,,
fimbo,7,1,neg_nonword,,,,,,,,
dst,7,1,neg_nonword,,,,,,,,
tidas,7,1,neg_nonword,,,,,,,,
scubi,7,1,neg_nonword,,,,,,,,
metre,7,1,neg_nonword,,,,,,,,
wolff,7,1,neg_nonword,,,,,,,,
rimpac,7,1,neg_nonword,,,,,,,,
fallz,7,1,neg_nonword,,,,,,,,
bambo,7,1,neg_nonword,,,,,,,,
harwl,7,1,neg_nonword,,,,,,,,
frisy,7,1,neg_nonword,,,,,,,,
laporte,7,1,neg_nonword,,,,,,,,
ugjob,6,1,neg_nonword,,,,,,,,
leroy,6,1,neg_nonword,,,,,,,,
thundr,6,1,neg_nonword,,,,,,,,
acar,6,1,neg_nonword,,,,,,,,
ripon,6,1,neg_nonword,,,,,,,,
otten,6,1,neg_nonword,,,,,,,,
autofail,6,1,neg_nonword,,,,,,,,
brownwood,6,1,neg_nonword,,,,,,,,
toccoa,6,1,neg_nonword,,,,,,,,
tntoe,6,1,neg_nonword,,,,,,,,
windham,6,1,neg_nonword,,,,,,,,
recertify,6,1,neg_nonword,,,,,,,,
discon,6,1,neg_nonword,,,,,,,,
scenn,6,1,neg_nonword,,,,,,,,
bendigo,6,1,neg_nonword,,,,,,,,
canadians,6,1,neg_nonword,,,,,,,,
uyf,6,1,neg_nonword,,,,,,,,
jagal,6,1,neg_nonword,,,,,,,,
sopa,6,1,neg_nonword,,,,,,,,
woons,6,1,neg_nonword,,,,,,,,
cuit,6,1,neg_nonword,,,,,,,,
pai,6,1,neg_nonword,,,,,,,,
recieving,6,1,neg_nonword,,,,,,,,
stevens,6,1,neg_nonword,,,,,,,,
ife,6,1,neg_nonword,,,,,,,,
vma,6,1,neg_nonword,,,,,,,,
xzl,6,1,neg_nonword,,,,,,,,
italy,6,1,neg_nonword,,,,,,,,
nola,6,1,neg_nonword,,,,,,,,
tiph,6,1,neg_nonword,,,,,,,,
rvrs,6,1,neg_nonword,,,,,,,,
basha,6,1,neg_nonword,,,,,,,,
vp,6,1,neg_nonword,,,,,,,,
voghera,6,1,neg_nonword,,,,,,,,
parajump,6,1,neg_nonword,,,,,,,,
hotspot,6,1,neg_nonword,,,,,,,,
zalle,6,1,neg_nonword,,,,,,,,
bisbee,6,1,neg_nonword,,,,,,,,
latrobe,6,1,neg_nonword,,,,,,,,
laluz,6,1,neg_nonword,,,,,,,,
wauson,6,1,neg_nonword,,,,,,,,
cornerpost,6,1,neg_nonword,,,,,,,,
waikiki,6,1,neg_nonword,,,,,,,,
tatme,6,1,neg_nonword,,,,,,,,
helens,6,1,neg_nonword,,,,,,,,
sargo,6,1,neg_nonword,,,,,,,,
indie,6,1,neg_nonword,,,,,,,,
neish,6,1,neg_nonword,,,,,,,,
avalon,6,1,neg_nonword,,,,,,,,
northwestbound,6,1,neg_nonword,,,,,,,,
autocoupled,6,1,neg_nonword,,,,,,,,
regan,6,1,neg_nonword,,,,,,,,
belmont,6,1,neg_nonword,,,,,,,,
aqw,6,1,neg_nonword,,,,,,,,
zulab,6,1,neg_nonword,,,,,,,,
slnnk,6,1,neg_nonword,,,,,,,,
beeso,6,1,neg_nonword,,,,,,,,
hixit,6,1,neg_nonword,,,,,,,,
cleburne,6,1,neg_nonword,,,,,,,,
hrj,6,1,neg_nonword,,,,,,,,
maudy,6,1,neg_nonword,,,,,,,,
sappi,6,1,neg_nonword,,,,,,,,
retrim,6,1,neg_nonword,,,,,,,,
ikv,6,1,neg_nonword,,,,,,,,
rgill,6,1,neg_nonword,,,,,,,,
rhu,6,1,neg_nonword,,,,,,,,
ripkn,6,1,neg_nonword,,,,,,,,
izzom,6,1,neg_nonword,,,,,,,,
kazkir,6,1,neg_nonword,,,,,,,,
norway,6,1,neg_nonword,,,,,,,,
incidently,6,1,neg_nonword,,,,,,,,
waivered,6,1,neg_nonword,,,,,,,,
driftdown,6,1,neg_nonword,,,,,,,,
yeska,6,1,neg_nonword,,,,,,,,
betey,6,1,neg_nonword,,,,,,,,
bottrop,6,1,neg_nonword,,,,,,,,
jiboa,6,1,neg_nonword,,,,,,,,
ncrcc,6,1,neg_nonword,,,,,,,,
multieng,6,1,neg_nonword,,,,,,,,
eslar,6,1,neg_nonword,,,,,,,,
anna,6,1,neg_nonword,,,,,,,,
canan,6,1,neg_nonword,,,,,,,,
libby,6,1,neg_nonword,,,,,,,,
gliderport,6,1,neg_nonword,,,,,,,,
fdi,6,1,neg_nonword,,,,,,,,
isna,6,1,neg_nonword,,,,,,,,
rostraver,6,1,neg_nonword,,,,,,,,
savem,6,1,neg_nonword,,,,,,,,
dglas,6,1,neg_nonword,,,,,,,,
racd,6,1,neg_nonword,,,,,,,,
excursioned,6,1,neg_nonword,,,,,,,,
kalispell,6,1,neg_nonword,,,,,,,,
greki,6,1,neg_nonword,,,,,,,,
unsecure,6,1,neg_nonword,,,,,,,,
brent,6,1,neg_nonword,,,,,,,,
acq,6,1,neg_nonword,,,,,,,,
gaill,6,1,neg_nonword,,,,,,,,
carswell,6,1,neg_nonword,,,,,,,,
headwork,6,1,neg_nonword,,,,,,,,
mueller,6,1,neg_nonword,,,,,,,,
fdw,6,1,neg_nonword,,,,,,,,
calif,6,1,neg_nonword,,,,,,,,
elliott,6,1,neg_nonword,,,,,,,,
pumkn,6,1,neg_nonword,,,,,,,,
prfum,6,1,neg_nonword,,,,,,,,
joody,6,1,neg_nonword,,,,,,,,
xceiver,6,1,neg_nonword,,,,,,,,
hartwood,6,1,neg_nonword,,,,,,,,
obh,6,1,neg_nonword,,,,,,,,
flightdeck,6,1,neg_nonword,,,,,,,,
genbe,6,1,neg_nonword,,,,,,,,
hnz,6,1,neg_nonword,,,,,,,,
fb,6,1,neg_nonword,,,,,,,,
stoen,6,1,neg_nonword,,,,,,,,
pervious,6,1,neg_nonword,,,,,,,,
kanex,6,1,neg_nonword,,,,,,,,
jetsn,6,1,neg_nonword,,,,,,,,
camas,6,1,neg_nonword,,,,,,,,
yrly,6,1,neg_nonword,,,,,,,,
timee,6,1,neg_nonword,,,,,,,,
rechks,6,1,neg_nonword,,,,,,,,
vuj,6,1,neg_nonword,,,,,,,,
managua,6,1,neg_nonword,,,,,,,,
nx,6,1,neg_nonword,,,,,,,,
froun,6,1,neg_nonword,,,,,,,,
collum,6,1,neg_nonword,,,,,,,,
wenatchee,6,1,neg_nonword,,,,,,,,
unpowered,6,1,neg_nonword,,,,,,,,
nodiy,6,1,neg_nonword,,,,,,,,
bpark,6,1,neg_nonword,,,,,,,,
rosse,6,1,neg_nonword,,,,,,,,
