ACRONYM,acronym,Fullform7,link7
TDZ ,tdz ,Touchdown Zone ,NASA ASRS
TWR,twr,Tower ,NASA ASRS
TWRS,twrs,Towers,NASA ASRS
TFC ,tfc ,Traffic ,NASA ASRS
TA ,ta ,Traffic Advisory ,NASA ASRS
TCAS,tcas,Traffic Alert and Collision Avoidance ,NASA ASRS
TCASII ,tcasii ,Traffic Alert and Collision Avoidance ,NASA ASRS
WX ,wx ,Weather ,NASA ASRS
WK,wk,Week ,NASA ASRS
WKS,wks,Weeks,NASA ASRS
WKLY,wkly,Weekly,NASA ASRS
WT,wt,Weight ,NASA ASRS
WTS,wts,Weights,NASA ASRS
WBND ,wbnd ,Westbound ,NASA ASRS
WAC,wac,World Aeronautical Chart ,NASA ASRS
INSTS ,insts ,Instruments,NASA ASRS
IRS/IRU ,irs/iru ,Inertial Reference System/Unit ,NASA ASRS
IRU,iru,Inertial Reference Unit ,NASA ASRS
ISTR ,istr ,Instruct,NASA ASRS
MST ,mst ,Mountain Standard Time ,NASA ASRS
"N,S,E,W ","n,s,e,w ","North, South, East, West ",NASA ASRS
N,n,North,NASA ASRS
S,s,South,NASA ASRS
E,e,East,NASA ASRS
W,w,West,NASA ASRS
NAV,nav,Navigate ,NASA ASRS
NAVS,navs,Navigations,NASA ASRS
NAVING,naving,Navigating,NASA ASRS
TCAS,tcas,Traffic Alert and Collision Avoidance System ,NASA ASRS
TCASII ,tcasii ,Traffic Alert and Collision Avoidance System ,NASA ASRS
WAC ,wac ,World Aeronautical Chart ,NASA ASRS
Z,z,Coordinated Universal Time (GMT),NASA ASRS
